AFMGD6799H	1444412 reads
AFMGD6801H	1350597 reads
AFMGD6802H	1338946 reads
AFMGD6803H	916596 reads
AFMGD6804H	987075 reads
AFMGD6805H	1292011 reads
AFMGD6808H	966286 reads
AFMGD6812H	1035830 reads
AFMGD6814H	957807 reads
AFMGD6818H	1384038 reads
AFMGD6819H	1242351 reads
AFMGD6820H	843690 reads
AFMGD6821H	1413393 reads
AFMGD6822H	820823 reads
AFMGD6823H	1206000 reads
AFMGS6734H	1423462 reads
AFMGS6735H	1373877 reads
AFMGS6736H	1482412 reads
AFMGS6737H	1762072 reads
AFMGS6738H	1107232 reads
AFMGS6739H	1123034 reads
AFMGS6740H	2492001 reads
AFMGS6743H	1681006 reads
AFMGS6745H	1290854 reads
AFMGS6747H	1945805 reads
AFMGS6750H	1174749 reads
AFMGS6751H	1094541 reads
AFMGS6752H	1283160 reads
AFMGS6755H	1861369 reads
AFMGS6756H	846954 reads
AFMJD6854H	1439917 reads
AFMJD6855H	1459168 reads
AFMJD6856H	1320057 reads
AFMJD6857H	957110 reads
AFMJD6858H	1396684 reads
AFMJD6859H	1957366 reads
AFMJD6861H	1195345 reads
AFMJD6864H	2611082 reads
AFMJD6868H	945808 reads
AFMJD6871H	823685 reads
AFMJD6873H	815034 reads
AFMJD6875H	1683602 reads
AFMJD6876H	1667944 reads
AFMJD6877H	895262 reads
AFMJD6878H	1009435 reads
AFMJS6675H	1785693 reads
AFMJS6676H	3210338 reads
AFMJS6678H	830662 reads
AFMJS6680H	1786476 reads
AFMJS6681H	1068007 reads
AFMJS6682H	1338168 reads
AFMJS6683H	2012880 reads
AFMJS6687H	817908 reads
AFMJS6694H	818431 reads
AFMJS6695H	889398 reads
AFMJS6696H	923136 reads
AFMJS6698H	1710685 reads
AFMJS6700H	1497067 reads
AFMJS6702H	1140859 reads
AFMPD6983H	737072 reads
AFMPD6985H	1293858 reads
AFMPD6986H	1006712 reads
AFMPD6987H	2241621 reads
AFMPD6988H	1377859 reads
AFMPD6989H	1584948 reads
AFMPD6990H	883791 reads
AFMPD6991H	1376350 reads
AFMPD6992H	1224916 reads
AFMPD6993H	1421213 reads
AFMPD6995H	1269447 reads
AFMPD6998H	1056578 reads
AFMPD7000H	1037273 reads
AFMPD7001H	1237519 reads
AFMPD7005H	1173149 reads
AFMPD7006H	1430526 reads
AFMPS6602H	980830 reads
AFMPS6603H	4627981 reads
AFMPS6608H	1024480 reads
AFMPS6610H	856614 reads
AFMPS6612H	1333542 reads
AFMPS6613H	508890 reads
AFMPS6618H	1471214 reads
AFMPS6619H	1313206 reads
AFMPS6622H	1105406 reads
AFMPS6623H	1442483 reads
AFMPS6625H	1436333 reads
AFMPS6626H	1371718 reads
AFMPS6627H	1324507 reads
AFMPX6981H	772088 reads
AFMPX6982H	1295506 reads
AFMWD6915H	809487 reads
AFMWD6916H	1859422 reads
AFMWD6917H	1647241 reads
AFMWD6918H	1771592 reads
AFMWD6919H	1473061 reads
AFMWD6920H	998372 reads
AFMWD6921H	1452284 reads
AFMWD6922H	966606 reads
AFMWD6923H	1072715 reads
AFMWD6924H	1295676 reads
AFMWD6926H	1284414 reads
AFMWD6933H	2108713 reads
AFMWD6935H	1031996 reads
AFMWD6936H	2048852 reads
