beta  ances 
0.214 0.328
0.226 0.331
0.228 0.337
0.231 0.336
0.228 0.338
0.229 0.337
0.229 0.340
0.228 0.339
0.229 0.338
0.229 0.336
0.229 0.337
0.230 0.338
0.231 0.337
0.232 0.338
0.231 0.338
0.232 0.338
0.233 0.338
0.234 0.337
0.233 0.338
0.232 0.338
0.233 0.337
0.233 0.337
0.233 0.337
0.233 0.338
0.233 0.337
0.234 0.337
0.234 0.338
0.234 0.338
0.235 0.338
0.235 0.338
0.235 0.339
0.235 0.339
0.235 0.338
0.235 0.339
0.235 0.338
0.235 0.338
0.235 0.338
0.235 0.338
0.235 0.338
0.235 0.337
0.235 0.337
0.235 0.337
0.235 0.338
0.235 0.338
0.235 0.338
0.235 0.338
0.234 0.338
0.234 0.337
0.234 0.337
