AFMGD6799H,GD,0.9364,0.0636
AFMGD6801H,GD,0.8870,0.1130
AFMGD6802H,GD,0.9355,0.0645
AFMGD6803H,GD,0.8257,0.1743
AFMGD6804H,GD,0.9896,0.0104
AFMGD6805H,GD,0.2162,0.7838
AFMGD6812H,GD,0.9130,0.0870
AFMGD6814H,GD,0.6240,0.3760
AFMGD6818H,GD,0.7545,0.2455
AFMGD6819H,GD,0.8996,0.1004
AFMGD6820H,GD,0.3646,0.6354
AFMGD6821H,GD,0.4322,0.5678
AFMGD6822H,GD,0.9821,0.0179
AFMGS6734H,GS,0.0070,0.9930
AFMGS6735H,GS,0.0480,0.9520
AFMGS6736H,GS,0.0095,0.9905
AFMGS6737H,GS,0.0392,0.9608
AFMGS6738H,GS,0.2009,0.7991
AFMGS6739H,GS,0.2439,0.7561
AFMGS6740H,GS,0.0095,0.9905
AFMGS6743H,GS,0.0078,0.9922
AFMGS6745H,GS,0.3073,0.6927
AFMGS6747H,GS,0.0727,0.9273
AFMGS6750H,GS,0.0108,0.9892
AFMGS6751H,GS,0.0633,0.9367
AFMGS6752H,GS,0.0037,0.9963
AFMGS6755H,GS,0.0190,0.9810
AFMGS6756H,GS,0.1220,0.8780
AFMJD6855H,JD,0.6767,0.3233
AFMJD6856H,JD,0.9896,0.0104
AFMJD6857H,JD,0.7372,0.2628
AFMJD6858H,JD,0.8898,0.1102
AFMJD6859H,JD,0.9829,0.0171
AFMJD6861H,JD,0.6962,0.3038
AFMJD6864H,JD,0.5302,0.4698
AFMJD6873H,JD,0.9326,0.0674
AFMJD6875H,JD,0.6877,0.3123
AFMJD6876H,JD,0.9413,0.0587
AFMJD6877H,JD,0.8411,0.1589
AFMJD6878H,JD,0.9870,0.0130
AFMJS6675H,JS,0.0321,0.9679
AFMJS6676H,JS,0.0258,0.9742
AFMJS6678H,JS,0.0234,0.9766
AFMJS6680H,JS,0.1618,0.8382
AFMJS6681H,JS,0.0184,0.9816
AFMJS6682H,JS,0.2981,0.7019
AFMJS6683H,JS,0.0094,0.9906
AFMJS6687H,JS,0.0879,0.9121
AFMJS6694H,JS,0.0140,0.9860
AFMJS6695H,JS,0.0135,0.9865
AFMJS6696H,JS,0.1587,0.8413
AFMJS6698H,JS,0.2481,0.7519
AFMJS6700H,JS,0.1023,0.8977
AFMJS6702H,JS,0.1837,0.8163
AFMPD6983H,PD,0.3806,0.6194
AFMPD6985H,PD,0.5361,0.4639
AFMPD6986H,PD,0.9617,0.0383
AFMPD6987H,PD,0.9965,0.0035
AFMPD6988H,PD,0.7307,0.2693
AFMPD6989H,PD,0.6127,0.3873
AFMPD6990H,PD,0.5699,0.4301
AFMPD6991H,PD,0.9178,0.0822
AFMPD6992H,PD,0.7213,0.2787
AFMPD6993H,PD,0.7090,0.2910
AFMPD6995H,PD,0.5880,0.4120
AFMPD6998H,PD,0.7515,0.2485
AFMPD7000H,PD,0.9127,0.0873
AFMPD7001H,PD,0.5863,0.4137
AFMPD7005H,PD,0.7610,0.2390
AFMPD7006H,PD,0.7460,0.2540
AFMPS6602H,PS,0.0106,0.9894
AFMPS6603H,PS,0.0040,0.9960
AFMPS6608H,PS,0.0357,0.9643
AFMPS6610H,PS,0.0069,0.9931
AFMPS6612H,PS,0.0482,0.9518
AFMPS6613H,PS,0.1294,0.8706
AFMPS6618H,PS,0.1276,0.8724
AFMPS6622H,PS,0.0063,0.9937
AFMPS6623H,PS,0.0626,0.9374
AFMPS6625H,PS,0.2895,0.7105
AFMPS6626H,PS,0.2540,0.7460
AFMPS6627H,PS,0.0144,0.9856
AFMPX6982H,PD,0.7661,0.2339
AFMWD6915H,WD,0.8519,0.1481
AFMWD6916H,WD,0.7937,0.2063
AFMWD6917H,WD,0.8149,0.1851
AFMWD6918H,WD,0.6620,0.3380
AFMWD6919H,WD,0.7752,0.2248
AFMWD6920H,WD,0.8350,0.1650
AFMWD6921H,WD,0.9424,0.0576
AFMWD6922H,WD,0.8804,0.1196
AFMWD6923H,WD,0.8726,0.1274
AFMWD6924H,WD,0.8645,0.1355
AFMWD6926H,WD,0.8563,0.1437
AFMWD6933H,WD,0.8495,0.1505
AFMWD6935H,WD,0.9594,0.0406
AFMWD6936H,WD,0.7272,0.2728
