AFMGD6799H,GD,0.0130,0.9850,0.0020
AFMGD6801H,GD,0.1421,0.8308,0.0270
AFMGD6802H,GD,0.0430,0.9430,0.0140
AFMGD6803H,GD,0.1530,0.8370,0.0100
AFMGD6804H,GD,0.0050,0.8410,0.1540
AFMGD6805H,GD,0.7313,0.1489,0.1199
AFMGD6812H,GD,0.0811,0.9169,0.0020
AFMGD6814H,GD,0.3420,0.6540,0.0040
AFMGD6818H,GD,0.2280,0.7680,0.0040
AFMGD6819H,GD,0.1800,0.7470,0.0730
AFMGD6820H,GD,0.5900,0.3540,0.0560
AFMGD6821H,GD,0.4640,0.3620,0.1740
AFMGD6822H,GD,0.0080,0.9610,0.0310
AFMGS6734H,GS,0.9830,0.0100,0.0070
AFMGS6735H,GS,0.9400,0.0350,0.0250
AFMGS6736H,GS,0.9820,0.0140,0.0040
AFMGS6737H,GS,0.9060,0.0840,0.0100
AFMGS6738H,GS,0.7070,0.2900,0.0030
AFMGS6739H,GS,0.7120,0.0340,0.2540
AFMGS6740H,GS,0.9870,0.0060,0.0070
AFMGS6743H,GS,0.9900,0.0040,0.0060
AFMGS6745H,GS,0.6790,0.2440,0.0770
AFMGS6747H,GS,0.8280,0.1680,0.0040
AFMGS6750H,GS,0.9720,0.0240,0.0040
AFMGS6751H,GS,0.8710,0.0240,0.1050
AFMGS6752H,GS,0.9950,0.0030,0.0020
AFMGS6755H,GS,0.9720,0.0200,0.0080
AFMGS6756H,GS,0.7060,0.2900,0.0040
AFMJD6855H,JD,0.2553,0.7407,0.0040
AFMJD6856H,JD,0.0050,0.9920,0.0030
AFMJD6857H,JD,0.2258,0.7712,0.0030
AFMJD6858H,JD,0.1650,0.8160,0.0190
AFMJD6859H,JD,0.0090,0.7898,0.2012
AFMJD6861H,JD,0.2470,0.7460,0.0070
AFMJD6864H,JD,0.4210,0.5130,0.0660
AFMJD6873H,JD,0.0560,0.9330,0.0110
AFMJD6875H,JD,0.2980,0.6770,0.0250
AFMJD6876H,JD,0.0679,0.9131,0.0190
AFMJD6877H,JD,0.1190,0.7430,0.1380
AFMJD6878H,JD,0.0070,0.7828,0.2102
AFMJS6675H,JS,0.9670,0.0250,0.0080
AFMJS6676H,JS,0.9610,0.0110,0.0280
AFMJS6678H,JS,0.9660,0.0280,0.0060
AFMJS6680H,JS,0.7450,0.0640,0.1910
AFMJS6681H,JS,0.9480,0.0070,0.0450
AFMJS6682H,JS,0.6250,0.3650,0.0100
AFMJS6683H,JS,0.9800,0.0060,0.0140
AFMJS6687H,JS,0.8671,0.0350,0.0979
AFMJS6694H,JS,0.9680,0.0280,0.0040
AFMJS6695H,JS,0.9750,0.0200,0.0050
AFMJS6696H,JS,0.8078,0.1061,0.0861
AFMJS6698H,JS,0.6810,0.3120,0.0070
AFMJS6700H,JS,0.8420,0.0110,0.1470
AFMJS6702H,JS,0.6917,0.1381,0.1702
AFMPD6983H,PD,0.5964,0.0799,0.3237
AFMPD6985H,PD,0.4160,0.5750,0.0090
AFMPD6986H,PD,0.0260,0.8390,0.1350
AFMPD6987H,PD,0.0020,0.9950,0.0030
AFMPD6988H,PD,0.2560,0.7400,0.0040
AFMPD6989H,PD,0.3270,0.6530,0.0200
AFMPD6990H,PD,0.3774,0.5976,0.0250
AFMPD6991H,PD,0.1060,0.8640,0.0300
AFMPD6992H,PD,0.2090,0.4610,0.3300
AFMPD6993H,PD,0.2880,0.5910,0.1210
AFMPD6995H,PD,0.3710,0.5150,0.1140
AFMPD6998H,PD,0.2420,0.7140,0.0440
AFMPD7000H,PD,0.0320,0.6410,0.3270
AFMPD7001H,PD,0.3730,0.6220,0.0050
AFMPD7005H,PD,0.1910,0.5510,0.2580
AFMPD7006H,PD,0.2170,0.6020,0.1810
AFMPS6602H,PS,0.9880,0.0080,0.0040
AFMPS6603H,PS,0.9950,0.0030,0.0020
AFMPS6608H,PS,0.9540,0.0390,0.0070
AFMPS6610H,PS,0.9920,0.0050,0.0030
AFMPS6612H,PS,0.8950,0.0230,0.0820
AFMPS6613H,PS,0.8190,0.0730,0.1080
AFMPS6618H,PS,0.7920,0.0150,0.1930
AFMPS6622H,PS,0.9910,0.0050,0.0040
AFMPS6623H,PS,0.8870,0.0130,0.1000
AFMPS6625H,PS,0.6730,0.2920,0.0350
AFMPS6626H,PS,0.7260,0.0220,0.2520
AFMPS6627H,PS,0.8890,0.0040,0.1070
AFMPX6982H,PD,0.1528,0.6434,0.2038
AFMWD6915H,WD,0.0390,0.5010,0.4600
AFMWD6916H,WD,0.0751,0.2282,0.6967
AFMWD6917H,WD,0.0180,0.1039,0.8781
AFMWD6918H,WD,0.2880,0.1340,0.5780
AFMWD6919H,WD,0.1630,0.0330,0.8040
AFMWD6920H,WD,0.1161,0.5185,0.3654
AFMWD6921H,WD,0.0070,0.0591,0.9339
AFMWD6922H,WD,0.0350,0.4120,0.5530
AFMWD6923H,WD,0.0340,0.3153,0.6507
AFMWD6924H,WD,0.0150,0.0611,0.9239
AFMWD6926H,WD,0.1439,0.6773,0.1788
AFMWD6933H,WD,0.0270,0.1910,0.7820
AFMWD6935H,WD,0.0030,0.0040,0.9930
AFMWD6936H,WD,0.2200,0.4380,0.3420
