AFMGD6799H,GD,0.0020,0.0020,0.0020,0.0010,0.9930
AFMGD6801H,GD,0.1210,0.8030,0.0650,0.0060,0.0050
AFMGD6802H,GD,0.0030,0.5720,0.3570,0.0120,0.0560
AFMGD6803H,GD,0.0820,0.6980,0.2050,0.0060,0.0090
AFMGD6804H,GD,0.0040,0.9720,0.0090,0.0120,0.0030
AFMGD6805H,GD,0.4220,0.0570,0.4090,0.0950,0.0170
AFMGD6812H,GD,0.0739,0.7882,0.1099,0.0020,0.0260
AFMGD6814H,GD,0.2950,0.5790,0.0150,0.0030,0.1080
AFMGD6818H,GD,0.1500,0.6070,0.2360,0.0030,0.0040
AFMGD6819H,GD,0.2320,0.7510,0.0070,0.0080,0.0020
AFMGD6820H,GD,0.2780,0.2300,0.3930,0.0540,0.0450
AFMGD6821H,GD,0.2773,0.1812,0.2603,0.1351,0.1461
AFMGD6822H,GD,0.0050,0.9461,0.0430,0.0030,0.0030
AFMGS6734H,GS,0.8450,0.0050,0.1470,0.0020,0.0010
AFMGS6735H,GS,0.6244,0.0130,0.3437,0.0090,0.0100
AFMGS6736H,GS,0.0300,0.0050,0.9580,0.0020,0.0050
AFMGS6737H,GS,0.6530,0.0290,0.3010,0.0060,0.0110
AFMGS6738H,GS,0.2697,0.1009,0.5165,0.0030,0.1099
AFMGS6739H,GS,0.0120,0.0220,0.8920,0.0710,0.0030
AFMGS6740H,GS,0.4800,0.0030,0.5080,0.0060,0.0030
AFMGS6743H,GS,0.3013,0.0020,0.6897,0.0030,0.0040
AFMGS6745H,GS,0.4336,0.1698,0.3177,0.0699,0.0090
AFMGS6747H,GS,0.2200,0.0430,0.7300,0.0040,0.0030
AFMGS6750H,GS,0.2713,0.0060,0.7137,0.0020,0.0070
AFMGS6751H,GS,0.8440,0.0900,0.0540,0.0100,0.0020
AFMGS6752H,GS,0.7890,0.0030,0.2040,0.0020,0.0020
AFMGS6755H,GS,0.7227,0.0120,0.1752,0.0070,0.0831
AFMGS6756H,GS,0.0100,0.0120,0.9620,0.0030,0.0130
AFMJD6855H,JD,0.0060,0.3700,0.5750,0.0030,0.0460
AFMJD6856H,JD,0.0030,0.8760,0.1150,0.0030,0.0030
AFMJD6857H,JD,0.1808,0.2887,0.1439,0.0050,0.3816
AFMJD6858H,JD,0.0450,0.4190,0.1230,0.0530,0.3600
AFMJD6859H,JD,0.0970,0.5660,0.0020,0.1450,0.1900
AFMJD6861H,JD,0.0170,0.4945,0.4436,0.0060,0.0390
AFMJD6864H,JD,0.3770,0.2870,0.1050,0.0730,0.1580
AFMJD6873H,JD,0.0500,0.6040,0.0830,0.0250,0.2380
AFMJD6875H,JD,0.3073,0.5636,0.0761,0.0280,0.0250
AFMJD6876H,JD,0.0060,0.6224,0.3437,0.0130,0.0150
AFMJD6877H,JD,0.0200,0.5536,0.2753,0.1291,0.0220
AFMJD6878H,JD,0.0040,0.6164,0.1069,0.2318,0.0410
AFMJS6675H,JS,0.9040,0.0680,0.0180,0.0050,0.0050
AFMJS6676H,JS,0.4995,0.0080,0.4675,0.0160,0.0090
AFMJS6678H,JS,0.0020,0.0020,0.9830,0.0020,0.0110
AFMJS6680H,JS,0.3400,0.0140,0.5340,0.1050,0.0070
AFMJS6681H,JS,0.5686,0.0040,0.3714,0.0160,0.0400
AFMJS6682H,JS,0.1379,0.1848,0.6593,0.0080,0.0100
AFMJS6683H,JS,0.7890,0.0040,0.2010,0.0040,0.0020
AFMJS6687H,JS,0.2138,0.0040,0.7133,0.0280,0.0410
AFMJS6694H,JS,0.4860,0.0110,0.4960,0.0040,0.0030
AFMJS6695H,JS,0.6760,0.0080,0.2720,0.0040,0.0400
AFMJS6696H,JS,0.3830,0.0130,0.5570,0.0300,0.0170
AFMJS6698H,JS,0.3237,0.2338,0.4356,0.0030,0.0040
AFMJS6700H,JS,0.4575,0.0090,0.4224,0.1091,0.0020
AFMJS6702H,JS,0.5495,0.1868,0.2478,0.0120,0.0040
AFMPD6983H,PD,0.0861,0.0060,0.5756,0.3223,0.0100
AFMPD6985H,PD,0.4655,0.4795,0.0060,0.0040,0.0450
AFMPD6986H,PD,0.0250,0.5140,0.1000,0.1470,0.2140
AFMPD6987H,PD,0.0020,0.9810,0.0020,0.0020,0.0130
AFMPD6988H,PD,0.0330,0.6000,0.3620,0.0030,0.0020
AFMPD6989H,PD,0.2062,0.0170,0.0260,0.0370,0.7137
AFMPD6990H,PD,0.1940,0.3920,0.2700,0.0180,0.1260
AFMPD6991H,PD,0.0110,0.4220,0.2440,0.0330,0.2900
AFMPD6992H,PD,0.1450,0.3580,0.1970,0.2850,0.0150
AFMPD6993H,PD,0.1129,0.4106,0.3007,0.1049,0.0709
AFMPD6995H,PD,0.2953,0.4184,0.2122,0.0701,0.0040
