AFMGD6799H,GD,0.0020,0.9920,0.0020,0.0010,0.0020,0.0010
AFMGD6801H,GD,0.0500,0.0070,0.6883,0.0350,0.2158,0.0040
AFMGD6802H,GD,0.2460,0.0630,0.4350,0.0020,0.2470,0.0070
AFMGD6803H,GD,0.0860,0.0050,0.5590,0.0810,0.2630,0.0060
AFMGD6804H,GD,0.0030,0.0020,0.9590,0.0020,0.0300,0.0040
AFMGD6805H,GD,0.3480,0.0130,0.0180,0.4150,0.1020,0.1040
AFMGD6812H,GD,0.0630,0.0310,0.4510,0.0570,0.3960,0.0020
AFMGD6814H,GD,0.0100,0.1270,0.6050,0.2440,0.0110,0.0030
AFMGD6818H,GD,0.0811,0.0040,0.3594,0.1622,0.3914,0.0020
AFMGD6819H,GD,0.0050,0.0020,0.5816,0.1762,0.2312,0.0040
AFMGD6820H,GD,0.3280,0.0410,0.2640,0.2810,0.0530,0.0330
AFMGD6821H,GD,0.1381,0.1341,0.3684,0.2533,0.0070,0.0991
AFMGD6822H,GD,0.0070,0.0020,0.9460,0.0030,0.0400,0.0020
AFMGS6734H,GS,0.1260,0.0010,0.0030,0.8540,0.0140,0.0020
AFMGS6735H,GS,0.2687,0.0090,0.0100,0.6184,0.0849,0.0090
AFMGS6736H,GS,0.9560,0.0050,0.0030,0.0110,0.0230,0.0020
AFMGS6737H,GS,0.2883,0.0050,0.1722,0.5285,0.0030,0.0030
AFMGS6738H,GS,0.5020,0.1270,0.1040,0.2430,0.0220,0.0020
AFMGS6739H,GS,0.7393,0.0040,0.1708,0.0090,0.0120,0.0649
AFMGS6740H,GS,0.4940,0.0030,0.0030,0.4750,0.0220,0.0030
AFMGS6743H,GS,0.7530,0.0050,0.0030,0.2330,0.0030,0.0030
AFMGS6745H,GS,0.2747,0.0060,0.2797,0.3846,0.0360,0.0190
AFMGS6747H,GS,0.6016,0.0020,0.0931,0.2152,0.0851,0.0030
AFMGS6750H,GS,0.7652,0.0090,0.0120,0.2088,0.0030,0.0020
AFMGS6751H,GS,0.0700,0.0020,0.0690,0.8110,0.0370,0.0110
AFMGS6752H,GS,0.2440,0.0020,0.0020,0.7460,0.0040,0.0020
AFMGS6755H,GS,0.1978,0.0739,0.0969,0.6214,0.0030,0.0070
AFMGS6756H,GS,0.8430,0.0060,0.1380,0.0050,0.0060,0.0020
AFMJD6855H,JD,0.2450,0.0200,0.0040,0.0120,0.7170,0.0020
AFMJD6856H,JD,0.0010,0.0010,0.0020,0.0010,0.9940,0.0010
AFMJD6857H,JD,0.0190,0.3816,0.3207,0.1988,0.0749,0.0050
AFMJD6858H,JD,0.0800,0.3440,0.2680,0.0270,0.2470,0.0340
AFMJD6859H,JD,0.0020,0.1880,0.5650,0.0940,0.0140,0.1370
AFMJD6861H,JD,0.2470,0.0330,0.2800,0.0190,0.4170,0.0040
AFMJD6864H,JD,0.1000,0.1310,0.4810,0.2560,0.0030,0.0290
AFMJD6873H,JD,0.0420,0.1922,0.7327,0.0090,0.0180,0.0060
AFMJD6875H,JD,0.0400,0.0210,0.7380,0.1840,0.0100,0.0070
AFMJD6876H,JD,0.1550,0.0090,0.3330,0.0050,0.4870,0.0110
AFMJD6877H,JD,0.0790,0.0090,0.1110,0.0780,0.6210,0.1020
