AFMGD6799H,GD,0.0010,0.0010,0.0010,0.0010,0.0010,0.9940,0.0010
AFMGD6801H,GD,0.0060,0.4416,0.0060,0.0210,0.2537,0.0230,0.2488
AFMGD6802H,GD,0.0020,0.0040,0.0020,0.0040,0.9450,0.0300,0.0130
AFMGD6803H,GD,0.0030,0.2435,0.0250,0.0240,0.3283,0.0070,0.3693
AFMGD6804H,GD,0.0010,0.9910,0.0020,0.0010,0.0020,0.0010,0.0020
AFMGD6805H,GD,0.0280,0.0070,0.2428,0.5594,0.0020,0.0040,0.1568
AFMGD6812H,GD,0.0020,0.3340,0.0150,0.0450,0.0320,0.0710,0.5010
AFMGD6814H,GD,0.0020,0.4990,0.0280,0.2490,0.0770,0.1070,0.0380
AFMGD6818H,GD,0.0010,0.0020,0.0020,0.0950,0.6720,0.0020,0.2260
AFMGD6819H,GD,0.0030,0.3910,0.2560,0.0040,0.0030,0.0010,0.3420
AFMGD6820H,GD,0.0901,0.0851,0.0130,0.5285,0.2392,0.0310,0.0130
AFMGD6821H,GD,0.1212,0.0150,0.2565,0.2615,0.2094,0.1293,0.0070
AFMGD6822H,GD,0.0010,0.9810,0.0020,0.0020,0.0030,0.0020,0.0090
AFMGS6734H,GS,0.0010,0.0020,0.0220,0.9640,0.0020,0.0010,0.0080
AFMGS6735H,GS,0.0050,0.0020,0.0040,0.7270,0.2540,0.0030,0.0050
AFMGS6736H,GS,0.0010,0.0020,0.0040,0.8382,0.0090,0.0080,0.1379
AFMGS6737H,GS,0.0020,0.0030,0.3000,0.6770,0.0100,0.0060,0.0020
AFMGS6738H,GS,0.0020,0.0010,0.0090,0.5876,0.2252,0.0811,0.0941
AFMGS6739H,GS,0.0110,0.2422,0.0130,0.6276,0.0981,0.0030,0.0050
AFMGS6740H,GS,0.0020,0.0010,0.1470,0.8020,0.0030,0.0030,0.0420
AFMGS6743H,GS,0.0020,0.0010,0.0040,0.8260,0.1580,0.0060,0.0030
AFMGS6745H,GS,0.0050,0.0070,0.5460,0.3820,0.0450,0.0020,0.0130
AFMGS6747H,GS,0.0020,0.0230,0.3267,0.5964,0.0030,0.0020,0.0470
