AFMGD6799H,GD,0.9954,0.0010,0.0036
AFMGD6801H,GD,0.8300,0.0044,0.1656
AFMGD6802H,GD,0.8650,0.0061,0.1289
AFMGD6803H,GD,0.8009,0.0020,0.1971
AFMGD6804H,GD,0.9176,0.0796,0.0028
AFMGD6805H,GD,0.2985,0.0187,0.6828
AFMGD6812H,GD,0.9294,0.0012,0.0694
AFMGD6814H,GD,0.7782,0.0010,0.2208
AFMGD6818H,GD,0.7618,0.0017,0.2365
AFMGD6819H,GD,0.8614,0.0059,0.1327
AFMGD6820H,GD,0.3675,0.0119,0.6206
AFMGD6821H,GD,0.3556,0.0744,0.5700
AFMGD6822H,GD,0.9896,0.0064,0.0040
AFMGS6734H,GS,0.0085,0.0010,0.9905
AFMGS6735H,GS,0.1059,0.0027,0.8914
AFMGS6736H,GS,0.0085,0.0010,0.9905
AFMGS6737H,GS,0.2097,0.0180,0.7723
AFMGS6738H,GS,0.2206,0.0010,0.7784
AFMGS6739H,GS,0.0828,0.0544,0.8628
AFMGS6740H,GS,0.0091,0.0045,0.9864
AFMGS6743H,GS,0.0022,0.0027,0.9951
AFMGS6745H,GS,0.1552,0.0075,0.8373
AFMGS6747H,GS,0.0727,0.0011,0.9262
AFMGS6750H,GS,0.0039,0.0014,0.9947
AFMGS6751H,GS,0.0090,0.0060,0.9850
AFMGS6752H,GS,0.0010,0.0010,0.9980
AFMGS6755H,GS,0.0126,0.0046,0.9828
AFMGS6756H,GS,0.1027,0.0010,0.8963
AFMJD6855H,JD,0.9913,0.0010,0.0077
AFMJD6856H,JD,0.9980,0.0010,0.0010
AFMJD6857H,JD,0.9230,0.0013,0.0757
AFMJD6858H,JD,0.7086,0.0191,0.2723
AFMJD6859H,JD,0.9068,0.0862,0.0070
AFMJD6861H,JD,0.8578,0.0021,0.1401
AFMJD6864H,JD,0.6550,0.0058,0.3392
AFMJD6873H,JD,0.9821,0.0143,0.0036
AFMJD6875H,JD,0.7667,0.0352,0.1981
AFMJD6876H,JD,0.9027,0.0039,0.0934
AFMJD6877H,JD,0.8389,0.0525,0.1086
AFMJD6878H,JD,0.8427,0.1551,0.0022
AFMJS6675H,JS,0.0049,0.0025,0.9926
AFMJS6676H,JS,0.0037,0.0054,0.9909
AFMJS6678H,JS,0.0188,0.0056,0.9756
AFMJS6680H,JS,0.1600,0.0068,0.8332
AFMJS6681H,JS,0.0045,0.0064,0.9891
AFMJS6682H,JS,0.3346,0.0026,0.6628
AFMJS6683H,JS,0.0023,0.0030,0.9947
AFMJS6687H,JS,0.0170,0.0302,0.9528
AFMJS6694H,JS,0.0146,0.0019,0.9835
AFMJS6695H,JS,0.0060,0.0018,0.9922
AFMJS6696H,JS,0.0513,0.0165,0.9322
AFMJS6698H,JS,0.1913,0.0020,0.8067
AFMJS6700H,JS,0.0048,0.0614,0.9338
AFMJS6702H,JS,0.1982,0.0062,0.7956
AFMPD6983H,PD,0.1960,0.1928,0.6111
AFMPD6985H,PD,0.7506,0.0017,0.2477
AFMPD6986H,PD,0.7941,0.1421,0.0638
AFMPD6987H,PD,0.9970,0.0020,0.0010
AFMPD6988H,PD,0.6375,0.0022,0.3603
AFMPD6989H,PD,0.7668,0.0304,0.2028
AFMPD6990H,PD,0.5944,0.0064,0.3992
AFMPD6991H,PD,0.8205,0.0090,0.1705
AFMPD6992H,PD,0.5395,0.2130,0.2475
AFMPD6993H,PD,0.6218,0.0667,0.3115
AFMPD6995H,PD,0.6166,0.0278,0.3556
AFMPD6998H,PD,0.7223,0.0402,0.2375
AFMPD7000H,PD,0.6367,0.1551,0.2082
AFMPD7001H,PD,0.6404,0.0018,0.3578
AFMPD7005H,PD,0.6495,0.1440,0.2066
AFMPD7006H,PD,0.6373,0.0242,0.3385
AFMPS6602H,PS,0.0039,0.0012,0.9949
AFMPS6603H,PS,0.0011,0.0010,0.9979
AFMPS6608H,PS,0.0077,0.0020,0.9903
AFMPS6610H,PS,0.0020,0.0010,0.9970
AFMPS6612H,PS,0.0051,0.0240,0.9709
AFMPS6613H,PS,0.1462,0.0181,0.8357
AFMPS6618H,PS,0.0025,0.1006,0.8969
AFMPS6622H,PS,0.0027,0.0035,0.9938
AFMPS6623H,PS,0.0074,0.0176,0.9750
AFMPS6625H,PS,0.1856,0.0058,0.8086
AFMPS6626H,PS,0.0071,0.1713,0.8216
AFMPS6627H,PS,0.0021,0.0067,0.9912
AFMPX6982H,PD,0.6047,0.1237,0.2716
AFMWD6915H,WD,0.4444,0.5403,0.0152
AFMWD6916H,WD,0.2591,0.6319,0.1090
AFMWD6917H,WD,0.1193,0.8358,0.0449
AFMWD6918H,WD,0.2292,0.6354,0.1354
AFMWD6919H,WD,0.0405,0.8030,0.1565
AFMWD6920H,WD,0.4438,0.3090,0.2473
AFMWD6921H,WD,0.1318,0.8635,0.0047
AFMWD6922H,WD,0.2945,0.6798,0.0257
AFMWD6923H,WD,0.2885,0.7051,0.0064
AFMWD6924H,WD,0.0103,0.9692,0.0205
AFMWD6926H,WD,0.6926,0.1004,0.2069
AFMWD6933H,WD,0.0986,0.8725,0.0289
AFMWD6935H,WD,0.0022,0.9968,0.0010
AFMWD6936H,WD,0.5164,0.4476,0.0360
