AFMGD6799H,GD,0.9960,0.0010,0.0030
AFMGD6801H,GD,0.8272,0.0040,0.1688
AFMGD6802H,GD,0.8560,0.0070,0.1370
AFMGD6803H,GD,0.7912,0.0020,0.2068
AFMGD6804H,GD,0.9590,0.0390,0.0020
AFMGD6805H,GD,0.3020,0.0180,0.6800
AFMGD6812H,GD,0.9270,0.0010,0.0720
AFMGD6814H,GD,0.7940,0.0010,0.2050
AFMGD6818H,GD,0.7450,0.0010,0.2540
AFMGD6819H,GD,0.8731,0.0060,0.1209
AFMGD6820H,GD,0.3546,0.0110,0.6344
AFMGD6821H,GD,0.3380,0.0660,0.5960
AFMGD6822H,GD,0.9950,0.0020,0.0030
AFMGS6734H,GS,0.0070,0.0010,0.9920
AFMGS6735H,GS,0.0950,0.0040,0.9010
AFMGS6736H,GS,0.0080,0.0010,0.9910
AFMGS6737H,GS,0.2230,0.0170,0.7600
AFMGS6738H,GS,0.2260,0.0010,0.7730
AFMGS6739H,GS,0.1410,0.0290,0.8300
AFMGS6740H,GS,0.0070,0.0040,0.9890
AFMGS6743H,GS,0.0020,0.0020,0.9960
AFMGS6745H,GS,0.1510,0.0110,0.8380
AFMGS6747H,GS,0.0951,0.0010,0.9039
AFMGS6750H,GS,0.0040,0.0010,0.9950
AFMGS6751H,GS,0.0080,0.0080,0.9840
AFMGS6752H,GS,0.0010,0.0010,0.9980
AFMGS6755H,GS,0.0090,0.0060,0.9850
AFMGS6756H,GS,0.0741,0.0010,0.9249
AFMJD6855H,JD,0.9840,0.0010,0.0150
AFMJD6856H,JD,0.9980,0.0010,0.0010
AFMJD6857H,JD,0.8890,0.0020,0.1090
AFMJD6858H,JD,0.7150,0.0140,0.2710
AFMJD6859H,JD,0.9180,0.0770,0.0050
AFMJD6861H,JD,0.8440,0.0020,0.1540
AFMJD6864H,JD,0.6456,0.0060,0.3483
AFMJD6873H,JD,0.9880,0.0080,0.0040
AFMJD6875H,JD,0.7808,0.0240,0.1952
AFMJD6876H,JD,0.8960,0.0030,0.1010
AFMJD6877H,JD,0.8202,0.0470,0.1329
AFMJD6878H,JD,0.8438,0.1542,0.0020
AFMJS6675H,JS,0.0080,0.0030,0.9890
AFMJS6676H,JS,0.0030,0.0040,0.9930
AFMJS6678H,JS,0.0160,0.0040,0.9800
AFMJS6680H,JS,0.2050,0.0050,0.7900
AFMJS6681H,JS,0.0050,0.0090,0.9860
AFMJS6682H,JS,0.3430,0.0020,0.6550
AFMJS6683H,JS,0.0030,0.0030,0.9940
AFMJS6687H,JS,0.0200,0.0280,0.9520
AFMJS6694H,JS,0.0150,0.0020,0.9830
AFMJS6695H,JS,0.0070,0.0020,0.9910
AFMJS6696H,JS,0.0769,0.0140,0.9091
AFMJS6698H,JS,0.1888,0.0020,0.8092
AFMJS6700H,JS,0.0050,0.0700,0.9250
AFMJS6702H,JS,0.1890,0.0040,0.8070
AFMPD6983H,PD,0.2012,0.1892,0.6096
AFMPD6985H,PD,0.7270,0.0020,0.2710
AFMPD6986H,PD,0.8120,0.1510,0.0370
AFMPD6987H,PD,0.9970,0.0020,0.0010
AFMPD6988H,PD,0.6300,0.0020,0.3680
AFMPD6989H,PD,0.7750,0.0300,0.1950
AFMPD6990H,PD,0.5890,0.0070,0.4040
AFMPD6991H,PD,0.8208,0.0080,0.1712
AFMPD6992H,PD,0.5200,0.2160,0.2640
AFMPD6993H,PD,0.6250,0.0510,0.3240
AFMPD6995H,PD,0.6060,0.0250,0.3690
AFMPD6998H,PD,0.7360,0.0360,0.2280
AFMPD7000H,PD,0.6286,0.1562,0.2152
AFMPD7001H,PD,0.6240,0.0020,0.3740
AFMPD7005H,PD,0.6360,0.1530,0.2110
AFMPD7006H,PD,0.6490,0.0190,0.3320
AFMPS6602H,PS,0.0040,0.0010,0.9950
AFMPS6603H,PS,0.0010,0.0010,0.9980
AFMPS6608H,PS,0.0100,0.0020,0.9880
AFMPS6610H,PS,0.0020,0.0010,0.9970
AFMPS6612H,PS,0.0040,0.0230,0.9730
AFMPS6613H,PS,0.1330,0.0150,0.8520
AFMPS6618H,PS,0.0020,0.0961,0.9019
AFMPS6622H,PS,0.0020,0.0030,0.9950
AFMPS6623H,PS,0.0070,0.0190,0.9740
AFMPS6625H,PS,0.1910,0.0060,0.8030
AFMPS6626H,PS,0.0080,0.1780,0.8140
AFMPS6627H,PS,0.0020,0.0080,0.9900
AFMPX6982H,PD,0.6010,0.1100,0.2890
AFMWD6915H,WD,0.4820,0.5040,0.0140
AFMWD6916H,WD,0.2723,0.6206,0.1071
AFMWD6917H,WD,0.1410,0.8170,0.0420
AFMWD6918H,WD,0.2452,0.6216,0.1331
AFMWD6919H,WD,0.1210,0.7940,0.0850
AFMWD6920H,WD,0.4410,0.3080,0.2510
AFMWD6921H,WD,0.1680,0.8280,0.0040
AFMWD6922H,WD,0.3087,0.6693,0.0220
AFMWD6923H,WD,0.3200,0.6730,0.0070
AFMWD6924H,WD,0.0090,0.9740,0.0170
AFMWD6926H,WD,0.6973,0.1149,0.1878
AFMWD6933H,WD,0.1370,0.8450,0.0180
AFMWD6935H,WD,0.0020,0.9970,0.0010
AFMWD6936H,WD,0.4865,0.4635,0.0501
