AFMGD6799H,GD,0.0010,0.0039,0.9910,0.0019,0.0022
AFMGD6801H,GD,0.0037,0.0111,0.4813,0.1064,0.3975
AFMGD6802H,GD,0.0031,0.4027,0.1727,0.0066,0.4150
AFMGD6803H,GD,0.0020,0.1642,0.4103,0.0876,0.3360
AFMGD6804H,GD,0.0043,0.0137,0.1286,0.0012,0.8522
AFMGD6805H,GD,0.0252,0.2663,0.1819,0.4891,0.0376
AFMGD6812H,GD,0.0018,0.0315,0.7120,0.0282,0.2265
AFMGD6814H,GD,0.0013,0.0087,0.3896,0.1824,0.4181
AFMGD6818H,GD,0.0010,0.3099,0.2517,0.1024,0.3350
AFMGD6819H,GD,0.0021,0.1707,0.3373,0.0271,0.4628
AFMGD6820H,GD,0.0106,0.2516,0.1603,0.4472,0.1303
AFMGD6821H,GD,0.0537,0.2896,0.0969,0.3941,0.1657
AFMGD6822H,GD,0.0010,0.0071,0.1247,0.0022,0.8650
AFMGS6734H,GS,0.0010,0.1086,0.0040,0.8759,0.0105
AFMGS6735H,GS,0.0021,0.1961,0.0264,0.7258,0.0496
AFMGS6736H,GS,0.0010,0.3384,0.0195,0.6360,0.0051
AFMGS6737H,GS,0.0093,0.3824,0.0133,0.5322,0.0628
AFMGS6738H,GS,0.0011,0.2383,0.1587,0.5691,0.0328
AFMGS6739H,GS,0.0041,0.3680,0.0050,0.4569,0.1660
AFMGS6740H,GS,0.0024,0.2908,0.0111,0.6940,0.0017
AFMGS6743H,GS,0.0018,0.3304,0.0017,0.6561,0.0100
AFMGS6745H,GS,0.0036,0.4301,0.0075,0.5268,0.0320
AFMGS6747H,GS,0.0010,0.4018,0.0042,0.5789,0.0141
AFMGS6750H,GS,0.0010,0.3652,0.0022,0.6235,0.0081
AFMGS6751H,GS,0.0076,0.0155,0.0027,0.9383,0.0359
AFMGS6752H,GS,0.0010,0.0820,0.0014,0.9143,0.0013
AFMGS6755H,GS,0.0039,0.1414,0.0035,0.7465,0.1047
AFMGS6756H,GS,0.0010,0.4761,0.0042,0.4545,0.0642
AFMJD6855H,JD,0.0011,0.0108,0.9789,0.0031,0.0061
AFMJD6856H,JD,0.0010,0.0015,0.9896,0.0010,0.0069
AFMJD6857H,JD,0.0012,0.0118,0.7363,0.0616,0.1891
AFMJD6858H,JD,0.0178,0.2054,0.5491,0.1669,0.0608
AFMJD6859H,JD,0.0404,0.0081,0.4732,0.0129,0.4654
AFMJD6861H,JD,0.0026,0.0887,0.6803,0.0936,0.1349
AFMJD6864H,JD,0.0023,0.4544,0.2136,0.0736,0.2561
AFMJD6873H,JD,0.0075,0.2461,0.4531,0.0022,0.2910
AFMJD6875H,JD,0.0098,0.2388,0.2457,0.1116,0.3942
AFMJD6876H,JD,0.0034,0.2034,0.6118,0.0143,0.1671
AFMJD6877H,JD,0.0731,0.0670,0.7380,0.0740,0.0478
AFMJD6878H,JD,0.1648,0.0328,0.7234,0.0018,0.0772
AFMJS6675H,JS,0.0013,0.0081,0.0027,0.9201,0.0678
AFMJS6676H,JS,0.0035,0.2157,0.0042,0.7735,0.0031
AFMJS6678H,JS,0.0036,0.4091,0.0088,0.5437,0.0348
AFMJS6680H,JS,0.0064,0.1517,0.0989,0.6612,0.0819
AFMJS6681H,JS,0.0039,0.2337,0.0020,0.7495,0.0109
AFMJS6682H,JS,0.0027,0.3114,0.1245,0.4115,0.1499
AFMJS6683H,JS,0.0041,0.0367,0.0023,0.9465,0.0104
AFMJS6687H,JS,0.0081,0.2664,0.0043,0.6713,0.0499
AFMJS6694H,JS,0.0016,0.3902,0.0036,0.5980,0.0066
AFMJS6695H,JS,0.0020,0.1001,0.0160,0.8784,0.0035
AFMJS6696H,JS,0.0052,0.2836,0.0084,0.6819,0.0209
AFMJS6698H,JS,0.0010,0.1676,0.0046,0.5923,0.2344
AFMJS6700H,JS,0.0242,0.2506,0.0019,0.6958,0.0275
AFMJS6702H,JS,0.0065,0.2079,0.0748,0.5850,0.1258
AFMPD6983H,PD,0.1745,0.3573,0.0144,0.3880,0.0658
AFMPD6985H,PD,0.0020,0.0441,0.4702,0.2147,0.2689
AFMPD6986H,PD,0.0049,0.3745,0.1193,0.0065,0.4948
AFMPD6987H,PD,0.0018,0.0022,0.6336,0.0010,0.3614
AFMPD6988H,PD,0.0012,0.4645,0.0474,0.0822,0.4047
AFMPD6989H,PD,0.0362,0.1186,0.7207,0.1154,0.0091
AFMPD6990H,PD,0.0031,0.2799,0.1998,0.2136,0.3037
AFMPD6991H,PD,0.0086,0.2450,0.5655,0.0549,0.1259
AFMPD6992H,PD,0.1503,0.3793,0.0316,0.0890,0.3497
AFMPD6993H,PD,0.0671,0.2417,0.4164,0.1813,0.0934
AFMPD6995H,PD,0.0056,0.5197,0.0510,0.1022,0.3215
AFMPD6998H,PD,0.0264,0.2386,0.4848,0.1286,0.1216
AFMPD7000H,PD,0.0408,0.7755,0.0328,0.0029,0.1480
AFMPD7001H,PD,0.0014,0.4161,0.4284,0.1484,0.0057
AFMPD7005H,PD,0.1173,0.1645,0.3280,0.1002,0.2900
AFMPD7006H,PD,0.0040,0.2435,0.0992,0.1863,0.4669
AFMPS6602H,PS,0.0015,0.1763,0.0028,0.8123,0.0071
AFMPS6603H,PS,0.0010,0.0545,0.0015,0.9411,0.0019
AFMPS6608H,PS,0.0019,0.0470,0.0039,0.8530,0.0941
AFMPS6610H,PS,0.0010,0.0890,0.0021,0.8994,0.0085
AFMPS6612H,PS,0.0136,0.0059,0.0058,0.9353,0.0394
AFMPS6613H,PS,0.0146,0.1869,0.0879,0.6792,0.0313
AFMPS6618H,PS,0.1213,0.0099,0.0035,0.8495,0.0158
AFMPS6622H,PS,0.0040,0.0248,0.0030,0.9637,0.0045
AFMPS6623H,PS,0.0223,0.1966,0.0058,0.7707,0.0046
AFMPS6625H,PS,0.0047,0.2284,0.1036,0.6166,0.0468
AFMPS6626H,PS,0.1560,0.1398,0.0027,0.6589,0.0426
AFMPS6627H,PS,0.0096,0.0617,0.0026,0.9219,0.0042
AFMPX6982H,PD,0.0713,0.4236,0.2451,0.0602,0.1998
AFMWD6915H,WD,0.4760,0.1698,0.1632,0.0062,0.1847
AFMWD6916H,WD,0.6018,0.1374,0.0339,0.0569,0.1700
AFMWD6917H,WD,0.7914,0.1577,0.0177,0.0143,0.0189
AFMWD6918H,WD,0.6316,0.1996,0.1085,0.0426,0.0177
AFMWD6919H,WD,0.7690,0.0706,0.0069,0.0641,0.0893
AFMWD6920H,WD,0.0326,0.7887,0.0054,0.0104,0.1629
AFMWD6921H,WD,0.6993,0.2038,0.0030,0.0023,0.0916
AFMWD6922H,WD,0.6958,0.0126,0.2586,0.0269,0.0061
AFMWD6923H,WD,0.5874,0.1851,0.0061,0.0025,0.2189
AFMWD6924H,WD,0.9660,0.0066,0.0045,0.0164,0.0065
AFMWD6926H,WD,0.0048,0.4450,0.1914,0.0045,0.3543
AFMWD6933H,WD,0.7610,0.1699,0.0065,0.0045,0.0581
AFMWD6935H,WD,0.9938,0.0010,0.0024,0.0013,0.0015
AFMWD6936H,WD,0.2759,0.5254,0.0153,0.0104,0.1730
