AFMGD6799H,GD,0.0010,0.0030,0.9920,0.0020,0.0020
AFMGD6801H,GD,0.0040,0.0050,0.4440,0.1340,0.4130
AFMGD6802H,GD,0.0030,0.6670,0.2790,0.0100,0.0410
AFMGD6803H,GD,0.0020,0.2597,0.3986,0.0989,0.2408
AFMGD6804H,GD,0.0010,0.0020,0.0020,0.0010,0.9940
AFMGD6805H,GD,0.0280,0.2228,0.1449,0.5465,0.0579
AFMGD6812H,GD,0.0020,0.0020,0.7320,0.0370,0.2270
AFMGD6814H,GD,0.0010,0.0100,0.3660,0.1880,0.4350
AFMGD6818H,GD,0.0010,0.6070,0.2630,0.1140,0.0150
AFMGD6819H,GD,0.0030,0.1920,0.2660,0.0060,0.5330
AFMGD6820H,GD,0.0100,0.2318,0.2058,0.5035,0.0490
AFMGD6821H,GD,0.0550,0.3140,0.1330,0.4190,0.0790
AFMGD6822H,GD,0.0010,0.0160,0.0580,0.0030,0.9220
AFMGS6734H,GS,0.0010,0.1210,0.0030,0.8710,0.0040
AFMGS6735H,GS,0.0020,0.2430,0.0170,0.7360,0.0020
AFMGS6736H,GS,0.0010,0.0820,0.0250,0.8870,0.0050
AFMGS6737H,GS,0.0140,0.3307,0.0120,0.6064,0.0370
AFMGS6738H,GS,0.0010,0.1690,0.1880,0.6400,0.0020
AFMGS6739H,GS,0.0030,0.1980,0.0040,0.6280,0.1670
AFMGS6740H,GS,0.0020,0.2110,0.0100,0.7760,0.0010
AFMGS6743H,GS,0.0010,0.2072,0.0020,0.7888,0.0010
AFMGS6745H,GS,0.0030,0.4454,0.0040,0.5435,0.0040
AFMGS6747H,GS,0.0010,0.2830,0.0040,0.6940,0.0180
AFMGS6750H,GS,0.0010,0.2270,0.0020,0.7680,0.0020
AFMGS6751H,GS,0.0080,0.0060,0.0040,0.9650,0.0170
AFMGS6752H,GS,0.0010,0.0010,0.0020,0.9950,0.0010
AFMGS6755H,GS,0.0050,0.0380,0.0030,0.7980,0.1560
AFMGS6756H,GS,0.0010,0.3930,0.0040,0.5950,0.0070
AFMJD6855H,JD,0.0010,0.0080,0.9860,0.0030,0.0020
AFMJD6856H,JD,0.0010,0.0020,0.9900,0.0010,0.0060
AFMJD6857H,JD,0.0010,0.0050,0.6867,0.0841,0.2232
AFMJD6858H,JD,0.0130,0.1952,0.5385,0.2182,0.0350
AFMJD6859H,JD,0.0150,0.0040,0.4230,0.0020,0.5560
AFMJD6861H,JD,0.0030,0.0340,0.6833,0.1359,0.1439
AFMJD6864H,JD,0.0020,0.4270,0.2090,0.1430,0.2190
AFMJD6873H,JD,0.0070,0.3270,0.4550,0.0020,0.2090
AFMJD6875H,JD,0.0180,0.2707,0.2438,0.1099,0.3576
AFMJD6876H,JD,0.0030,0.2480,0.6190,0.0210,0.1090
AFMJD6877H,JD,0.0760,0.0780,0.7240,0.0940,0.0280
AFMJD6878H,JD,0.1528,0.0549,0.7153,0.0020,0.0749
AFMJS6675H,JS,0.0010,0.0020,0.0020,0.8709,0.1241
AFMJS6676H,JS,0.0030,0.1211,0.0040,0.8689,0.0030
AFMJS6678H,JS,0.0050,0.2418,0.0140,0.7363,0.0030
AFMJS6680H,JS,0.0050,0.0030,0.0519,0.8022,0.1379
