AFMGD6799H,GD,0.0010,0.9960,0.0010,0.0010,0.0000,0.0010
AFMGD6801H,GD,0.2210,0.0330,0.0340,0.0020,0.0030,0.7070
AFMGD6802H,GD,0.0210,0.0641,0.0040,0.6496,0.0020,0.2593
AFMGD6803H,GD,0.2817,0.0050,0.0380,0.2887,0.0010,0.3856
AFMGD6804H,GD,0.0020,0.0010,0.0010,0.0020,0.0010,0.9930
AFMGD6805H,GD,0.1882,0.0130,0.5195,0.2422,0.0070,0.0300
AFMGD6812H,GD,0.4625,0.0260,0.0310,0.0070,0.0010,0.4725
AFMGD6814H,GD,0.0420,0.0640,0.1560,0.0140,0.0010,0.7230
AFMGD6818H,GD,0.2660,0.0010,0.1210,0.5950,0.0010,0.0160
AFMGD6819H,GD,0.2733,0.0010,0.0050,0.1351,0.0020,0.5836
AFMGD6820H,GD,0.0510,0.0140,0.5080,0.3030,0.0070,0.1170
AFMGD6821H,GD,0.0040,0.0940,0.3920,0.3150,0.0430,0.1520
AFMGD6822H,GD,0.0180,0.0010,0.0020,0.0030,0.0010,0.9750
AFMGS6734H,GS,0.0080,0.0010,0.8810,0.1070,0.0010,0.0020
AFMGS6735H,GS,0.0060,0.0040,0.7197,0.2673,0.0010,0.0020
AFMGS6736H,GS,0.0530,0.0040,0.7940,0.1450,0.0010,0.0030
AFMGS6737H,GS,0.0020,0.1171,0.5846,0.2563,0.0040,0.0360
AFMGS6738H,GS,0.0821,0.0490,0.6557,0.2102,0.0010,0.0020
AFMGS6739H,GS,0.0020,0.0020,0.5600,0.3120,0.0040,0.1200
AFMGS6740H,GS,0.0230,0.0010,0.7157,0.2573,0.0020,0.0010
AFMGS6743H,GS,0.0010,0.0040,0.7320,0.2600,0.0020,0.0010
AFMGS6745H,GS,0.0030,0.0020,0.5340,0.4540,0.0020,0.0050
AFMGS6747H,GS,0.0120,0.0010,0.6683,0.3067,0.0010,0.0110
AFMGS6750H,GS,0.0010,0.0020,0.6977,0.2963,0.0010,0.0020
AFMGS6751H,GS,0.0030,0.0010,0.9430,0.0040,0.0020,0.0470
AFMGS6752H,GS,0.0020,0.0010,0.9940,0.0010,0.0010,0.0010
AFMGS6755H,GS,0.0020,0.0230,0.7938,0.1381,0.0040,0.0390
AFMGS6756H,GS,0.0020,0.0050,0.4780,0.5090,0.0010,0.0050
AFMJD6855H,JD,0.9570,0.0140,0.0030,0.0200,0.0010,0.0050
AFMJD6856H,JD,0.9940,0.0020,0.0010,0.0010,0.0010,0.0010
AFMJD6857H,JD,0.2503,0.2963,0.0340,0.0190,0.0010,0.3994
AFMJD6858H,JD,0.2490,0.2830,0.2040,0.1950,0.0150,0.0540
AFMJD6859H,JD,0.0310,0.2340,0.0020,0.0030,0.0100,0.7200
AFMJD6861H,JD,0.6076,0.0090,0.0641,0.0961,0.0020,0.2212
AFMJD6864H,JD,0.0050,0.1230,0.0950,0.4260,0.0020,0.3490
AFMJD6873H,JD,0.0550,0.2120,0.0020,0.3040,0.0110,0.4160
AFMJD6875H,JD,0.0290,0.0230,0.0879,0.3027,0.0060,0.5514
