AFMGD6799H,GD,0.3950,0.0018,0.5979,0.0026,0.0010,0.0004,0.0013
AFMGD6801H,GD,0.3306,0.0029,0.0610,0.0710,0.0475,0.0035,0.4835
AFMGD6802H,GD,0.0563,0.2433,0.2068,0.4572,0.0014,0.0016,0.0334
AFMGD6803H,GD,0.3258,0.0918,0.0755,0.1842,0.0372,0.0014,0.2841
AFMGD6804H,GD,0.0017,0.0015,0.0011,0.0010,0.0010,0.0011,0.9926
AFMGD6805H,GD,0.1681,0.1677,0.0446,0.1777,0.3781,0.0118,0.0520
AFMGD6812H,GD,0.5760,0.0036,0.0405,0.0202,0.0269,0.0011,0.3317
AFMGD6814H,GD,0.2013,0.0072,0.0650,0.0641,0.1194,0.0011,0.5419
AFMGD6818H,GD,0.2368,0.2311,0.1606,0.3095,0.0576,0.0010,0.0034
AFMGD6819H,GD,0.2602,0.2202,0.0167,0.0032,0.0057,0.0014,0.4925
AFMGD6820H,GD,0.0867,0.0853,0.0611,0.3031,0.3673,0.0087,0.0877
AFMGD6821H,GD,0.0341,0.2455,0.0959,0.1557,0.3401,0.0298,0.0989
AFMGD6822H,GD,0.0207,0.0036,0.0084,0.0062,0.0013,0.0010,0.9588
AFMGS6734H,GS,0.0072,0.0700,0.0650,0.0811,0.7731,0.0010,0.0026
AFMGS6735H,GS,0.0062,0.0884,0.0893,0.1554,0.6576,0.0016,0.0015
AFMGS6736H,GS,0.0226,0.0033,0.0035,0.5962,0.3704,0.0010,0.0030
AFMGS6737H,GS,0.0066,0.2137,0.0484,0.2656,0.4215,0.0042,0.0399
AFMGS6738H,GS,0.0918,0.0570,0.0857,0.3064,0.4566,0.0010,0.0015
AFMGS6739H,GS,0.0018,0.0170,0.0227,0.4796,0.2992,0.0022,0.1775
AFMGS6740H,GS,0.0263,0.1225,0.0510,0.2650,0.5323,0.0018,0.0011
AFMGS6743H,GS,0.0014,0.0152,0.0178,0.4984,0.4648,0.0014,0.0010
AFMGS6745H,GS,0.0028,0.3743,0.0517,0.1293,0.4357,0.0021,0.0041
AFMGS6747H,GS,0.0103,0.1668,0.0144,0.3961,0.3918,0.0010,0.0196
AFMGS6750H,GS,0.0018,0.0397,0.0233,0.5035,0.4274,0.0010,0.0034
AFMGS6751H,GS,0.0039,0.0054,0.0739,0.0815,0.8230,0.0038,0.0085
AFMGS6752H,GS,0.0011,0.0010,0.0414,0.2016,0.7528,0.0010,0.0011
AFMGS6755H,GS,0.0025,0.0442,0.0761,0.1742,0.6260,0.0033,0.0737
AFMGS6756H,GS,0.0034,0.0821,0.0219,0.6056,0.2709,0.0010,0.0151
AFMJD6855H,JD,0.9682,0.0061,0.0061,0.0128,0.0020,0.0010,0.0038
AFMJD6856H,JD,0.9914,0.0011,0.0017,0.0009,0.0009,0.0007,0.0033
AFMJD6857H,JD,0.4458,0.0091,0.1871,0.0141,0.0335,0.0013,0.3091
AFMJD6858H,JD,0.3572,0.1852,0.1714,0.1108,0.1240,0.0122,0.0392
AFMJD6859H,JD,0.2202,0.0062,0.1497,0.0079,0.0048,0.0250,0.5862
AFMJD6861H,JD,0.6364,0.0708,0.0172,0.0839,0.0304,0.0021,0.1592
AFMJD6864H,JD,0.0776,0.5402,0.0717,0.1031,0.0131,0.0018,0.1925
AFMJD6873H,JD,0.2534,0.3631,0.1053,0.0052,0.0016,0.0050,0.2663
AFMJD6875H,JD,0.1284,0.3552,0.0311,0.0136,0.0604,0.0058,0.4054
AFMJD6876H,JD,0.5806,0.2116,0.0241,0.0942,0.0056,0.0023,0.0816
AFMJD6877H,JD,0.7188,0.0472,0.0148,0.0383,0.0668,0.0564,0.0577
AFMJD6878H,JD,0.6942,0.0407,0.0392,0.0042,0.0014,0.1704,0.0498
AFMJS6675H,JS,0.0012,0.0025,0.0640,0.0042,0.8213,0.0010,0.1058
AFMJS6676H,JS,0.0054,0.0251,0.0247,0.2934,0.6455,0.0035,0.0024
AFMJS6678H,JS,0.0030,0.0047,0.0120,0.6618,0.3139,0.0026,0.0020
AFMJS6680H,JS,0.0423,0.0026,0.0303,0.3296,0.4455,0.0055,0.1443
AFMJS6681H,JS,0.0014,0.1154,0.0533,0.2255,0.5978,0.0031,0.0035
AFMJS6682H,JS,0.1309,0.0155,0.0412,0.4849,0.2422,0.0026,0.0826
AFMJS6683H,JS,0.0018,0.0048,0.1009,0.0499,0.8240,0.0033,0.0153
AFMJS6687H,JS,0.0029,0.0437,0.0460,0.3424,0.5129,0.0055,0.0466
AFMJS6694H,JS,0.0042,0.2135,0.0112,0.3446,0.4212,0.0010,0.0043
AFMJS6695H,JS,0.0152,0.0067,0.0274,0.1706,0.7758,0.0018,0.0025
AFMJS6696H,JS,0.0079,0.0714,0.0279,0.3715,0.5136,0.0047,0.0030
AFMJS6698H,JS,0.0025,0.0060,0.0269,0.2479,0.4704,0.0010,0.2453
AFMJS6700H,JS,0.0014,0.1121,0.0343,0.2269,0.5703,0.0181,0.0369
AFMJS6702H,JS,0.0424,0.1136,0.0188,0.1570,0.5133,0.0040,0.1509
AFMPD6983H,PD,0.0093,0.2422,0.0198,0.2846,0.2587,0.1593,0.0261
AFMPD6985H,PD,0.2480,0.1000,0.1147,0.0062,0.1394,0.0016,0.3901
AFMPD6986H,PD,0.0196,0.4918,0.0569,0.0263,0.0051,0.0049,0.3954
AFMPD6987H,PD,0.5010,0.0029,0.0610,0.0353,0.0010,0.0016,0.3972
AFMPD6988H,PD,0.0114,0.2791,0.1854,0.4383,0.0181,0.0010,0.0668
AFMPD6989H,PD,0.2756,0.0560,0.4218,0.1181,0.0454,0.0227,0.0604
AFMPD6990H,PD,0.0729,0.2526,0.0788,0.1834,0.1158,0.0025,0.2940
AFMPD6991H,PD,0.3830,0.2108,0.1862,0.1179,0.0261,0.0063,0.0697
AFMPD6992H,PD,0.0060,0.4173,0.0329,0.0954,0.0482,0.1390,0.2612
AFMPD6993H,PD,0.3536,0.1792,0.0767,0.1228,0.1562,0.0616,0.0500
AFMPD6995H,PD,0.0151,0.6186,0.0089,0.0424,0.0421,0.0029,0.2700
AFMPD6998H,PD,0.2405,0.2351,0.2096,0.0662,0.1251,0.0156,0.1079
AFMPD7000H,PD,0.0045,0.9404,0.0262,0.0244,0.0015,0.0013,0.0017
AFMPD7001H,PD,0.2612,0.2795,0.1332,0.2336,0.0901,0.0010,0.0013
AFMPD7005H,PD,0.2440,0.1192,0.0240,0.1162,0.0467,0.1214,0.3285
AFMPD7006H,PD,0.0117,0.3183,0.0369,0.0790,0.0900,0.0025,0.4615
AFMPS6602H,PS,0.0024,0.0687,0.0244,0.1990,0.6991,0.0010,0.0054
AFMPS6603H,PS,0.0011,0.0020,0.0152,0.1072,0.8716,0.0010,0.0019
AFMPS6608H,PS,0.0022,0.0060,0.0143,0.0621,0.7711,0.0015,0.1428
AFMPS6610H,PS,0.0015,0.0021,0.0137,0.2010,0.7754,0.0010,0.0053
AFMPS6612H,PS,0.0031,0.0050,0.0099,0.0027,0.9257,0.0058,0.0478
AFMPS6613H,PS,0.0402,0.1019,0.1106,0.1023,0.6221,0.0052,0.0177
AFMPS6618H,PS,0.0030,0.0042,0.0528,0.0415,0.7881,0.0872,0.0233
AFMPS6622H,PS,0.0021,0.0051,0.0270,0.0405,0.9179,0.0028,0.0046
AFMPS6623H,PS,0.0032,0.0647,0.0351,0.2377,0.6405,0.0164,0.0025
AFMPS6625H,PS,0.0365,0.0811,0.0970,0.2672,0.5120,0.0038,0.0024
AFMPS6626H,PS,0.0022,0.0223,0.0120,0.1855,0.5716,0.1608,0.0455
AFMPS6627H,PS,0.0023,0.0213,0.0391,0.1447,0.7843,0.0055,0.0028
AFMPX6982H,PD,0.1059,0.4114,0.1128,0.1627,0.0182,0.0510,0.1381
AFMWD6915H,WD,0.1161,0.1743,0.0306,0.0199,0.0043,0.4720,0.1827
AFMWD6916H,WD,0.0307,0.1742,0.0259,0.0386,0.0441,0.6009,0.0856
AFMWD6917H,WD,0.0088,0.1586,0.0207,0.0197,0.0109,0.7777,0.0036
AFMWD6918H,WD,0.0353,0.1276,0.0682,0.1177,0.0186,0.6188,0.0137
AFMWD6919H,WD,0.0026,0.0434,0.0140,0.0249,0.0354,0.7471,0.1325
AFMWD6920H,WD,0.0047,0.8918,0.0147,0.0661,0.0076,0.0044,0.0107
AFMWD6921H,WD,0.0020,0.2761,0.0108,0.0030,0.0019,0.6878,0.0184
AFMWD6922H,WD,0.2441,0.0040,0.0381,0.0142,0.0179,0.6778,0.0039
AFMWD6923H,WD,0.0039,0.1620,0.1032,0.0112,0.0019,0.5573,0.1605
AFMWD6924H,WD,0.0059,0.0035,0.0064,0.0072,0.0133,0.9610,0.0027
AFMWD6926H,WD,0.2105,0.4660,0.0312,0.0595,0.0041,0.0033,0.2255
AFMWD6933H,WD,0.0032,0.1582,0.0345,0.0253,0.0024,0.7141,0.0623
AFMWD6935H,WD,0.0080,0.0010,0.0012,0.0010,0.0011,0.9867,0.0010
