AFMGD6799H,GD,0.0010,0.0010,0.9960,0.0000,0.0010,0.0000,0.0010
AFMGD6801H,GD,0.3077,0.0030,0.0599,0.1369,0.0330,0.0030,0.4565
AFMGD6802H,GD,0.0110,0.0020,0.0130,0.9670,0.0020,0.0010,0.0040
AFMGD6803H,GD,0.3410,0.0090,0.0050,0.3470,0.0340,0.0010,0.2630
AFMGD6804H,GD,0.0010,0.0010,0.0010,0.0010,0.0010,0.0010,0.9940
AFMGD6805H,GD,0.1840,0.2850,0.0080,0.0030,0.4920,0.0050,0.0230
AFMGD6812H,GD,0.6100,0.0080,0.0410,0.0070,0.0370,0.0010,0.2960
AFMGD6814H,GD,0.1728,0.0080,0.0509,0.0809,0.1259,0.0010,0.5604
AFMGD6818H,GD,0.2300,0.0020,0.0010,0.7570,0.0070,0.0010,0.0020
AFMGD6819H,GD,0.2990,0.1970,0.0010,0.0040,0.0020,0.0010,0.4960
AFMGD6820H,GD,0.0531,0.0280,0.0100,0.3233,0.5365,0.0060,0.0430
AFMGD6821H,GD,0.0040,0.2560,0.0800,0.1840,0.3780,0.0270,0.0710
AFMGD6822H,GD,0.0210,0.0020,0.0010,0.0070,0.0010,0.0010,0.9670
AFMGS6734H,GS,0.0070,0.0820,0.0010,0.0060,0.9010,0.0010,0.0020
AFMGS6735H,GS,0.0060,0.0040,0.0030,0.2430,0.7410,0.0010,0.0020
AFMGS6736H,GS,0.0579,0.0050,0.0060,0.0320,0.8941,0.0010,0.0040
AFMGS6737H,GS,0.0020,0.3330,0.0640,0.0190,0.5760,0.0030,0.0030
AFMGS6738H,GS,0.0490,0.0070,0.0661,0.1812,0.6947,0.0010,0.0010
AFMGS6739H,GS,0.0020,0.0240,0.0030,0.1290,0.6710,0.0020,0.1690
AFMGS6740H,GS,0.0220,0.2012,0.0020,0.0020,0.7708,0.0010,0.0010
AFMGS6743H,GS,0.0010,0.0140,0.0040,0.1820,0.7970,0.0010,0.0010
AFMGS6745H,GS,0.0020,0.4140,0.0010,0.0570,0.5210,0.0020,0.0030
AFMGS6747H,GS,0.0080,0.2990,0.0010,0.0030,0.6840,0.0010,0.0040
AFMGS6750H,GS,0.0010,0.0710,0.0020,0.1270,0.7960,0.0010,0.0020
AFMGS6751H,GS,0.0030,0.0020,0.0010,0.0660,0.9150,0.0030,0.0100
AFMGS6752H,GS,0.0010,0.0010,0.0010,0.0010,0.9940,0.0010,0.0010
AFMGS6755H,GS,0.0010,0.0521,0.0270,0.0140,0.7888,0.0030,0.1141
AFMGS6756H,GS,0.0030,0.0560,0.0080,0.2890,0.6350,0.0010,0.0080
AFMJD6855H,JD,0.9790,0.0060,0.0050,0.0040,0.0020,0.0010,0.0030
AFMJD6856H,JD,0.9920,0.0010,0.0030,0.0010,0.0010,0.0000,0.0020
AFMJD6857H,JD,0.3580,0.0140,0.2890,0.0030,0.0380,0.0010,0.2970
AFMJD6858H,JD,0.2587,0.2258,0.2807,0.0040,0.1978,0.0110,0.0220
AFMJD6859H,JD,0.1159,0.0040,0.2258,0.0280,0.0020,0.0160,0.6084
AFMJD6861H,JD,0.6663,0.1329,0.0090,0.0080,0.0659,0.0020,0.1159
AFMJD6864H,JD,0.0070,0.7490,0.1110,0.0020,0.0190,0.0010,0.1110
AFMJD6873H,JD,0.1732,0.4064,0.1672,0.0080,0.0020,0.0080,0.2352
AFMJD6875H,JD,0.1230,0.4300,0.0200,0.0060,0.0580,0.0020,0.3610
AFMJD6876H,JD,0.6090,0.2310,0.0040,0.0970,0.0100,0.0020,0.0470
AFMJD6877H,JD,0.7377,0.0751,0.0020,0.0501,0.0631,0.0370,0.0350
AFMJD6878H,JD,0.6727,0.0470,0.0751,0.0060,0.0010,0.1632,0.0350
AFMJS6675H,JS,0.0010,0.0020,0.0010,0.0010,0.8701,0.0010,0.1239
AFMJS6676H,JS,0.0070,0.0450,0.0020,0.0240,0.9160,0.0040,0.0020
AFMJS6678H,JS,0.0030,0.0040,0.0100,0.2350,0.7430,0.0040,0.0010
AFMJS6680H,JS,0.0890,0.0030,0.0040,0.0020,0.7530,0.0040,0.1450
AFMJS6681H,JS,0.0010,0.1528,0.0160,0.0030,0.8222,0.0030,0.0020
AFMJS6682H,JS,0.1040,0.0050,0.0020,0.3140,0.5270,0.0020,0.0460
AFMJS6683H,JS,0.0020,0.0040,0.0010,0.0040,0.9690,0.0060,0.0140
AFMJS6687H,JS,0.0030,0.0689,0.0030,0.0290,0.8232,0.0060,0.0669
AFMJS6694H,JS,0.0040,0.2817,0.0010,0.0030,0.7063,0.0010,0.0030
AFMJS6695H,JS,0.0190,0.0070,0.0080,0.0050,0.9580,0.0010,0.0020
AFMJS6696H,JS,0.0090,0.0962,0.0030,0.1042,0.7796,0.0060,0.0020
AFMJS6698H,JS,0.0030,0.0080,0.0010,0.0370,0.7197,0.0010,0.2302
AFMJS6700H,JS,0.0010,0.1490,0.0010,0.0020,0.7910,0.0230,0.0330
AFMJS6702H,JS,0.0580,0.2030,0.0010,0.0460,0.6150,0.0050,0.0720
AFMPD6983H,PD,0.0120,0.2980,0.0040,0.0170,0.4990,0.1470,0.0230
AFMPD6985H,PD,0.1950,0.1850,0.1490,0.0080,0.1250,0.0010,0.3370
AFMPD6986H,PD,0.0070,0.4174,0.0571,0.0801,0.0030,0.0050,0.4304
AFMPD6987H,PD,0.4835,0.0010,0.0420,0.0761,0.0010,0.0010,0.3954
AFMPD6988H,PD,0.0020,0.0030,0.0010,0.9321,0.0130,0.0010,0.0480
AFMPD6989H,PD,0.0050,0.1001,0.6947,0.0100,0.1061,0.0220,0.0621
AFMPD6990H,PD,0.0170,0.2770,0.0850,0.1150,0.2200,0.0020,0.2840
AFMPD6991H,PD,0.2873,0.2012,0.2543,0.1351,0.0581,0.0050,0.0591
AFMPD6992H,PD,0.0030,0.4136,0.0080,0.1269,0.0509,0.1459,0.2517
AFMPD6993H,PD,0.3470,0.1600,0.0590,0.1570,0.2030,0.0580,0.0160
AFMPD6995H,PD,0.0120,0.7050,0.0020,0.0050,0.0220,0.0010,0.2530
AFMPD6998H,PD,0.0740,0.2350,0.3350,0.0450,0.1680,0.0150,0.1280
AFMPD7000H,PD,0.0030,0.9349,0.0070,0.0511,0.0010,0.0010,0.0020
AFMPD7001H,PD,0.1572,0.3483,0.2232,0.0551,0.2142,0.0010,0.0010
AFMPD7005H,PD,0.2192,0.1682,0.0110,0.0871,0.0991,0.1101,0.3053
AFMPD7006H,PD,0.0110,0.3283,0.0050,0.1291,0.0751,0.0020,0.4494
AFMPS6602H,PS,0.0020,0.0581,0.0040,0.0160,0.9079,0.0010,0.0110
AFMPS6603H,PS,0.0010,0.0010,0.0010,0.0010,0.9930,0.0010,0.0020
AFMPS6608H,PS,0.0020,0.0040,0.0010,0.0020,0.8090,0.0020,0.1800
AFMPS6610H,PS,0.0010,0.0020,0.0150,0.0050,0.9700,0.0010,0.0060
AFMPS6612H,PS,0.0020,0.0030,0.0030,0.0010,0.8979,0.0050,0.0881
AFMPS6613H,PS,0.0050,0.1670,0.0860,0.0080,0.7090,0.0030,0.0220
AFMPS6618H,PS,0.0020,0.0030,0.0010,0.0600,0.8310,0.0970,0.0060
