"GD","GS","JD","JS","PD","PS","WD"
"AFMGD6799H",0.00682808943509215,7.38970484650296e-10,0.829324704409356,3.8186287318005e-09,0.163847201252043,1.73914662599713e-10,1.71994380216171e-10
"AFMGD6801H",0.848483161655328,6.11978914704609e-07,0.0408322655975864,2.93723579216242e-05,0.11064967257797,4.91567230792963e-06,1.59971634373152e-10
"AFMGD6802H",0.559602147783113,1.3899049133424e-05,0.00392852017124206,2.8301816496009e-05,0.43642005276776,7.06208247131239e-06,1.63297847051204e-08
"AFMGD6803H",0.714207006780575,0.000145051965110293,0.0176128589418978,0.000462544531654011,0.267320519561092,0.000252018183023395,3.66469646966891e-11
"AFMGD6804H",0.735879883803731,2.07966507659467e-07,0.116460539820515,3.69073191578155e-06,0.147649186226371,4.69132520007331e-07,6.02231843958519e-06
"AFMGD6805H",0.0349219766318256,0.504755745342043,0.011543114564494,0.275049733898396,0.123951607919905,0.0497776965341486,1.25109186997101e-07
"AFMGD6812H",0.621247244960506,2.38946896623502e-07,0.243262576136447,1.71971705411145e-06,0.135487588750697,6.31488174366574e-07,2.25349433349187e-13
"AFMGD6814H",0.813814624611267,2.73828835592487e-05,0.0109135960690377,0.000352085458784722,0.174622267272484,0.000270043686204237,1.86631436998905e-11
"AFMGD6818H",0.639549297252357,1.0905558366549e-05,0.00225618404077525,6.87103260474508e-06,0.358170567520384,6.17284035282972e-06,1.75515994594452e-09
"AFMGD6819H",0.858855072788173,3.34316411038658e-06,0.0233098126022396,2.48566557067791e-05,0.117789076261162,1.78359059252238e-05,2.62268269093031e-09
"AFMGD6820H",0.106130768089078,0.105414276597158,0.000504431230483115,0.256440059093961,0.273156032506368,0.258354431529226,9.53725979918073e-10
"AFMGD6821H",0.219281892028906,0.025908268550584,0.00158581259556194,0.0603478687970504,0.637057681765927,0.0558184758505613,4.11408973363535e-10
"AFMGD6822H",0.770455519904377,1.25608141585317e-05,0.0359967130802114,5.30305415566774e-05,0.193473446200541,8.71433608892361e-06,1.51230668661233e-08
"AFMGS6734H",4.30104362620146e-06,0.900272067843222,9.58952863418882e-08,0.0636325846928403,2.7811688154044e-06,0.0360881693562093,4.7195521144266e-16
"AFMGS6735H",0.000101472332408416,0.120375165682419,8.39628118599246e-07,0.0609239745476917,0.00142139603906624,0.817177151683147,8.71496337585252e-11
"AFMGS6736H",2.1366574991456e-05,0.605141692823722,8.72661430539701e-09,0.360412462547177,1.49103409660378e-05,0.0344095589865287,5.7121097342035e-16
"AFMGS6737H",0.0344881738290836,0.168237362652258,0.000214381193115998,0.511229241046177,0.096512776210163,0.189318064680842,3.88360445959221e-10
"AFMGS6738H",0.000156682698238987,0.498003981396967,9.63167557744583e-07,0.456634241628427,0.00112921324701008,0.0440749174689322,3.92866805134965e-10
"AFMGS6739H",1.51182488254769e-05,0.659151587825378,1.82483777516999e-07,0.310962132247398,7.40730372702315e-05,0.0297969060797734,7.7577507647445e-11
"AFMGS6740H",7.66486575033395e-07,0.940620245836158,2.07960578389588e-06,0.0573712104300669,1.89709862666604e-05,0.00198671696282688,9.69232289616882e-09
"AFMGS6743H",9.21435186776196e-08,0.777650554074521,1.15063751138402e-09,0.216319948173536,1.80908619241027e-06,0.00602759522717883,1.44415567628291e-10
"AFMGS6745H",8.74021687831574e-05,0.563377328563683,2.6827045518784e-06,0.293722315220082,0.00113978177258406,0.141670480928729,8.64158721602437e-09
"AFMGS6747H",5.00251487455529e-05,0.769160840134948,5.7454156628401e-07,0.211002502283197,6.92272658241833e-05,0.0197168306249207,7.98723631241152e-13
"AFMGS6750H",2.25640995149676e-06,0.608698070458388,6.91643828336422e-09,0.367244758959532,7.63187588568693e-06,0.0240472753711617,8.6425280334794e-12
"AFMGS6751H",6.70589287683914e-06,0.284927461548227,8.61049337630081e-08,0.289032700620329,5.16534698871362e-05,0.425981392074901,2.88844539703687e-10
