SICB155378H	645793 reads
SICB155507H	495924 reads
SIMGD6824H	2391073 reads
SIMGD6825H	1466535 reads
SIMGD6826H	1185165 reads
SIMGD6827H	1994154 reads
SIMGD6828H	415261 reads
SIMGD6829H	695605 reads
SIMGD6831H	3052687 reads
SIMGD6833H	714235 reads
SIMGD6840H	691051 reads
SIMGD6841H	628480 reads
SIMGD6844H	794107 reads
SIMGD6846H	2300531 reads
SIMGD6847H	1574207 reads
SIMGD6848H	522742 reads
SIMGD6851H	2679995 reads
SIMGS6764H	1890206 reads
SIMGS6765H	2599034 reads
SIMGS6767H	1481104 reads
SIMGS6768H	918887 reads
SIMGS6769H	1440460 reads
SIMGS6771H	611814 reads
SIMGS6773H	2084555 reads
SIMGS6775H	3049293 reads
SIMGS6776H	892871 reads
SIMGS6778H	2209791 reads
SIMGS6780H	811579 reads
SIMGS6784H	937451 reads
SIMGS6785H	1095073 reads
SIMGS6788H	992831 reads
SIMGS6789H	1180468 reads
SIMGS6790H	2888857 reads
SIMJD6884H	745614 reads
SIMJD6886H	1598570 reads
SIMJD6887H	573389 reads
SIMJD6888H	1076479 reads
SIMJD6893H	375822 reads
SIMJD6894H	649239 reads
SIMJD6895H	2475142 reads
SIMJD6896H	445149 reads
SIMJD6897H	697907 reads
SIMJD6898H	980695 reads
SIMJD6899H	1391908 reads
SIMJD6905H	377844 reads
SIMJD6906H	1545744 reads
SIMJD6907H	694542 reads
SIMJD6908H	728910 reads
SIMJD6913H	3409914 reads
SIMJS6704H	1468706 reads
SIMJS6706H	3791658 reads
SIMJS6707H	1463528 reads
SIMJS6709H	1351185 reads
SIMJS6711H	1838434 reads
SIMJS6713H	2131581 reads
SIMJS6715H	1872344 reads
SIMJS6716H	3585244 reads
SIMJS6717H	2845997 reads
SIMJS6718H	3118649 reads
SIMJS6720H	1469352 reads
SIMJS6725H	3752942 reads
SIMJS6726H	1265823 reads
SIMJS6727H	1509152 reads
SIMJS6728H	2010423 reads
SIMPD7015H	819282 reads
SIMPD7016H	925116 reads
SIMPD7018H	675545 reads
SIMPD7019H	1591751 reads
SIMPD7021H	2908078 reads
SIMPD7022H	868018 reads
SIMPD7023H	1046407 reads
SIMPD7024H	1652278 reads
SIMPD7025H	652845 reads
SIMPD7027H	957994 reads
SIMPD7035H	583697 reads
SIMPD7036H	384002 reads
SIMPD7037H	1310797 reads
SIMPD7040H	1046153 reads
SIMPD7041H	936504 reads
SIMPS6633H	709081 reads
SIMPS6634H	1122465 reads
SIMPS6635H	1782589 reads
SIMPS6638H	1147236 reads
SIMPS6639H	933485 reads
SIMPS6641H	1525929 reads
SIMPS6642H	571255 reads
SIMPS6643H	730572 reads
SIMPS6644H	819095 reads
SIMPS6645H	1543500 reads
SIMPS6646H	2263733 reads
SIMPS6652H	571409 reads
SIMPS6654H	789174 reads
SIMPS6657H	916497 reads
SIMPS6658H	744835 reads
SIMPS6661H	1400464 reads
SIMWD6945H	2592489 reads
SIMWD6947H	915693 reads
SIMWD6948H	2633717 reads
SIMWD6954H	1651259 reads
SIMWD6955H	649993 reads
SIMWD6956H	521551 reads
SIMWD6957H	1015985 reads
SIMWD6958H	632715 reads
SIMWD6959H	3321267 reads
SIMWD6962H	483799 reads
SIMWD6967H	1123942 reads
SIMWD6968H	799873 reads
SIMWD6969H	981762 reads
SIMWD6972H	1017788 reads
