INDIVIDUAL	MISS	GENO	TOTAL	% GENOTYPED
SIMGD6824H	1206	6449	7655	84.25
SIMGD6825H	601	7054	7655	92.15
SIMGD6826H	1304	6351	7655	82.97
SIMGD6827H	752	6903	7655	90.18
SIMGD6828H	5296	2359	7655	30.82
SIMGD6829H	1308	6347	7655	82.91
SIMGD6831H	1458	6197	7655	80.95
SIMGD6833H	2382	5273	7655	68.88
SIMGD6840H	1567	6088	7655	79.53
SIMGD6841H	2078	5577	7655	72.85
SIMGD6844H	1687	5968	7655	77.96
SIMGD6846H	1624	6031	7655	78.79
SIMGD6847H	514	7141	7655	93.29
SIMGD6848H	3495	4160	7655	54.34
SIMGD6851H	1020	6635	7655	86.68
SIMGS6764H	1037	6618	7655	86.45
SIMGS6765H	932	6723	7655	87.82
SIMGS6767H	903	6752	7655	88.2
SIMGS6768H	901	6754	7655	88.23
SIMGS6769H	553	7102	7655	92.78
SIMGS6771H	1956	5699	7655	74.45
SIMGS6773H	750	6905	7655	90.2
SIMGS6775H	715	6940	7655	90.66
SIMGS6776H	1016	6639	7655	86.73
SIMGS6778H	3301	4354	7655	56.88
SIMGS6780H	909	6746	7655	88.13
SIMGS6784H	2022	5633	7655	73.59
SIMGS6785H	1165	6490	7655	84.78
SIMGS6788H	2075	5580	7655	72.89
SIMGS6789H	1075	6580	7655	85.96
SIMGS6790H	576	7079	7655	92.48
SIMJD6884H	2100	5555	7655	72.57
SIMJD6886H	784	6871	7655	89.76
SIMJD6887H	2051	5604	7655	73.21
SIMJD6888H	773	6882	7655	89.9
SIMJD6894H	1433	6222	7655	81.28
SIMJD6895H	3699	3956	7655	51.68
SIMJD6896H	2835	4820	7655	62.97
SIMJD6897H	1794	5861	7655	76.56
SIMJD6898H	879	6776	7655	88.52
SIMJD6899H	1310	6345	7655	82.89
SIMJD6905H	4516	3139	7655	41.01
SIMJD6906H	800	6855	7655	89.55
SIMJD6907H	1541	6114	7655	79.87
SIMJD6908H	1147	6508	7655	85.02
SIMJD6913H	1438	6217	7655	81.21
SIMJS6704H	757	6898	7655	90.11
SIMJS6706H	680	6975	7655	91.12
SIMJS6707H	614	7041	7655	91.98
SIMJS6709H	1707	5948	7655	77.7
SIMJS6711H	569	7086	7655	92.57
SIMJS6713H	533	7122	7655	93.04
SIMJS6715H	2974	4681	7655	61.15
SIMJS6716H	1144	6511	7655	85.06
SIMJS6717H	1022	6633	7655	86.65
SIMJS6718H	501	7154	7655	93.46
SIMJS6725H	1039	6616	7655	86.43
SIMJS6726H	671	6984	7655	91.23
SIMJS6727H	869	6786	7655	88.65
SIMJS6728H	604	7051	7655	92.11
SIMPD7015H	2362	5293	7655	69.14
SIMPD7016H	905	6750	7655	88.18
SIMPD7018H	3703	3952	7655	51.63
SIMPD7019H	1401	6254	7655	81.7
SIMPD7021H	1746	5909	7655	77.19
SIMPD7022H	1127	6528	7655	85.28
SIMPD7023H	669	6986	7655	91.26
SIMPD7024H	451	7204	7655	94.11
SIMPD7025H	2708	4947	7655	64.62
SIMPD7027H	1119	6536	7655	85.38
SIMPD7035H	1782	5873	7655	76.72
SIMPD7036H	3526	4129	7655	53.94
SIMPD7037H	1296	6359	7655	83.07
SIMPD7040H	750	6905	7655	90.2
SIMPD7041H	1083	6572	7655	85.85
SIMPS6633H	1436	6219	7655	81.24
SIMPS6634H	786	6869	7655	89.73
SIMPS6635H	1285	6370	7655	83.21
SIMPS6638H	961	6694	7655	87.45
SIMPS6639H	1275	6380	7655	83.34
SIMPS6641H	687	6968	7655	91.03
SIMPS6642H	1636	6019	7655	78.63
SIMPS6643H	899	6756	7655	88.26
SIMPS6644H	1026	6629	7655	86.6
SIMPS6645H	609	7046	7655	92.04
SIMPS6646H	1506	6149	7655	80.33
SIMPS6652H	3198	4457	7655	58.22
SIMPS6654H	1709	5946	7655	77.67
SIMPS6657H	845	6810	7655	88.96
SIMPS6658H	1541	6114	7655	79.87
SIMPS6661H	1158	6497	7655	84.87
SIMWD6945H	722	6933	7655	90.57
SIMWD6947H	1210	6445	7655	84.19
SIMWD6948H	1870	5785	7655	75.57
SIMWD6954H	545	7110	7655	92.88
SIMWD6955H	2531	5124	7655	66.94
SIMWD6956H	1549	6106	7655	79.76
SIMWD6957H	918	6737	7655	88.01
SIMWD6958H	1325	6330	7655	82.69
SIMWD6959H	1123	6532	7655	85.33
SIMWD6962H	4161	3494	7655	45.64
SIMWD6967H	1026	6629	7655	86.6
SIMWD6968H	1163	6492	7655	84.81
SIMWD6969H	1423	6232	7655	81.41
SIMWD6972H	1140	6515	7655	85.11
