beta  ances 
0.225 0.218
0.232 0.216
0.233 0.212
0.232 0.212
0.233 0.213
0.231 0.214
0.232 0.215
0.233 0.216
0.234 0.216
0.235 0.215
0.235 0.216
0.237 0.216
0.236 0.217
0.236 0.217
0.236 0.216
0.236 0.216
0.236 0.216
0.236 0.216
0.236 0.216
0.235 0.216
0.235 0.216
0.234 0.216
0.234 0.216
0.234 0.216
0.234 0.216
0.234 0.216
0.234 0.216
0.234 0.216
0.234 0.216
0.234 0.216
0.234 0.215
0.234 0.215
0.234 0.215
0.234 0.215
0.234 0.215
0.234 0.216
0.234 0.216
0.235 0.216
0.235 0.217
0.235 0.216
0.235 0.217
0.235 0.217
0.235 0.217
0.235 0.216
0.235 0.216
0.235 0.216
0.235 0.216
0.235 0.216
0.235 0.217
