SIMGD6824H,GD,0.0123,0.0172,0.9705
SIMGD6825H,GD,0.0065,0.0110,0.9825
SIMGD6826H,GD,0.0169,0.0268,0.9563
SIMGD6827H,GD,0.0053,0.0071,0.9876
SIMGD6828H,GD,0.0243,0.0527,0.9230
SIMGD6829H,GD,0.0141,0.0119,0.9740
SIMGD6831H,GD,0.0100,0.0065,0.9835
SIMGD6833H,GD,0.0086,0.0183,0.9731
SIMGD6840H,GD,0.0462,0.0227,0.9311
SIMGD6841H,GD,0.0545,0.0452,0.9003
SIMGD6844H,GD,0.0737,0.0676,0.8587
SIMGD6846H,GD,0.0104,0.0096,0.9800
SIMGD6847H,GD,0.0138,0.0255,0.9607
SIMGD6848H,GD,0.0273,0.0200,0.9527
SIMGD6851H,GD,0.0311,0.0102,0.9587
SIMGS6764H,GS,0.8217,0.1704,0.0079
SIMGS6765H,GS,0.8821,0.1082,0.0097
SIMGS6767H,GS,0.8760,0.1149,0.0091
SIMGS6768H,GS,0.8447,0.1246,0.0307
SIMGS6769H,GS,0.8268,0.1641,0.0091
SIMGS6771H,GS,0.8740,0.1190,0.0070
SIMGS6773H,GS,0.8088,0.1741,0.0171
SIMGS6775H,GS,0.8819,0.1021,0.0160
SIMGS6776H,GS,0.6881,0.0957,0.2162
SIMGS6778H,GS,0.7117,0.2684,0.0199
SIMGS6780H,GS,0.7011,0.1208,0.1781
SIMGS6784H,GS,0.6808,0.1279,0.1913
SIMGS6785H,GS,0.8810,0.1127,0.0063
SIMGS6788H,GS,0.8715,0.1092,0.0193
SIMGS6789H,GS,0.8807,0.1058,0.0135
SIMGS6790H,GS,0.8740,0.1054,0.0206
SIMJD6884H,JD,0.7629,0.0225,0.2146
SIMJD6886H,JD,0.7196,0.0284,0.2520
SIMJD6887H,JD,0.7190,0.1045,0.1765
SIMJD6888H,JD,0.7794,0.0193,0.2013
SIMJD6894H,JD,0.7331,0.0398,0.2271
SIMJD6895H,JD,0.7777,0.0051,0.2172
SIMJD6896H,JD,0.5150,0.3145,0.1705
SIMJD6897H,JD,0.7630,0.1229,0.1141
SIMJD6898H,JD,0.6453,0.0579,0.2968
SIMJD6899H,JD,0.7915,0.0057,0.2028
SIMJD6905H,JD,0.7756,0.0587,0.1657
SIMJD6906H,JD,0.6829,0.0128,0.3043
SIMJD6907H,JD,0.7808,0.0189,0.2003
SIMJD6908H,JD,0.7776,0.0367,0.1857
SIMJD6913H,JD,0.7917,0.0071,0.2012
