SIMGD6824H,GD,0.0110,0.0130,0.9760
SIMGD6825H,GD,0.0080,0.0110,0.9810
SIMGD6826H,GD,0.0230,0.0240,0.9530
SIMGD6827H,GD,0.0030,0.0060,0.9910
SIMGD6828H,GD,0.0180,0.0390,0.9430
SIMGD6829H,GD,0.0340,0.0170,0.9490
SIMGD6831H,GD,0.0100,0.0060,0.9840
SIMGD6833H,GD,0.0070,0.0140,0.9790
SIMGD6840H,GD,0.0600,0.0220,0.9180
SIMGD6841H,GD,0.1019,0.0809,0.8172
SIMGD6844H,GD,0.0150,0.0370,0.9481
SIMGD6846H,GD,0.0080,0.0060,0.9860
SIMGD6847H,GD,0.0110,0.0170,0.9720
SIMGD6848H,GD,0.0470,0.0220,0.9311
SIMGD6851H,GD,0.0110,0.0090,0.9800
SIMGS6764H,GS,0.9090,0.0840,0.0070
SIMGS6765H,GS,0.9760,0.0190,0.0050
SIMGS6767H,GS,0.9720,0.0210,0.0070
SIMGS6768H,GS,0.9560,0.0270,0.0170
SIMGS6769H,GS,0.9230,0.0660,0.0110
SIMGS6771H,GS,0.9710,0.0240,0.0050
SIMGS6773H,GS,0.7822,0.2018,0.0160
SIMGS6775H,GS,0.9850,0.0060,0.0090
SIMGS6776H,GS,0.7688,0.0140,0.2172
SIMGS6778H,GS,0.8990,0.0890,0.0120
SIMGS6780H,GS,0.7518,0.0961,0.1522
SIMGS6784H,GS,0.8028,0.0140,0.1832
SIMGS6785H,GS,0.9770,0.0180,0.0050
SIMGS6788H,GS,0.9710,0.0120,0.0170
SIMGS6789H,GS,0.9810,0.0060,0.0130
SIMGS6790H,GS,0.9620,0.0120,0.0260
SIMJD6884H,JD,0.9570,0.0260,0.0170
SIMJD6886H,JD,0.9400,0.0170,0.0430
SIMJD6887H,JD,0.9181,0.0589,0.0230
SIMJD6888H,JD,0.9710,0.0170,0.0120
SIMJD6894H,JD,0.9500,0.0180,0.0320
SIMJD6895H,JD,0.9800,0.0040,0.0160
SIMJD6896H,JD,0.5510,0.4280,0.0210
SIMJD6897H,JD,0.9069,0.0731,0.0200
SIMJD6898H,JD,0.8220,0.1010,0.0770
SIMJD6899H,JD,0.9900,0.0050,0.0050
SIMJD6905H,JD,0.9690,0.0150,0.0160
SIMJD6906H,JD,0.9009,0.0050,0.0941
SIMJD6907H,JD,0.9660,0.0250,0.0090
SIMJD6908H,JD,0.9570,0.0330,0.0100
SIMJD6913H,JD,0.9870,0.0080,0.0050
SIMJS6704H,JS,0.0100,0.9780,0.0120
SIMJS6706H,JS,0.0810,0.9030,0.0160
SIMJS6707H,JS,0.7030,0.2630,0.0340
SIMJS6709H,JS,0.0060,0.9890,0.0050
SIMJS6711H,JS,0.0300,0.9280,0.0420
SIMJS6713H,JS,0.0110,0.7270,0.2620
SIMJS6715H,JS,0.0100,0.9850,0.0050
SIMJS6716H,JS,0.2923,0.2412,0.4665
SIMJS6717H,JS,0.0501,0.8729,0.0771
SIMJS6718H,JS,0.1510,0.8290,0.0200
SIMJS6725H,JS,0.4470,0.4930,0.0600
SIMJS6726H,JS,0.2900,0.6820,0.0280
SIMJS6727H,JS,0.0070,0.7682,0.2248
SIMJS6728H,JS,0.0180,0.4680,0.5140
SIMPD7015H,PD,0.0040,0.9880,0.0080
SIMPD7016H,PD,0.0100,0.9620,0.0280
SIMPD7018H,PD,0.0080,0.9530,0.0390
SIMPD7019H,PD,0.0120,0.9810,0.0070
SIMPD7021H,PD,0.0050,0.9920,0.0030
SIMPD7022H,PD,0.0340,0.9560,0.0100
SIMPD7023H,PD,0.1100,0.7320,0.1580
SIMPD7024H,PD,0.0460,0.9430,0.0110
SIMPD7025H,PD,0.0080,0.9740,0.0180
SIMPD7027H,PD,0.0060,0.9590,0.0350
SIMPD7035H,PD,0.0450,0.9469,0.0080
SIMPD7036H,PD,0.0440,0.9360,0.0200
SIMPD7037H,PD,0.0040,0.9910,0.0050
SIMPD7040H,PD,0.0060,0.9880,0.0060
SIMPD7041H,PD,0.0110,0.9850,0.0040
SIMPS6633H,PS,0.0480,0.8810,0.0710
SIMPS6634H,PS,0.0999,0.7463,0.1538
SIMPS6635H,PS,0.0090,0.9770,0.0140
SIMPS6638H,PS,0.2560,0.7390,0.0050
SIMPS6639H,PS,0.0490,0.8660,0.0850
SIMPS6641H,PS,0.0180,0.9130,0.0690
SIMPS6642H,PS,0.0170,0.9650,0.0180
SIMPS6643H,PS,0.2142,0.7768,0.0090
SIMPS6644H,PS,0.0780,0.9050,0.0170
SIMPS6645H,PS,0.0750,0.9130,0.0120
SIMPS6646H,PS,0.0250,0.9600,0.0150
SIMPS6652H,PS,0.0800,0.8380,0.0820
SIMPS6654H,PS,0.0330,0.8620,0.1050
SIMPS6657H,PS,0.0110,0.9070,0.0820
SIMPS6658H,PS,0.0470,0.8060,0.1470
SIMPS6661H,PS,0.0710,0.9220,0.0070
SIMWD6945H,WD,0.0430,0.0060,0.9510
SIMWD6947H,WD,0.0130,0.0150,0.9720
SIMWD6948H,WD,0.0060,0.0040,0.9900
SIMWD6954H,WD,0.0090,0.0250,0.9660
SIMWD6955H,WD,0.0120,0.0190,0.9690
SIMWD6956H,WD,0.0440,0.1838,0.7722
SIMWD6957H,WD,0.0050,0.0170,0.9780
SIMWD6958H,WD,0.0110,0.0350,0.9540
SIMWD6959H,WD,0.0140,0.0100,0.9760
SIMWD6962H,WD,0.0511,0.0450,0.9039
SIMWD6967H,WD,0.0280,0.1230,0.8490
SIMWD6968H,WD,0.0460,0.2218,0.7323
SIMWD6969H,WD,0.0160,0.0350,0.9489
SIMWD6972H,WD,0.0550,0.0110,0.9340
