SIMGD6824H,GD,0.0069,0.0085,0.8779,0.1067
SIMGD6825H,GD,0.0033,0.0056,0.8850,0.1061
SIMGD6826H,GD,0.0163,0.0089,0.8633,0.1115
SIMGD6827H,GD,0.0086,0.0039,0.9061,0.0814
SIMGD6828H,GD,0.0170,0.0632,0.7847,0.1352
SIMGD6829H,GD,0.0083,0.0101,0.8805,0.1011
SIMGD6831H,GD,0.0039,0.0072,0.8905,0.0984
SIMGD6833H,GD,0.0063,0.0055,0.8751,0.1131
SIMGD6840H,GD,0.0178,0.0201,0.8528,0.1093
SIMGD6841H,GD,0.0175,0.0407,0.7989,0.1429
SIMGD6844H,GD,0.0609,0.0486,0.7695,0.1210
SIMGD6846H,GD,0.0102,0.0062,0.9773,0.0063
SIMGD6847H,GD,0.0054,0.0225,0.8409,0.1312
SIMGD6848H,GD,0.0071,0.0260,0.8611,0.1058
SIMGD6851H,GD,0.0035,0.0888,0.7948,0.1129
SIMGS6764H,GS,0.3132,0.4738,0.0043,0.2087
SIMGS6765H,GS,0.2626,0.5281,0.0036,0.2057
SIMGS6767H,GS,0.2941,0.5055,0.0070,0.1934
SIMGS6768H,GS,0.2745,0.4979,0.0187,0.2089
SIMGS6769H,GS,0.3781,0.4160,0.0046,0.2013
SIMGS6771H,GS,0.3043,0.4853,0.0042,0.2062
SIMGS6773H,GS,0.3015,0.4499,0.0123,0.2363
SIMGS6775H,GS,0.2935,0.5214,0.0081,0.1770
SIMGS6776H,GS,0.2309,0.4484,0.1470,0.1737
SIMGS6778H,GS,0.2939,0.4700,0.0136,0.2224
SIMGS6780H,GS,0.2694,0.4153,0.1189,0.1964
SIMGS6784H,GS,0.2792,0.4041,0.1159,0.2008
SIMGS6785H,GS,0.3078,0.4892,0.0039,0.1991
SIMGS6788H,GS,0.2830,0.5032,0.0158,0.1980
SIMGS6789H,GS,0.2964,0.4964,0.0069,0.2003
SIMGS6790H,GS,0.2912,0.5003,0.0122,0.1963
SIMJD6884H,JD,0.0202,0.9416,0.0238,0.0144
SIMJD6886H,JD,0.0536,0.8092,0.0737,0.0634
SIMJD6887H,JD,0.0389,0.9200,0.0177,0.0234
SIMJD6888H,JD,0.0133,0.9582,0.0138,0.0147
SIMJD6894H,JD,0.0108,0.9256,0.0217,0.0419
SIMJD6895H,JD,0.0052,0.9757,0.0133,0.0058
SIMJD6896H,JD,0.0968,0.8105,0.0175,0.0752
SIMJD6897H,JD,0.0165,0.9446,0.0110,0.0279
SIMJD6898H,JD,0.0096,0.7948,0.0813,0.1144
SIMJD6899H,JD,0.0046,0.9856,0.0051,0.0047
SIMJD6905H,JD,0.0126,0.9514,0.0125,0.0235
SIMJD6906H,JD,0.0142,0.7946,0.1732,0.0180
SIMJD6907H,JD,0.0229,0.9484,0.0063,0.0224
SIMJD6908H,JD,0.0361,0.9339,0.0090,0.0210
SIMJD6913H,JD,0.0022,0.9893,0.0027,0.0058
SIMJS6704H,JS,0.0928,0.0932,0.0093,0.8047
SIMJS6706H,JS,0.0125,0.1668,0.0057,0.8150
SIMJS6707H,JS,0.0293,0.3095,0.0216,0.6396
SIMJS6709H,JS,0.1402,0.1018,0.0039,0.7541
SIMJS6711H,JS,0.0410,0.1475,0.0225,0.7890
SIMJS6713H,JS,0.0056,0.1408,0.0263,0.8272
SIMJS6715H,JS,0.0048,0.1917,0.0026,0.8009
SIMJS6716H,JS,0.0282,0.1530,0.2099,0.6089
SIMJS6717H,JS,0.0047,0.1787,0.0301,0.7865
SIMJS6718H,JS,0.1385,0.2421,0.0206,0.5989
SIMJS6725H,JS,0.0240,0.2520,0.0285,0.6955
SIMJS6726H,JS,0.0366,0.1810,0.0177,0.7647
SIMJS6727H,JS,0.0403,0.1146,0.1550,0.6901
SIMJS6728H,JS,0.0163,0.0649,0.3918,0.5270
SIMPD7015H,PD,0.7865,0.0039,0.0058,0.2038
SIMPD7016H,PD,0.7288,0.0098,0.0461,0.2153
SIMPD7018H,PD,0.7635,0.0063,0.0335,0.1967
SIMPD7019H,PD,0.7761,0.0053,0.0098,0.2088
SIMPD7021H,PD,0.7935,0.0032,0.0020,0.2013
SIMPD7022H,PD,0.7304,0.0306,0.0169,0.2221
SIMPD7023H,PD,0.6249,0.0367,0.1622,0.1762
SIMPD7024H,PD,0.7554,0.0123,0.0092,0.2231
SIMPD7025H,PD,0.7405,0.0060,0.0312,0.2223
SIMPD7027H,PD,0.7851,0.0086,0.0134,0.1929
SIMPD7035H,PD,0.7542,0.0323,0.0062,0.2073
SIMPD7036H,PD,0.6596,0.0554,0.0312,0.2539
SIMPD7037H,PD,0.7842,0.0086,0.0043,0.2029
SIMPD7040H,PD,0.7850,0.0051,0.0050,0.2049
SIMPD7041H,PD,0.7224,0.0130,0.0043,0.2603
SIMPS6633H,PS,0.1094,0.0872,0.0932,0.7101
SIMPS6634H,PS,0.0296,0.0769,0.0488,0.8448
SIMPS6635H,PS,0.0651,0.0087,0.0168,0.9094
SIMPS6638H,PS,0.1029,0.0482,0.0036,0.8453
SIMPS6639H,PS,0.0829,0.0156,0.0286,0.8729
SIMPS6641H,PS,0.0389,0.0118,0.0237,0.9256
SIMPS6642H,PS,0.0597,0.0103,0.0249,0.9051
SIMPS6643H,PS,0.0952,0.0792,0.0066,0.8190
SIMPS6644H,PS,0.1315,0.0628,0.0141,0.7916
SIMPS6645H,PS,0.0262,0.0224,0.0137,0.9377
SIMPS6646H,PS,0.1100,0.0314,0.0149,0.8437
SIMPS6652H,PS,0.0134,0.0364,0.0408,0.9094
SIMPS6654H,PS,0.0291,0.0101,0.0414,0.9194
SIMPS6657H,PS,0.1101,0.0087,0.0840,0.7972
SIMPS6658H,PS,0.1357,0.1479,0.2932,0.4231
SIMPS6661H,PS,0.2620,0.0892,0.0090,0.6398
SIMWD6945H,WD,0.0088,0.1370,0.8438,0.0104
SIMWD6947H,WD,0.0159,0.1129,0.8631,0.0081
SIMWD6948H,WD,0.0049,0.0977,0.8943,0.0031
SIMWD6954H,WD,0.0057,0.1030,0.8691,0.0222
SIMWD6955H,WD,0.0094,0.1068,0.8746,0.0092
SIMWD6956H,WD,0.0263,0.1057,0.5741,0.2939
SIMWD6957H,WD,0.0085,0.0876,0.8524,0.0515
SIMWD6958H,WD,0.0218,0.1041,0.8666,0.0075
SIMWD6959H,WD,0.0054,0.1132,0.8636,0.0178
SIMWD6962H,WD,0.0089,0.1506,0.7576,0.0829
SIMWD6967H,WD,0.0487,0.0949,0.8279,0.0285
SIMWD6968H,WD,0.0681,0.1344,0.7366,0.0609
SIMWD6969H,WD,0.0195,0.1069,0.8649,0.0087
SIMWD6972H,WD,0.0091,0.1142,0.8656,0.0111
