SIMGD6824H,GD,0.0020,0.0100,0.0050,0.0040,0.9790
SIMGD6825H,GD,0.0050,0.0080,0.0030,0.0050,0.9790
SIMGD6826H,GD,0.0040,0.0130,0.0200,0.0090,0.9540
SIMGD6827H,GD,0.0030,0.0020,0.0030,0.0430,0.9490
SIMGD6828H,GD,0.0340,0.0440,0.0060,0.0200,0.8960
SIMGD6829H,GD,0.0040,0.0090,0.0120,0.0110,0.9640
SIMGD6831H,GD,0.0070,0.0030,0.0060,0.0030,0.9810
SIMGD6833H,GD,0.0030,0.0070,0.0030,0.0080,0.9790
SIMGD6840H,GD,0.0130,0.0240,0.0420,0.0350,0.8860
SIMGD6841H,GD,0.0070,0.0100,0.0080,0.0040,0.9710
SIMGD6844H,GD,0.0300,0.0710,0.0380,0.2410,0.6200
SIMGD6846H,GD,0.0040,0.0050,0.0380,0.0160,0.9370
SIMGD6847H,GD,0.0170,0.1291,0.0050,0.0070,0.8418
SIMGD6848H,GD,0.0300,0.0220,0.0100,0.0090,0.9290
SIMGD6851H,GD,0.0290,0.0030,0.0020,0.0020,0.9640
SIMGS6764H,GS,0.0100,0.0090,0.9710,0.0070,0.0030
SIMGS6765H,GS,0.0190,0.0150,0.9580,0.0030,0.0050
SIMGS6767H,GS,0.0420,0.0190,0.9119,0.0230,0.0040
SIMGS6768H,GS,0.0400,0.0970,0.8160,0.0290,0.0180
SIMGS6769H,GS,0.0020,0.0070,0.9780,0.0080,0.0050
SIMGS6771H,GS,0.0030,0.0040,0.9850,0.0040,0.0040
SIMGS6773H,GS,0.0110,0.0320,0.9021,0.0250,0.0300
SIMGS6775H,GS,0.0090,0.0050,0.9770,0.0040,0.0050
SIMGS6776H,GS,0.0140,0.0080,0.8779,0.0370,0.0631
SIMGS6778H,GS,0.0310,0.0580,0.8820,0.0250,0.0040
SIMGS6780H,GS,0.0050,0.0130,0.8690,0.0280,0.0850
SIMGS6784H,GS,0.0020,0.0060,0.8901,0.0949,0.0070
SIMGS6785H,GS,0.0030,0.0040,0.9840,0.0050,0.0040
SIMGS6788H,GS,0.0090,0.0050,0.9650,0.0140,0.0070
SIMGS6789H,GS,0.0030,0.0040,0.9840,0.0040,0.0050
SIMGS6790H,GS,0.0160,0.0030,0.9670,0.0020,0.0120
SIMJD6884H,JD,0.9241,0.0160,0.0120,0.0400,0.0080
SIMJD6886H,JD,0.7670,0.0150,0.1660,0.0130,0.0390
SIMJD6887H,JD,0.8829,0.0140,0.0080,0.0881,0.0070
SIMJD6888H,JD,0.9280,0.0150,0.0220,0.0110,0.0240
SIMJD6894H,JD,0.9330,0.0300,0.0070,0.0130,0.0170
SIMJD6895H,JD,0.9890,0.0020,0.0030,0.0020,0.0040
SIMJD6896H,JD,0.9239,0.0200,0.0060,0.0420,0.0080
SIMJD6897H,JD,0.9121,0.0340,0.0170,0.0300,0.0070
SIMJD6898H,JD,0.8018,0.0110,0.0050,0.0080,0.1742
SIMJD6899H,JD,0.9840,0.0030,0.0050,0.0030,0.0050
SIMJD6905H,JD,0.8990,0.0130,0.0700,0.0090,0.0090
SIMJD6906H,JD,0.7490,0.0040,0.2280,0.0130,0.0060
SIMJD6907H,JD,0.9419,0.0150,0.0270,0.0100,0.0060
SIMJD6908H,JD,0.9110,0.0060,0.0440,0.0310,0.0080
SIMJD6913H,JD,0.9960,0.0010,0.0010,0.0010,0.0010
SIMJS6704H,JS,0.0020,0.9870,0.0030,0.0040,0.0040
SIMJS6706H,JS,0.0070,0.9810,0.0040,0.0050,0.0030
SIMJS6707H,JS,0.0920,0.7100,0.1580,0.0070,0.0330
SIMJS6709H,JS,0.0060,0.9800,0.0020,0.0100,0.0020
SIMJS6711H,JS,0.0050,0.9271,0.0070,0.0370,0.0240
SIMJS6713H,JS,0.0030,0.9860,0.0040,0.0030,0.0040
SIMJS6715H,JS,0.0030,0.9920,0.0020,0.0020,0.0010
SIMJS6716H,JS,0.0060,0.6863,0.0999,0.1019,0.1059
SIMJS6717H,JS,0.0200,0.9680,0.0020,0.0040,0.0060
SIMJS6718H,JS,0.0490,0.8150,0.0100,0.1210,0.0050
SIMJS6725H,JS,0.1470,0.7920,0.0140,0.0110,0.0360
SIMJS6726H,JS,0.0540,0.8720,0.0290,0.0260,0.0190
SIMJS6727H,JS,0.0060,0.9300,0.0020,0.0180,0.0440
SIMJS6728H,JS,0.0080,0.6630,0.0040,0.2960,0.0290
SIMPD7015H,PD,0.0040,0.0150,0.0020,0.9760,0.0030
SIMPD7016H,PD,0.0120,0.0110,0.0060,0.9410,0.0300
SIMPD7018H,PD,0.0070,0.0120,0.0090,0.9300,0.0420
SIMPD7019H,PD,0.0020,0.0100,0.0050,0.9820,0.0010
SIMPD7021H,PD,0.0040,0.0060,0.0030,0.9860,0.0010
SIMPD7022H,PD,0.0070,0.0210,0.1379,0.8212,0.0130
SIMPD7023H,PD,0.0100,0.0070,0.0190,0.9481,0.0160
SIMPD7024H,PD,0.0030,0.0410,0.0810,0.8600,0.0150
SIMPD7025H,PD,0.0030,0.0160,0.0190,0.9140,0.0480
SIMPD7027H,PD,0.0030,0.0030,0.0030,0.9890,0.0020
SIMPD7035H,PD,0.0080,0.0180,0.0510,0.9200,0.0030
SIMPD7036H,PD,0.0490,0.0860,0.0190,0.8300,0.0160
SIMPD7037H,PD,0.0340,0.0150,0.0040,0.9220,0.0250
SIMPD7040H,PD,0.0040,0.0150,0.0070,0.9720,0.0020
SIMPD7041H,PD,0.0030,0.1920,0.0130,0.7810,0.0110
SIMPS6633H,PS,0.0450,0.8000,0.0430,0.1020,0.0100
SIMPS6634H,PS,0.0190,0.9090,0.0380,0.0050,0.0290
SIMPS6635H,PS,0.0160,0.9391,0.0080,0.0120,0.0250
SIMPS6638H,PS,0.0100,0.9201,0.0649,0.0020,0.0030
SIMPS6639H,PS,0.0040,0.9051,0.0559,0.0260,0.0090
SIMPS6641H,PS,0.0020,0.9790,0.0050,0.0100,0.0040
SIMPS6642H,PS,0.0070,0.9020,0.0080,0.0700,0.0130
SIMPS6643H,PS,0.0050,0.7350,0.2510,0.0050,0.0040
SIMPS6644H,PS,0.0140,0.7383,0.2208,0.0210,0.0060
SIMPS6645H,PS,0.0120,0.9660,0.0070,0.0060,0.0090
SIMPS6646H,PS,0.0210,0.9341,0.0030,0.0310,0.0110
SIMPS6652H,PS,0.0260,0.9079,0.0110,0.0080,0.0470
SIMPS6654H,PS,0.0030,0.9219,0.0160,0.0160,0.0430
SIMPS6657H,PS,0.0040,0.9540,0.0070,0.0190,0.0160
SIMPS6658H,PS,0.2300,0.2650,0.0030,0.4900,0.0120
SIMPS6661H,PS,0.0530,0.6910,0.2060,0.0450,0.0050
SIMWD6945H,WD,0.0190,0.0040,0.0070,0.9640,0.0060
SIMWD6947H,WD,0.0270,0.0040,0.0210,0.9411,0.0070
SIMWD6948H,WD,0.0060,0.0020,0.0220,0.9431,0.0270
SIMWD6954H,WD,0.0110,0.0360,0.0070,0.9410,0.0050
SIMWD6955H,WD,0.0050,0.0050,0.0040,0.9820,0.0040
SIMWD6956H,WD,0.0270,0.4390,0.0220,0.4970,0.0150
SIMWD6957H,WD,0.0030,0.0820,0.0070,0.8340,0.0740
SIMWD6958H,WD,0.0040,0.0040,0.0030,0.9860,0.0030
SIMWD6959H,WD,0.1380,0.0550,0.0170,0.6420,0.1480
SIMWD6962H,WD,0.1380,0.0380,0.0060,0.8070,0.0110
SIMWD6967H,WD,0.0070,0.0110,0.0150,0.9480,0.0190
SIMWD6968H,WD,0.0080,0.0200,0.0120,0.9339,0.0260
SIMWD6969H,WD,0.0120,0.0090,0.0040,0.9560,0.0190
SIMWD6972H,WD,0.0190,0.0270,0.0140,0.8392,0.1009
