SIMGD6824H,GD,0.0020,0.0036,0.9664,0.0055,0.0036,0.0046,0.0143
SIMGD6825H,GD,0.0035,0.0045,0.9715,0.0020,0.0020,0.0074,0.0091
SIMGD6826H,GD,0.0036,0.0033,0.9657,0.0077,0.0085,0.0066,0.0046
SIMGD6827H,GD,0.0016,0.0121,0.9661,0.0033,0.0121,0.0028,0.0020
SIMGD6828H,GD,0.0192,0.0088,0.9129,0.0034,0.0100,0.0136,0.0321
SIMGD6829H,GD,0.0055,0.0118,0.9558,0.0069,0.0055,0.0075,0.0070
SIMGD6831H,GD,0.0051,0.0033,0.9782,0.0042,0.0018,0.0060,0.0014
SIMGD6833H,GD,0.0025,0.0053,0.9498,0.0028,0.0030,0.0039,0.0327
SIMGD6840H,GD,0.0071,0.0161,0.9049,0.0361,0.0185,0.0073,0.0099
SIMGD6841H,GD,0.0144,0.0029,0.9495,0.0072,0.0070,0.0105,0.0085
SIMGD6844H,GD,0.0244,0.0487,0.8219,0.0212,0.0385,0.0243,0.0210
SIMGD6846H,GD,0.0032,0.1424,0.8250,0.0119,0.0061,0.0079,0.0035
SIMGD6847H,GD,0.0114,0.0066,0.9001,0.0046,0.0031,0.0136,0.0606
SIMGD6848H,GD,0.0277,0.0218,0.9032,0.0096,0.0050,0.0252,0.0075
SIMGD6851H,GD,0.0246,0.0014,0.9665,0.0010,0.0014,0.0025,0.0026
SIMGS6764H,GS,0.0093,0.0028,0.0027,0.8939,0.0147,0.0741,0.0025
SIMGS6765H,GS,0.0438,0.0015,0.0052,0.9130,0.0071,0.0213,0.0081
SIMGS6767H,GS,0.0300,0.0093,0.0031,0.9219,0.0103,0.0117,0.0137
SIMGS6768H,GS,0.0245,0.0330,0.0101,0.8411,0.0045,0.0796,0.0072
SIMGS6769H,GS,0.0019,0.0027,0.0032,0.9543,0.0310,0.0031,0.0038
SIMGS6771H,GS,0.0038,0.0022,0.0030,0.9719,0.0048,0.0048,0.0095
SIMGS6773H,GS,0.0097,0.0053,0.0224,0.8523,0.0520,0.0284,0.0300
SIMGS6775H,GS,0.0082,0.0078,0.0027,0.9242,0.0018,0.0020,0.0533
SIMGS6776H,GS,0.0284,0.0712,0.0486,0.8039,0.0047,0.0086,0.0345
SIMGS6778H,GS,0.0127,0.1163,0.0027,0.7334,0.0082,0.1193,0.0074
SIMGS6780H,GS,0.0064,0.0163,0.0800,0.8181,0.0163,0.0037,0.0591
SIMGS6784H,GS,0.0031,0.0884,0.0042,0.8884,0.0046,0.0062,0.0051
SIMGS6785H,GS,0.0030,0.0018,0.0030,0.9790,0.0069,0.0032,0.0031
SIMGS6788H,GS,0.0073,0.0397,0.0041,0.9351,0.0038,0.0064,0.0036
SIMGS6789H,GS,0.0029,0.0026,0.0040,0.9819,0.0029,0.0033,0.0024
SIMGS6790H,GS,0.0118,0.0049,0.0104,0.9624,0.0031,0.0050,0.0024
SIMJD6884H,JD,0.9176,0.0313,0.0060,0.0068,0.0194,0.0085,0.0104
SIMJD6886H,JD,0.7179,0.0164,0.0680,0.1341,0.0106,0.0455,0.0076
SIMJD6887H,JD,0.8718,0.0694,0.0035,0.0062,0.0244,0.0148,0.0099
SIMJD6888H,JD,0.9176,0.0068,0.0202,0.0197,0.0077,0.0145,0.0135
SIMJD6894H,JD,0.9170,0.0071,0.0155,0.0079,0.0057,0.0167,0.0301
SIMJD6895H,JD,0.9857,0.0018,0.0036,0.0039,0.0012,0.0020,0.0018
SIMJD6896H,JD,0.8586,0.0173,0.0065,0.0036,0.0538,0.0415,0.0188
SIMJD6897H,JD,0.8861,0.0319,0.0042,0.0099,0.0167,0.0121,0.0391
SIMJD6898H,JD,0.7452,0.0047,0.1770,0.0045,0.0058,0.0138,0.0490
SIMJD6899H,JD,0.9837,0.0010,0.0063,0.0022,0.0033,0.0018,0.0017
SIMJD6905H,JD,0.8576,0.0364,0.0079,0.0654,0.0043,0.0110,0.0175
SIMJD6906H,JD,0.6806,0.2658,0.0040,0.0411,0.0016,0.0046,0.0023
SIMJD6907H,JD,0.9525,0.0033,0.0046,0.0128,0.0065,0.0097,0.0106
SIMJD6908H,JD,0.8893,0.0063,0.0090,0.0135,0.0570,0.0046,0.0203
SIMJD6913H,JD,0.9901,0.0021,0.0010,0.0013,0.0010,0.0019,0.0026
SIMJS6704H,JS,0.0019,0.0039,0.0038,0.0059,0.0121,0.0236,0.9488
SIMJS6706H,JS,0.0098,0.0031,0.0031,0.0035,0.0046,0.0046,0.9713
SIMJS6707H,JS,0.0255,0.0033,0.0153,0.0907,0.0038,0.0084,0.8530
SIMJS6709H,JS,0.0022,0.0024,0.0019,0.0010,0.0162,0.0079,0.9684
SIMJS6711H,JS,0.0034,0.0046,0.0185,0.0058,0.0281,0.0090,0.9306
SIMJS6713H,JS,0.0025,0.0055,0.0040,0.0038,0.0024,0.0081,0.9737
SIMJS6715H,JS,0.0027,0.0010,0.0010,0.0013,0.0018,0.0025,0.9897
SIMJS6716H,JS,0.0092,0.0234,0.0438,0.0228,0.0080,0.0064,0.8864
SIMJS6717H,JS,0.0208,0.0185,0.0080,0.0017,0.0033,0.1349,0.8128
SIMJS6718H,JS,0.0657,0.0188,0.0064,0.0097,0.0319,0.0103,0.8572
SIMJS6725H,JS,0.0359,0.0045,0.0106,0.0310,0.0040,0.0068,0.9072
SIMJS6726H,JS,0.0775,0.0065,0.0183,0.0189,0.0255,0.0151,0.8382
SIMJS6727H,JS,0.0073,0.0079,0.1301,0.0047,0.0256,0.0211,0.8033
SIMJS6728H,JS,0.0065,0.2296,0.1006,0.0087,0.0105,0.0350,0.6091
SIMPD7015H,PD,0.0023,0.0049,0.0032,0.0019,0.9797,0.0049,0.0031
SIMPD7016H,PD,0.0053,0.0106,0.0554,0.0075,0.8919,0.0070,0.0223
SIMPD7018H,PD,0.0044,0.0061,0.0418,0.0041,0.9284,0.0088,0.0064
SIMPD7019H,PD,0.0021,0.0418,0.0017,0.0092,0.9282,0.0062,0.0108
SIMPD7021H,PD,0.0026,0.0021,0.0010,0.0014,0.9880,0.0027,0.0022
SIMPD7022H,PD,0.0045,0.0050,0.0169,0.1089,0.8391,0.0096,0.0160
SIMPD7023H,PD,0.0099,0.2375,0.0157,0.0308,0.6817,0.0204,0.0040
SIMPD7024H,PD,0.0040,0.0034,0.0204,0.0269,0.9104,0.0249,0.0100
SIMPD7025H,PD,0.0030,0.0061,0.0746,0.0115,0.8577,0.0313,0.0158
SIMPD7027H,PD,0.0030,0.0459,0.0025,0.0054,0.9372,0.0038,0.0022
SIMPD7035H,PD,0.0101,0.0080,0.0031,0.0562,0.9043,0.0115,0.0068
SIMPD7036H,PD,0.0706,0.0095,0.0228,0.0081,0.7871,0.0392,0.0627
SIMPD7037H,PD,0.0078,0.0018,0.0040,0.0017,0.9773,0.0034,0.0040
SIMPD7040H,PD,0.0033,0.0033,0.0035,0.0057,0.9736,0.0058,0.0048
SIMPD7041H,PD,0.0062,0.0028,0.0063,0.0098,0.8743,0.0333,0.0673
SIMPS6633H,PS,0.0814,0.0471,0.0273,0.0209,0.0604,0.7021,0.0608
SIMPS6634H,PS,0.0186,0.0241,0.0496,0.0204,0.0034,0.7576,0.1263
SIMPS6635H,PS,0.0036,0.0034,0.0066,0.0053,0.0056,0.9721,0.0034
SIMPS6638H,PS,0.0066,0.0016,0.0028,0.0212,0.0013,0.9606,0.0059
