SIMGD6824H,JD,0.9520,0.0480
SIMGD6825H,PD,0.2063,0.7937
SIMGD6826H,GS,0.1690,0.8310
SIMGD6827H,PS,0.1150,0.8850
SIMGD6828H,WD,0.5248,0.4752
SIMGD6829H,GD,0.7374,0.2626
SIMGD6831H,JS,0.7967,0.2033
SIMGD6833H,JD,0.8752,0.1248
SIMGD6840H,PD,0.1530,0.8470
SIMGD6841H,GS,0.8120,0.1880
SIMGD6844H,PS,0.0136,0.9864
SIMGD6846H,WD,0.9279,0.0721
SIMGD6847H,GD,0.7892,0.2108
SIMGD6848H,JS,0.3808,0.6192
SIMGD6851H,JD,0.9773,0.0227
SIMGS6764H,PD,0.2144,0.7856
SIMGS6765H,GS,0.1509,0.8491
SIMGS6767H,PS,0.0240,0.9760
SIMGS6768H,WD,0.6999,0.3001
SIMGS6769H,GD,0.4556,0.5444
SIMGS6771H,JS,0.2063,0.7937
SIMGS6773H,JD,0.9687,0.0313
SIMGS6775H,PD,0.1107,0.8893
SIMGS6776H,GS,0.1246,0.8754
SIMGS6778H,PS,0.0308,0.9692
SIMGS6780H,WD,0.8986,0.1014
SIMGS6784H,GD,0.4645,0.5355
SIMGS6785H,JS,0.1610,0.8390
SIMGS6788H,JD,0.8599,0.1401
SIMGS6789H,PD,0.1702,0.8298
SIMGS6790H,GS,0.1043,0.8957
SIMJD6884H,PS,0.0363,0.9637
SIMJD6886H,WD,0.7510,0.2490
SIMJD6887H,GD,0.7579,0.2421
SIMJD6888H,JS,0.1689,0.8311
SIMJD6894H,JD,0.9684,0.0316
SIMJD6895H,PD,0.2870,0.7130
SIMJD6896H,GS,0.1058,0.8942
SIMJD6897H,PS,0.0856,0.9144
SIMJD6898H,WD,0.9526,0.0474
SIMJD6899H,GD,0.3058,0.6942
SIMJD6905H,JS,0.3879,0.6121
SIMJD6906H,JD,0.9484,0.0516
SIMJD6907H,PD,0.3409,0.6591
SIMJD6908H,GS,0.1648,0.8352
SIMJD6913H,PS,0.0688,0.9312
SIMJS6704H,WD,0.7685,0.2315
SIMJS6706H,GD,0.3322,0.6678
SIMJS6707H,JS,0.0595,0.9405
SIMJS6709H,JD,0.9808,0.0192
SIMJS6711H,PD,0.1523,0.8477
SIMJS6713H,GS,0.3831,0.6169
SIMJS6715H,PS,0.2555,0.7445
SIMJS6716H,WD,0.9819,0.0181
SIMJS6717H,GD,0.8668,0.1332
SIMJS6718H,JS,0.2134,0.7866
SIMJS6725H,JD,0.9394,0.0606
SIMJS6726H,PD,0.1617,0.8383
SIMJS6727H,GS,0.3224,0.6776
SIMJS6728H,PS,0.1044,0.8956
SIMPD7015H,WD,0.7715,0.2285
SIMPD7016H,GD,0.8037,0.1963
SIMPD7018H,JS,0.7413,0.2587
SIMPD7019H,JD,0.9783,0.0217
SIMPD7021H,PD,0.1377,0.8623
SIMPD7022H,GS,0.3281,0.6719
SIMPD7023H,PS,0.0399,0.9601
SIMPD7024H,WD,0.6564,0.3436
SIMPD7025H,GD,0.1758,0.8242
SIMPD7027H,JS,0.2478,0.7522
SIMPD7035H,JD,0.9595,0.0405
SIMPD7036H,PD,0.1202,0.8798
SIMPD7037H,GS,0.1215,0.8785
SIMPD7040H,PS,0.1317,0.8683
SIMPD7041H,WD,0.9705,0.0295
SIMPS6633H,GD,0.8254,0.1746
SIMPS6634H,JS,0.2121,0.7879
SIMPS6635H,JD,0.9725,0.0275
SIMPS6638H,PD,0.1062,0.8938
SIMPS6639H,GS,0.1250,0.8750
SIMPS6641H,PS,0.1380,0.8620
SIMPS6642H,WD,0.7802,0.2198
SIMPS6643H,GD,0.3643,0.6357
SIMPS6644H,JS,0.2121,0.7879
SIMPS6645H,JD,0.9699,0.0301
SIMPS6646H,PD,0.0903,0.9097
SIMPS6652H,GS,0.1589,0.8411
SIMPS6654H,PS,0.0386,0.9614
SIMPS6657H,WD,0.8691,0.1309
SIMPS6658H,GD,0.7371,0.2629
SIMPS6661H,JS,0.2816,0.7184
SIMWD6945H,JD,0.9743,0.0257
SIMWD6947H,PD,0.6992,0.3008
SIMWD6948H,GS,0.1117,0.8883
SIMWD6954H,PS,0.0966,0.9034
SIMWD6955H,WD,0.8542,0.1458
SIMWD6956H,GD,0.8699,0.1301
SIMWD6957H,JS,0.2019,0.7981
SIMWD6958H,JD,0.9293,0.0707
SIMWD6959H,PD,0.1080,0.8920
SIMWD6962H,GS,0.4338,0.5662
SIMWD6967H,PS,0.0512,0.9488
SIMWD6968H,WD,0.8199,0.1801
SIMWD6969H,GD,0.6144,0.3856
SIMWD6972H,JS,0.2092,0.7908
