SIMGD6824H,JD,0.9680,0.0320
SIMGD6825H,PD,0.1780,0.8220
SIMGD6826H,GS,0.0310,0.9690
SIMGD6827H,PS,0.0630,0.9370
SIMGD6828H,WD,0.3750,0.6250
SIMGD6829H,GD,0.8570,0.1430
SIMGD6831H,JS,0.9450,0.0550
SIMGD6833H,JD,0.8580,0.1420
SIMGD6840H,PD,0.0340,0.9660
SIMGD6841H,GS,0.8060,0.1940
SIMGD6844H,PS,0.0070,0.9930
SIMGD6846H,WD,0.9630,0.0370
SIMGD6847H,GD,0.9440,0.0560
SIMGD6848H,JS,0.1000,0.9000
SIMGD6851H,JD,0.9900,0.0100
SIMGS6764H,PD,0.0390,0.9610
SIMGS6765H,GS,0.0220,0.9780
SIMGS6767H,PS,0.0150,0.9850
SIMGS6768H,WD,0.8630,0.1370
SIMGS6769H,GD,0.3400,0.6600
SIMGS6771H,JS,0.0530,0.9470
SIMGS6773H,JD,0.9840,0.0160
SIMGS6775H,PD,0.0090,0.9910
SIMGS6776H,GS,0.0230,0.9770
SIMGS6778H,PS,0.0240,0.9760
SIMGS6780H,WD,0.9600,0.0400
SIMGS6784H,GD,0.3440,0.6560
SIMGS6785H,JS,0.0350,0.9650
SIMGS6788H,JD,0.9080,0.0920
SIMGS6789H,PD,0.0550,0.9450
SIMGS6790H,GS,0.0150,0.9850
SIMJD6884H,PS,0.0260,0.9740
SIMJD6886H,WD,0.7050,0.2950
SIMJD6887H,GD,0.9290,0.0710
SIMJD6888H,JS,0.0280,0.9720
SIMJD6894H,JD,0.9650,0.0350
SIMJD6895H,PD,0.1260,0.8740
SIMJD6896H,GS,0.0200,0.9800
SIMJD6897H,PS,0.0990,0.9010
SIMJD6898H,WD,0.9790,0.0210
SIMJD6899H,GD,0.0970,0.9030
SIMJD6905H,JS,0.5060,0.4940
SIMJD6906H,JD,0.9750,0.0250
SIMJD6907H,PD,0.3780,0.6220
SIMJD6908H,GS,0.0500,0.9500
SIMJD6913H,PS,0.0220,0.9780
SIMJS6704H,WD,0.8710,0.1290
SIMJS6706H,GD,0.2800,0.7200
SIMJS6707H,JS,0.0210,0.9790
SIMJS6709H,JD,0.9890,0.0110
SIMJS6711H,PD,0.0360,0.9640
SIMJS6713H,GS,0.1470,0.8530
SIMJS6715H,PS,0.3530,0.6470
SIMJS6716H,WD,0.9910,0.0090
SIMJS6717H,GD,0.9720,0.0280
SIMJS6718H,JS,0.0420,0.9580
SIMJS6725H,JD,0.9400,0.0600
SIMJS6726H,PD,0.0270,0.9730
SIMJS6727H,GS,0.1250,0.8750
SIMJS6728H,PS,0.0630,0.9370
SIMPD7015H,WD,0.8700,0.1300
SIMPD7016H,GD,0.9620,0.0380
SIMPD7018H,JS,0.9350,0.0650
SIMPD7019H,JD,0.9890,0.0110
SIMPD7021H,PD,0.0420,0.9580
SIMPD7022H,GS,0.1510,0.8490
SIMPD7023H,PS,0.0150,0.9850
SIMPD7024H,WD,0.6990,0.3010
SIMPD7025H,GD,0.0880,0.9120
SIMPD7027H,JS,0.0560,0.9440
SIMPD7035H,JD,0.9720,0.0280
SIMPD7036H,PD,0.0190,0.9810
SIMPD7037H,GS,0.0120,0.9880
SIMPD7040H,PS,0.1690,0.8310
SIMPD7041H,WD,0.9840,0.0160
SIMPS6633H,GD,0.9340,0.0660
SIMPS6634H,JS,0.0510,0.9490
SIMPS6635H,JD,0.9870,0.0130
SIMPS6638H,PD,0.0080,0.9920
SIMPS6639H,GS,0.0160,0.9840
SIMPS6641H,PS,0.1240,0.8760
SIMPS6642H,WD,0.7650,0.2350
SIMPS6643H,GD,0.1760,0.8240
SIMPS6644H,JS,0.0490,0.9510
SIMPS6645H,JD,0.9790,0.0210
SIMPS6646H,PD,0.0470,0.9530
SIMPS6652H,GS,0.0320,0.9680
SIMPS6654H,PS,0.0220,0.9780
SIMPS6657H,WD,0.9380,0.0620
SIMPS6658H,GD,0.8830,0.1170
SIMPS6661H,JS,0.0380,0.9620
SIMWD6945H,JD,0.9830,0.0170
SIMWD6947H,PD,0.7990,0.2010
SIMWD6948H,GS,0.0090,0.9910
SIMWD6954H,PS,0.0270,0.9730
SIMWD6955H,WD,0.9380,0.0620
SIMWD6956H,GD,0.9790,0.0210
SIMWD6957H,JS,0.0810,0.9190
SIMWD6958H,JD,0.9520,0.0480
SIMWD6959H,PD,0.0060,0.9940
SIMWD6962H,GS,0.1520,0.8480
SIMWD6967H,PS,0.0320,0.9680
SIMWD6968H,WD,0.8620,0.1380
SIMWD6969H,GD,0.6590,0.3410
SIMWD6972H,JS,0.0360,0.9640
