SIMGD6824H,JD,0.0197,0.9703,0.0100
SIMGD6825H,PD,0.8502,0.0450,0.1048
SIMGD6826H,GS,0.5495,0.0386,0.4119
SIMGD6827H,PS,0.5425,0.1508,0.3067
SIMGD6828H,WD,0.1065,0.2314,0.6621
SIMGD6829H,GD,0.0309,0.5695,0.3996
SIMGD6831H,JS,0.0095,0.1884,0.8021
SIMGD6833H,JD,0.0292,0.8091,0.1617
SIMGD6840H,PD,0.9080,0.0529,0.0391
SIMGD6841H,GS,0.1963,0.5556,0.2481
SIMGD6844H,PS,0.5520,0.0058,0.4422
SIMGD6846H,WD,0.2186,0.5762,0.2052
SIMGD6847H,GD,0.0100,0.4791,0.5109
SIMGD6848H,JS,0.3227,0.0820,0.5953
SIMGD6851H,JD,0.0060,0.9693,0.0247
SIMGS6764H,PD,0.9451,0.0402,0.0147
SIMGS6765H,GS,0.6364,0.0162,0.3474
SIMGS6767H,PS,0.5094,0.0083,0.4823
SIMGS6768H,WD,0.3243,0.4632,0.2125
SIMGS6769H,GD,0.0623,0.4184,0.5193
SIMGS6771H,JS,0.0296,0.0157,0.9547
SIMGS6773H,JD,0.0159,0.9688,0.0153
SIMGS6775H,PD,0.9823,0.0049,0.0128
SIMGS6776H,GS,0.6136,0.0209,0.3655
SIMGS6778H,PS,0.5136,0.0095,0.4769
SIMGS6780H,WD,0.2501,0.5635,0.1864
SIMGS6784H,GD,0.0398,0.4436,0.5166
SIMGS6785H,JS,0.1956,0.0561,0.7483
SIMGS6788H,JD,0.1922,0.7583,0.0495
SIMGS6789H,PD,0.9166,0.0548,0.0286
SIMGS6790H,GS,0.5186,0.0149,0.4665
SIMJD6884H,PS,0.4737,0.0139,0.5124
SIMJD6886H,WD,0.2910,0.5288,0.1802
SIMJD6887H,GD,0.0384,0.4948,0.4668
SIMJD6888H,JS,0.1326,0.0275,0.8399
SIMJD6894H,JD,0.0201,0.9664,0.0135
SIMJD6895H,PD,0.9373,0.0549,0.0078
SIMJD6896H,GS,0.7702,0.0156,0.2142
SIMJD6897H,PS,0.6703,0.0524,0.2773
SIMJD6898H,WD,0.1725,0.6723,0.1553
SIMJD6899H,GD,0.1552,0.3673,0.4775
SIMJD6905H,JS,0.0563,0.0441,0.8996
SIMJD6906H,JD,0.0479,0.9443,0.0078
SIMJD6907H,PD,0.8383,0.1043,0.0574
SIMJD6908H,GS,0.6117,0.0653,0.3230
SIMJD6913H,PS,0.3517,0.0161,0.6322
SIMJS6704H,WD,0.1755,0.4667,0.3578
SIMJS6706H,GD,0.1047,0.2879,0.6074
SIMJS6707H,JS,0.2723,0.0140,0.7137
SIMJS6709H,JD,0.0151,0.9706,0.0143
SIMJS6711H,PD,0.9337,0.0380,0.0283
SIMJS6713H,GS,0.4543,0.1682,0.3774
SIMJS6715H,PS,0.4356,0.1499,0.4145
SIMJS6716H,WD,0.1969,0.6088,0.1943
SIMJS6717H,GD,0.0076,0.5049,0.4875
SIMJS6718H,JS,0.0148,0.0124,0.9728
SIMJS6725H,JD,0.0373,0.9470,0.0157
SIMJS6726H,PD,0.9494,0.0304,0.0202
SIMJS6727H,GS,0.5715,0.1751,0.2534
SIMJS6728H,PS,0.3793,0.0600,0.5607
SIMPD7015H,WD,0.2581,0.5134,0.2285
SIMPD7016H,GD,0.0230,0.4478,0.5292
SIMPD7018H,JS,0.0630,0.0825,0.8545
SIMPD7019H,JD,0.0091,0.9787,0.0122
SIMPD7021H,PD,0.9776,0.0108,0.0116
SIMPD7022H,GS,0.4899,0.2277,0.2824
SIMPD7023H,PS,0.4917,0.0166,0.4917
SIMPD7024H,WD,0.2563,0.3685,0.3752
SIMPD7025H,GD,0.1615,0.1754,0.6631
SIMPD7027H,JS,0.0230,0.0490,0.9280
SIMPD7035H,JD,0.0188,0.9664,0.0148
SIMPD7036H,PD,0.9638,0.0092,0.0270
SIMPD7037H,GS,0.8464,0.0177,0.1359
SIMPD7040H,PS,0.4449,0.0647,0.4904
SIMPD7041H,WD,0.1903,0.6296,0.1801
SIMPS6633H,GD,0.0514,0.5008,0.4478
SIMPS6634H,JS,0.0596,0.0343,0.9061
SIMPS6635H,JD,0.0078,0.9798,0.0124
SIMPS6638H,PD,0.9371,0.0105,0.0524
SIMPS6639H,GS,0.6214,0.0177,0.3609
SIMPS6641H,PS,0.5524,0.0599,0.3877
SIMPS6642H,WD,0.2667,0.4851,0.2482
SIMPS6643H,GD,0.0779,0.3414,0.5807
SIMPS6644H,JS,0.0182,0.0151,0.9667
SIMPS6645H,JD,0.0147,0.9623,0.0230
SIMPS6646H,PD,0.7979,0.1056,0.0965
SIMPS6652H,GS,0.8340,0.0269,0.1391
SIMPS6654H,PS,0.4608,0.0212,0.5180
SIMPS6657H,WD,0.2513,0.5360,0.2127
SIMPS6658H,GD,0.0226,0.4770,0.5004
SIMPS6661H,JS,0.0120,0.0233,0.9647
SIMWD6945H,JD,0.0101,0.9773,0.0126
SIMWD6947H,PD,0.6085,0.3676,0.0239
SIMWD6948H,GS,0.8723,0.0084,0.1193
SIMWD6954H,PS,0.3071,0.0200,0.6729
SIMWD6955H,WD,0.2949,0.4038,0.3013
SIMWD6956H,GD,0.0141,0.6595,0.3264
SIMWD6957H,JS,0.0916,0.0708,0.8376
SIMWD6958H,JD,0.0301,0.9124,0.0575
SIMWD6959H,PD,0.9339,0.0049,0.0612
SIMWD6962H,GS,0.2415,0.2255,0.5330
SIMWD6967H,PS,0.4563,0.0290,0.5147
SIMWD6968H,WD,0.3192,0.5042,0.1765
SIMWD6969H,GD,0.0429,0.3923,0.5648
SIMWD6972H,JS,0.0794,0.0350,0.8856
