SIMGD6824H,JD,0.0320,0.9600,0.0080
SIMGD6825H,PD,0.9040,0.0600,0.0360
SIMGD6826H,GS,0.3520,0.1320,0.5160
SIMGD6827H,PS,0.7820,0.1680,0.0500
SIMGD6828H,WD,0.1201,0.3944,0.4855
SIMGD6829H,GD,0.0570,0.1850,0.7580
SIMGD6831H,JS,0.0100,0.0829,0.9071
SIMGD6833H,JD,0.0200,0.8930,0.0870
SIMGD6840H,PD,0.9350,0.0340,0.0310
SIMGD6841H,GS,0.0800,0.7930,0.1270
SIMGD6844H,PS,0.9790,0.0070,0.0140
SIMGD6846H,WD,0.0350,0.9530,0.0120
SIMGD6847H,GD,0.0070,0.0190,0.9740
SIMGD6848H,JS,0.1139,0.1099,0.7762
SIMGD6851H,JD,0.0060,0.9409,0.0531
SIMGS6764H,PD,0.9300,0.0570,0.0130
SIMGS6765H,GS,0.6400,0.0190,0.3410
SIMGS6767H,PS,0.9550,0.0120,0.0330
SIMGS6768H,WD,0.3170,0.6500,0.0330
SIMGS6769H,GD,0.0470,0.0210,0.9320
SIMGS6771H,JS,0.0290,0.0230,0.9480
SIMGS6773H,JD,0.0150,0.9710,0.0140
SIMGS6775H,PD,0.9810,0.0060,0.0130
SIMGS6776H,GS,0.6210,0.0210,0.3580
SIMGS6778H,PS,0.9670,0.0140,0.0190
SIMGS6780H,WD,0.1740,0.8100,0.0160
SIMGS6784H,GD,0.0260,0.0190,0.9550
SIMGS6785H,JS,0.2670,0.0330,0.7000
SIMGS6788H,JD,0.2050,0.6780,0.1170
SIMGS6789H,PD,0.9190,0.0360,0.0450
SIMGS6790H,GS,0.4705,0.0150,0.5145
SIMJD6884H,PS,0.8140,0.0190,0.1670
SIMJD6886H,WD,0.2700,0.6820,0.0480
SIMJD6887H,GD,0.0560,0.0880,0.8560
SIMJD6888H,JS,0.2470,0.0690,0.6840
SIMJD6894H,JD,0.0310,0.9450,0.0240
SIMJD6895H,PD,0.8740,0.1150,0.0110
SIMJD6896H,GS,0.9000,0.0190,0.0810
SIMJD6897H,PS,0.8830,0.0680,0.0490
SIMJD6898H,WD,0.0240,0.9299,0.0460
SIMJD6899H,GD,0.0599,0.0100,0.9301
SIMJD6905H,JS,0.0480,0.0430,0.9090
SIMJD6906H,JD,0.0591,0.9269,0.0140
SIMJD6907H,PD,0.6577,0.2853,0.0571
SIMJD6908H,GS,0.6030,0.1350,0.2620
SIMJD6913H,PS,0.4500,0.0130,0.5370
SIMJS6704H,WD,0.0610,0.6580,0.2810
SIMJS6706H,GD,0.0730,0.0190,0.9080
SIMJS6707H,JS,0.3730,0.0120,0.6150
SIMJS6709H,JD,0.0100,0.9760,0.0140
SIMJS6711H,PD,0.8490,0.1040,0.0470
SIMJS6713H,GS,0.3170,0.2550,0.4280
SIMJS6715H,PS,0.3047,0.6134,0.0819
SIMJS6716H,WD,0.0060,0.9850,0.0090
SIMJS6717H,GD,0.0090,0.0330,0.9580
SIMJS6718H,JS,0.0150,0.0170,0.9680
SIMJS6725H,JD,0.0220,0.9630,0.0150
SIMJS6726H,PD,0.9590,0.0310,0.0100
SIMJS6727H,GS,0.5780,0.3670,0.0550
SIMJS6728H,PS,0.7180,0.0500,0.2320
SIMPD7015H,WD,0.2420,0.6810,0.0770
SIMPD7016H,GD,0.0470,0.1630,0.7900
SIMPD7018H,JS,0.0180,0.0230,0.9590
SIMPD7019H,JD,0.0150,0.9660,0.0190
SIMPD7021H,PD,0.9800,0.0120,0.0080
SIMPD7022H,GS,0.5010,0.3590,0.1400
SIMPD7023H,PS,0.8480,0.0290,0.1230
SIMPD7024H,WD,0.1720,0.7360,0.0920
SIMPD7025H,GD,0.0240,0.0100,0.9660
SIMPD7027H,JS,0.0190,0.0150,0.9660
SIMPD7035H,JD,0.0270,0.9540,0.0190
SIMPD7036H,PD,0.9620,0.0140,0.0240
SIMPD7037H,GS,0.9340,0.0330,0.0330
SIMPD7040H,PS,0.8230,0.1130,0.0640
SIMPD7041H,WD,0.0210,0.8930,0.0860
SIMPS6633H,GD,0.0580,0.1050,0.8370
SIMPS6634H,JS,0.0950,0.0720,0.8330
SIMPS6635H,JD,0.0140,0.9620,0.0240
SIMPS6638H,PD,0.8750,0.0160,0.1090
SIMPS6639H,GS,0.6680,0.0230,0.3090
SIMPS6641H,PS,0.8550,0.1260,0.0190
SIMPS6642H,WD,0.2148,0.7263,0.0589
SIMPS6643H,GD,0.0470,0.0160,0.9370
SIMPS6644H,JS,0.0200,0.0140,0.9660
SIMPS6645H,JD,0.0250,0.9340,0.0410
SIMPS6646H,PD,0.8840,0.0350,0.0810
SIMPS6652H,GS,0.8492,0.0410,0.1099
SIMPS6654H,PS,0.8560,0.0470,0.0970
SIMPS6657H,WD,0.1190,0.8400,0.0410
SIMPS6658H,GD,0.0330,0.0380,0.9291
SIMPS6661H,JS,0.0130,0.0130,0.9740
SIMWD6945H,JD,0.0200,0.9700,0.0100
SIMWD6947H,PD,0.5550,0.4260,0.0190
SIMWD6948H,GS,0.9730,0.0150,0.0120
SIMWD6954H,PS,0.6200,0.0270,0.3530
SIMWD6955H,WD,0.3240,0.3590,0.3170
SIMWD6956H,GD,0.0180,0.3680,0.6140
SIMWD6957H,JS,0.0910,0.0150,0.8940
SIMWD6958H,JD,0.0270,0.9400,0.0330
SIMWD6959H,PD,0.9830,0.0070,0.0100
SIMWD6962H,GS,0.1330,0.3120,0.5550
SIMWD6967H,PS,0.8610,0.0330,0.1060
SIMWD6968H,WD,0.1339,0.8162,0.0500
SIMWD6969H,GD,0.0230,0.0430,0.9339
SIMWD6972H,JS,0.1340,0.0680,0.7980
