SIMGD6824H,JD,0.0055,0.9714,0.0050,0.0028,0.0153
SIMGD6825H,PD,0.7684,0.0142,0.1316,0.0111,0.0748
SIMGD6826H,GS,0.1992,0.0055,0.0325,0.1273,0.6356
SIMGD6827H,PS,0.1460,0.1006,0.5976,0.1186,0.0372
SIMGD6828H,WD,0.0218,0.0451,0.3333,0.0892,0.5107
SIMGD6829H,GD,0.0062,0.0341,0.0270,0.8405,0.0921
SIMGD6831H,JS,0.0024,0.1242,0.5612,0.2895,0.0227
SIMGD6833H,JD,0.0090,0.8027,0.0626,0.0370,0.0887
SIMGD6840H,PD,0.9281,0.0131,0.0170,0.0340,0.0077
SIMGD6841H,GS,0.0623,0.1637,0.0231,0.0945,0.6564
SIMGD6844H,PS,0.1408,0.0027,0.7559,0.0884,0.0122
SIMGD6846H,WD,0.0030,0.0993,0.1980,0.0023,0.6974
SIMGD6847H,GD,0.0020,0.0038,0.0027,0.9875,0.0040
SIMGD6848H,JS,0.1356,0.0149,0.2300,0.1597,0.4597
SIMGD6851H,JD,0.0024,0.9751,0.0033,0.0160,0.0032
SIMGS6764H,PD,0.9608,0.0213,0.0069,0.0054,0.0056
SIMGS6765H,GS,0.1999,0.0038,0.0415,0.1222,0.6327
SIMGS6767H,PS,0.1093,0.0030,0.7780,0.1035,0.0062
SIMGS6768H,WD,0.0747,0.0840,0.2081,0.0407,0.5924
SIMGS6769H,GD,0.0204,0.0135,0.0328,0.9267,0.0066
SIMGS6771H,JS,0.0086,0.0047,0.5576,0.3081,0.1210
SIMGS6773H,JD,0.0049,0.9745,0.0060,0.0102,0.0044
SIMGS6775H,PD,0.9860,0.0017,0.0029,0.0027,0.0067
SIMGS6776H,GS,0.1399,0.0037,0.1183,0.0894,0.6486
SIMGS6778H,PS,0.1035,0.0030,0.7878,0.1012,0.0045
SIMGS6780H,WD,0.0111,0.1119,0.1646,0.0038,0.7086
SIMGS6784H,GD,0.0086,0.0061,0.0087,0.9678,0.0088
SIMGS6785H,JS,0.1572,0.0191,0.4745,0.2871,0.0621
SIMGS6788H,JD,0.0823,0.8442,0.0123,0.0269,0.0343
SIMGS6789H,PD,0.9477,0.0150,0.0044,0.0267,0.0062
SIMGS6790H,GS,0.1652,0.0036,0.0997,0.1234,0.6081
SIMJD6884H,PS,0.1073,0.0054,0.7566,0.1096,0.0211
SIMJD6886H,WD,0.0349,0.2065,0.1437,0.0260,0.5889
SIMJD6887H,GD,0.0094,0.0107,0.0138,0.9558,0.0103
SIMJD6888H,JS,0.0094,0.0062,0.7509,0.1688,0.0647
SIMJD6894H,JD,0.0139,0.9630,0.0053,0.0099,0.0079
SIMJD6895H,PD,0.9310,0.0577,0.0030,0.0032,0.0051
SIMJD6896H,GS,0.2176,0.0052,0.1259,0.1041,0.5472
SIMJD6897H,PS,0.3298,0.0157,0.5317,0.1008,0.0220
SIMJD6898H,WD,0.0086,0.1207,0.1761,0.0559,0.6387
SIMJD6899H,GD,0.0575,0.0028,0.0045,0.9320,0.0032
SIMJD6905H,JS,0.0199,0.0266,0.5062,0.3609,0.0864
SIMJD6906H,JD,0.0163,0.9557,0.0037,0.0051,0.0192
SIMJD6907H,PD,0.7604,0.0199,0.0120,0.0162,0.1915
SIMJD6908H,GS,0.1891,0.0285,0.0582,0.1193,0.6050
SIMJD6913H,PS,0.0978,0.0028,0.7912,0.1040,0.0042
SIMJS6704H,WD,0.0096,0.1190,0.2525,0.0819,0.5370
SIMJS6706H,GD,0.0231,0.0062,0.0265,0.9163,0.0279
SIMJS6707H,JS,0.2179,0.0044,0.4157,0.2738,0.0883
SIMJS6709H,JD,0.0052,0.9490,0.0119,0.0069,0.0270
SIMJS6711H,PD,0.8713,0.0179,0.0132,0.0209,0.0767
SIMJS6713H,GS,0.1853,0.0253,0.0325,0.1253,0.6316
SIMJS6715H,PS,0.0778,0.0111,0.4992,0.1337,0.2782
SIMJS6716H,WD,0.0018,0.1222,0.1985,0.0025,0.6750
SIMJS6717H,GD,0.0044,0.0092,0.0033,0.9806,0.0025
SIMJS6718H,JS,0.0050,0.0042,0.5794,0.2673,0.1441
SIMJS6725H,JD,0.0164,0.9593,0.0056,0.0049,0.0138
SIMJS6726H,PD,0.9411,0.0200,0.0258,0.0066,0.0065
SIMJS6727H,GS,0.1551,0.0275,0.0431,0.1016,0.6727
SIMJS6728H,PS,0.0904,0.0174,0.7756,0.1131,0.0035
SIMPD7015H,WD,0.0088,0.0936,0.1982,0.0044,0.6950
SIMPD7016H,GD,0.0072,0.0403,0.0902,0.6866,0.1756
SIMPD7018H,JS,0.0151,0.0793,0.4715,0.3131,0.1210
SIMPD7019H,JD,0.0061,0.9791,0.0034,0.0081,0.0033
SIMPD7021H,PD,0.9784,0.0049,0.0094,0.0032,0.0041
SIMPD7022H,GS,0.1038,0.0311,0.0294,0.0894,0.7463
SIMPD7023H,PS,0.1285,0.0055,0.7529,0.0958,0.0173
SIMPD7024H,WD,0.0092,0.0798,0.3660,0.0158,0.5292
SIMPD7025H,GD,0.0174,0.0032,0.0085,0.9484,0.0225
SIMPD7027H,JS,0.0090,0.0130,0.5388,0.3472,0.0920
SIMPD7035H,JD,0.0131,0.9474,0.0131,0.0138,0.0126
SIMPD7036H,PD,0.9398,0.0039,0.0224,0.0072,0.0267
SIMPD7037H,GS,0.3469,0.0068,0.0681,0.0729,0.5054
SIMPD7040H,PS,0.0967,0.0242,0.7645,0.1036,0.0110
SIMPD7041H,WD,0.0083,0.1420,0.2015,0.0224,0.6257
SIMPS6633H,GD,0.0210,0.0221,0.0039,0.9490,0.0040
SIMPS6634H,JS,0.0132,0.0072,0.5387,0.2034,0.2375
SIMPS6635H,JD,0.0030,0.9882,0.0028,0.0037,0.0023
SIMPS6638H,PD,0.9384,0.0034,0.0108,0.0368,0.0106
SIMPS6639H,GS,0.2217,0.0044,0.0482,0.1232,0.6025
SIMPS6641H,PS,0.1280,0.0143,0.6475,0.1028,0.1074
SIMPS6642H,WD,0.0091,0.0792,0.2007,0.0115,0.6995
SIMPS6643H,GD,0.0318,0.0157,0.0552,0.8742,0.0231
SIMPS6644H,JS,0.0046,0.0059,0.5835,0.2980,0.1080
SIMPS6645H,JD,0.0122,0.8961,0.0149,0.0586,0.0182
SIMPS6646H,PD,0.8789,0.0094,0.0139,0.0946,0.0032
SIMPS6652H,GS,0.2134,0.0076,0.0854,0.1022,0.5914
SIMPS6654H,PS,0.1107,0.0072,0.7690,0.0648,0.0483
SIMPS6657H,WD,0.0142,0.1006,0.2040,0.0055,0.6757
SIMPS6658H,GD,0.0083,0.0156,0.0368,0.9309,0.0084
