SIMGD6824H,JD,0.0080,0.9850,0.0030,0.0020,0.0020
SIMGD6825H,PD,0.7413,0.0060,0.1558,0.0160,0.0809
SIMGD6826H,GS,0.9510,0.0070,0.0030,0.0190,0.0200
SIMGD6827H,PS,0.2823,0.0501,0.6416,0.0210,0.0050
SIMGD6828H,WD,0.0410,0.0320,0.0520,0.1560,0.7190
SIMGD6829H,GD,0.0160,0.0250,0.0210,0.8290,0.1090
SIMGD6831H,JS,0.0030,0.0260,0.0270,0.9370,0.0070
SIMGD6833H,JD,0.0150,0.8408,0.0100,0.0591,0.0751
SIMGD6840H,PD,0.8799,0.0260,0.0320,0.0480,0.0140
SIMGD6841H,GS,0.0680,0.2630,0.0070,0.0090,0.6530
SIMGD6844H,PS,0.0630,0.0020,0.9250,0.0060,0.0040
SIMGD6846H,WD,0.0030,0.0020,0.0020,0.0030,0.9900
SIMGD6847H,GD,0.0030,0.0060,0.0030,0.9830,0.0050
SIMGD6848H,JS,0.4670,0.0150,0.0050,0.1370,0.3760
SIMGD6851H,JD,0.0020,0.9840,0.0020,0.0080,0.0040
SIMGS6764H,PD,0.9301,0.0480,0.0080,0.0070,0.0070
SIMGS6765H,GS,0.9760,0.0040,0.0020,0.0120,0.0060
SIMGS6767H,PS,0.0040,0.0030,0.9810,0.0070,0.0050
SIMGS6768H,WD,0.0739,0.0100,0.0589,0.0210,0.8362
SIMGS6769H,GD,0.0130,0.0150,0.0190,0.9480,0.0050
SIMGS6771H,JS,0.0100,0.0030,0.0070,0.9590,0.0210
SIMGS6773H,JD,0.0060,0.9770,0.0070,0.0050,0.0050
SIMGS6775H,PD,0.9920,0.0020,0.0020,0.0020,0.0020
SIMGS6776H,GS,0.6246,0.0040,0.0661,0.0611,0.2442
SIMGS6778H,PS,0.0020,0.0030,0.9860,0.0030,0.0060
SIMGS6780H,WD,0.0090,0.0100,0.0050,0.0020,0.9740
SIMGS6784H,GD,0.0140,0.0060,0.0080,0.9680,0.0040
SIMGS6785H,JS,0.0280,0.0110,0.0130,0.9430,0.0050
SIMGS6788H,JD,0.1650,0.7850,0.0090,0.0250,0.0160
SIMGS6789H,PD,0.9300,0.0170,0.0040,0.0450,0.0040
SIMGS6790H,GS,0.8002,0.0040,0.0310,0.1289,0.0360
SIMJD6884H,PS,0.0080,0.0030,0.9630,0.0200,0.0060
SIMJD6886H,WD,0.1040,0.0450,0.0140,0.0160,0.8210
SIMJD6887H,GD,0.0070,0.0070,0.0130,0.9590,0.0140
SIMJD6888H,JS,0.0070,0.0060,0.2903,0.6807,0.0160
SIMJD6894H,JD,0.0120,0.9650,0.0040,0.0070,0.0120
SIMJD6895H,PD,0.9291,0.0619,0.0030,0.0030,0.0030
SIMJD6896H,GS,0.9089,0.0050,0.0531,0.0110,0.0220
SIMJD6897H,PS,0.2450,0.0210,0.6970,0.0220,0.0150
SIMJD6898H,WD,0.0050,0.0230,0.0040,0.0110,0.9570
SIMJD6899H,GD,0.0340,0.0020,0.0020,0.9600,0.0020
SIMJD6905H,JS,0.0060,0.0040,0.0220,0.9410,0.0270
SIMJD6906H,JD,0.0160,0.9730,0.0040,0.0040,0.0030
SIMJD6907H,PD,0.8590,0.0110,0.0050,0.0170,0.1080
SIMJD6908H,GS,0.8961,0.0100,0.0050,0.0669,0.0220
SIMJD6913H,PS,0.0020,0.0030,0.9800,0.0130,0.0020
SIMJS6704H,WD,0.0090,0.0100,0.0070,0.3163,0.6577
SIMJS6706H,GD,0.0340,0.0070,0.0100,0.9390,0.0100
SIMJS6707H,JS,0.0740,0.0040,0.0210,0.8980,0.0030
SIMJS6709H,JD,0.0050,0.9330,0.0100,0.0070,0.0450
SIMJS6711H,PD,0.9730,0.0100,0.0030,0.0070,0.0070
SIMJS6713H,GS,0.8122,0.0470,0.0040,0.0210,0.1159
SIMJS6715H,PS,0.0040,0.0050,0.9740,0.0080,0.0090
SIMJS6716H,WD,0.0030,0.0060,0.0020,0.0040,0.9850
SIMJS6717H,GD,0.0030,0.0110,0.0020,0.9810,0.0030
SIMJS6718H,JS,0.0190,0.0050,0.0170,0.8961,0.0629
SIMJS6725H,JD,0.0400,0.9430,0.0030,0.0090,0.0050
SIMJS6726H,PD,0.8810,0.0200,0.0870,0.0050,0.0070
SIMJS6727H,GS,0.6890,0.0130,0.0180,0.0100,0.2700
SIMJS6728H,PS,0.0030,0.0090,0.9770,0.0070,0.0040
SIMPD7015H,WD,0.0080,0.0040,0.0040,0.0030,0.9810
SIMPD7016H,GD,0.0120,0.0160,0.0120,0.8651,0.0949
SIMPD7018H,JS,0.0080,0.0030,0.0060,0.9340,0.0490
SIMPD7019H,JD,0.0030,0.9850,0.0030,0.0060,0.0030
SIMPD7021H,PD,0.9449,0.0040,0.0440,0.0040,0.0030
SIMPD7022H,GS,0.2970,0.0810,0.0100,0.0070,0.6050
SIMPD7023H,PS,0.0841,0.0080,0.8769,0.0160,0.0150
SIMPD7024H,WD,0.0030,0.0020,0.2630,0.0170,0.7150
SIMPD7025H,GD,0.0270,0.0030,0.0070,0.9570,0.0060
SIMPD7027H,JS,0.0100,0.0100,0.0180,0.9540,0.0080
SIMPD7035H,JD,0.0070,0.9489,0.0140,0.0110,0.0190
SIMPD7036H,PD,0.9640,0.0050,0.0150,0.0050,0.0110
SIMPD7037H,GS,0.9610,0.0070,0.0150,0.0050,0.0120
SIMPD7040H,PS,0.0060,0.0120,0.9691,0.0080,0.0050
SIMPD7041H,WD,0.0040,0.0110,0.0050,0.0080,0.9720
SIMPS6633H,GD,0.0390,0.0960,0.0040,0.8550,0.0060
SIMPS6634H,JS,0.0520,0.0090,0.0590,0.6710,0.2090
SIMPS6635H,JD,0.0040,0.9860,0.0030,0.0050,0.0020
SIMPS6638H,PD,0.9251,0.0030,0.0080,0.0529,0.0110
SIMPS6639H,GS,0.9421,0.0060,0.0170,0.0300,0.0050
SIMPS6641H,PS,0.0370,0.0250,0.8680,0.0090,0.0610
