SIMGD6824H,JD,0.0039,0.0280,0.0027,0.0022,0.0036,0.9596
SIMGD6825H,PD,0.7532,0.0149,0.0053,0.1456,0.0747,0.0063
SIMGD6826H,GS,0.0063,0.7834,0.1025,0.1007,0.0026,0.0045
SIMGD6827H,PS,0.0308,0.1758,0.0265,0.0121,0.6338,0.1210
SIMGD6828H,WD,0.0156,0.1586,0.0273,0.4782,0.2921,0.0282
SIMGD6829H,GD,0.0040,0.0183,0.8734,0.0664,0.0179,0.0200
SIMGD6831H,JS,0.0013,0.2024,0.0128,0.0576,0.6413,0.0846
SIMGD6833H,JD,0.0073,0.0848,0.0154,0.0495,0.0533,0.7897
SIMGD6840H,PD,0.9376,0.0073,0.0200,0.0075,0.0164,0.0112
SIMGD6841H,GS,0.0034,0.5444,0.0898,0.2408,0.0067,0.1149
SIMGD6844H,PS,0.0298,0.1091,0.0029,0.0036,0.8520,0.0026
SIMGD6846H,WD,0.0018,0.0037,0.0015,0.9888,0.0022,0.0020
SIMGD6847H,GD,0.0013,0.0029,0.9872,0.0030,0.0022,0.0034
SIMGD6848H,JS,0.0809,0.4245,0.0700,0.2594,0.1450,0.0202
SIMGD6851H,JD,0.0022,0.0050,0.0120,0.0031,0.0036,0.9741
SIMGS6764H,PD,0.9701,0.0037,0.0047,0.0048,0.0055,0.0112
SIMGS6765H,GS,0.0059,0.7815,0.1036,0.1007,0.0053,0.0030
SIMGS6767H,PS,0.0170,0.0983,0.0086,0.0076,0.8657,0.0028
SIMGS6768H,WD,0.0813,0.0106,0.0201,0.8278,0.0541,0.0061
SIMGS6769H,GD,0.0157,0.0106,0.9122,0.0043,0.0403,0.0169
SIMGS6771H,JS,0.0051,0.2960,0.0245,0.0286,0.6420,0.0038
SIMGS6773H,JD,0.0034,0.0038,0.0087,0.0033,0.0042,0.9766
SIMGS6775H,PD,0.9854,0.0061,0.0020,0.0025,0.0023,0.0017
SIMGS6776H,GS,0.0108,0.5866,0.0819,0.2893,0.0295,0.0019
SIMGS6778H,PS,0.0104,0.0987,0.0031,0.0087,0.8768,0.0023
SIMGS6780H,WD,0.0073,0.0177,0.0043,0.9564,0.0043,0.0100
SIMGS6784H,GD,0.0076,0.0121,0.9614,0.0052,0.0092,0.0045
SIMGS6785H,JS,0.1304,0.2378,0.0112,0.0049,0.5960,0.0197
SIMGS6788H,JD,0.0513,0.0470,0.0286,0.0104,0.0117,0.8510
SIMGS6789H,PD,0.9495,0.0127,0.0151,0.0037,0.0045,0.0145
