SIMGD6824H,JD,0.0060,0.0030,0.0080,0.0020,0.0030,0.9780
SIMGD6825H,PD,0.7190,0.0270,0.0090,0.1660,0.0740,0.0050
SIMGD6826H,GS,0.0040,0.0040,0.9800,0.0040,0.0020,0.0060
SIMGD6827H,PS,0.0060,0.0060,0.1180,0.0040,0.6360,0.2300
SIMGD6828H,WD,0.0160,0.3340,0.0920,0.4890,0.0260,0.0430
SIMGD6829H,GD,0.0040,0.0080,0.9020,0.0160,0.0390,0.0310
SIMGD6831H,JS,0.0010,0.9870,0.0020,0.0020,0.0030,0.0050
SIMGD6833H,JD,0.0060,0.1049,0.0230,0.0400,0.0120,0.8142
SIMGD6840H,PD,0.9560,0.0050,0.0060,0.0050,0.0160,0.0120
SIMGD6841H,GS,0.0020,0.0070,0.8018,0.1021,0.0050,0.0821
SIMGD6844H,PS,0.0250,0.0070,0.0040,0.0020,0.9600,0.0020
SIMGD6846H,WD,0.0010,0.0020,0.0020,0.9910,0.0020,0.0020
SIMGD6847H,GD,0.0020,0.0030,0.9840,0.0040,0.0020,0.0050
SIMGD6848H,JS,0.0430,0.3886,0.2897,0.2657,0.0050,0.0080
SIMGD6851H,JD,0.0020,0.0060,0.0070,0.0020,0.0020,0.9810
SIMGS6764H,PD,0.9750,0.0030,0.0030,0.0040,0.0040,0.0110
SIMGS6765H,GS,0.0100,0.0120,0.9710,0.0030,0.0020,0.0020
SIMGS6767H,PS,0.0130,0.0070,0.0050,0.0060,0.9660,0.0030
SIMGS6768H,WD,0.0400,0.0050,0.0150,0.8378,0.0941,0.0080
SIMGS6769H,GD,0.0160,0.0380,0.9000,0.0040,0.0250,0.0170
SIMGS6771H,JS,0.0030,0.9700,0.0110,0.0110,0.0030,0.0020
SIMGS6773H,JD,0.0020,0.0020,0.0040,0.0020,0.0040,0.9860
SIMGS6775H,PD,0.9890,0.0030,0.0030,0.0020,0.0020,0.0010
SIMGS6776H,GS,0.0150,0.0170,0.7608,0.1562,0.0501,0.0010
SIMGS6778H,PS,0.0030,0.0030,0.0020,0.0050,0.9850,0.0020
SIMGS6780H,WD,0.0090,0.0020,0.0120,0.9620,0.0070,0.0080
SIMGS6784H,GD,0.0080,0.0170,0.9600,0.0030,0.0040,0.0080
SIMGS6785H,JS,0.0971,0.8669,0.0100,0.0030,0.0110,0.0120
SIMGS6788H,JD,0.0619,0.0250,0.0719,0.0090,0.0070,0.8252
SIMGS6789H,PD,0.9700,0.0060,0.0080,0.0030,0.0030,0.0100
SIMGS6790H,GS,0.0030,0.0060,0.9760,0.0020,0.0110,0.0020
SIMJD6884H,PS,0.0060,0.0160,0.0090,0.0030,0.9630,0.0030
SIMJD6886H,WD,0.0150,0.0070,0.0271,0.6363,0.0140,0.3006
SIMJD6887H,GD,0.0120,0.0040,0.9149,0.0160,0.0280,0.0250
SIMJD6888H,JS,0.0080,0.9130,0.0020,0.0150,0.0580,0.0040
SIMJD6894H,JD,0.0150,0.0050,0.0070,0.0050,0.0070,0.9610
SIMJD6895H,PD,0.9530,0.0020,0.0030,0.0030,0.0040,0.0350
SIMJD6896H,GS,0.0190,0.0030,0.8970,0.0070,0.0700,0.0040
SIMJD6897H,PS,0.1091,0.0060,0.0310,0.0230,0.8048,0.0260
SIMJD6898H,WD,0.0040,0.0020,0.0420,0.9270,0.0030,0.0220
SIMJD6899H,GD,0.0430,0.0090,0.9370,0.0020,0.0040,0.0050
SIMJD6905H,JS,0.0130,0.8680,0.0500,0.0210,0.0360,0.0120
SIMJD6906H,JD,0.0140,0.0020,0.0180,0.0050,0.0050,0.9560
SIMJD6907H,PD,0.7413,0.0130,0.0809,0.1399,0.0040,0.0210
SIMJD6908H,GS,0.0070,0.0220,0.9460,0.0090,0.0030,0.0130
SIMJD6913H,PS,0.0030,0.0639,0.0040,0.0030,0.9231,0.0030
SIMJS6704H,WD,0.0130,0.2388,0.0240,0.6903,0.0150,0.0190
SIMJS6706H,GD,0.0100,0.0160,0.9560,0.0070,0.0070,0.0040
SIMJS6707H,JS,0.1990,0.7250,0.0420,0.0030,0.0260,0.0050
SIMJS6709H,JD,0.0050,0.0070,0.0050,0.0510,0.0030,0.9290
SIMJS6711H,PD,0.8819,0.0621,0.0180,0.0160,0.0050,0.0170
SIMJS6713H,GS,0.0110,0.0190,0.9510,0.0060,0.0020,0.0110
SIMJS6715H,PS,0.0020,0.0030,0.0340,0.0430,0.9109,0.0070
SIMJS6716H,WD,0.0010,0.0020,0.0020,0.9870,0.0020,0.0060
SIMJS6717H,GD,0.0120,0.0240,0.9119,0.0040,0.0030,0.0450
SIMJS6718H,JS,0.0020,0.9770,0.0040,0.0080,0.0050,0.0040
SIMJS6725H,JD,0.0090,0.0060,0.0060,0.0030,0.0020,0.9740
SIMJS6726H,PD,0.9470,0.0030,0.0060,0.0020,0.0280,0.0140
SIMJS6727H,GS,0.0060,0.0050,0.9030,0.0650,0.0070,0.0140
SIMJS6728H,PS,0.0030,0.0060,0.0050,0.0030,0.9660,0.0170
SIMPD7015H,WD,0.0190,0.0120,0.0160,0.9441,0.0060,0.0030
SIMPD7016H,GD,0.0050,0.0350,0.6040,0.3280,0.0210,0.0070
SIMPD7018H,JS,0.0090,0.9149,0.0150,0.0511,0.0050,0.0050
SIMPD7019H,JD,0.0060,0.0030,0.0040,0.0040,0.0030,0.9800
SIMPD7021H,PD,0.9830,0.0020,0.0030,0.0030,0.0070,0.0020
SIMPD7022H,GS,0.0060,0.0040,0.8262,0.1419,0.0090,0.0130
SIMPD7023H,PS,0.0260,0.0300,0.0130,0.0070,0.9141,0.0100
SIMPD7024H,WD,0.0050,0.0220,0.0040,0.8829,0.0841,0.0020
SIMPD7025H,GD,0.0050,0.0080,0.9750,0.0050,0.0050,0.0020
