SIMGD6824H,JD,0.0030,0.9760,0.0090,0.0010,0.0040,0.0020,0.0020,0.0030
SIMGD6825H,PD,0.0410,0.0040,0.0040,0.0020,0.7570,0.1620,0.0040,0.0260
SIMGD6826H,GS,0.0020,0.0030,0.9800,0.0020,0.0050,0.0020,0.0030,0.0030
SIMGD6827H,PS,0.7220,0.1360,0.0940,0.0010,0.0230,0.0030,0.0180,0.0030
SIMGD6828H,WD,0.0140,0.0420,0.0629,0.0030,0.0290,0.2138,0.0240,0.6114
SIMGD6829H,GD,0.0080,0.0090,0.0170,0.0030,0.0030,0.0350,0.9229,0.0020
SIMGD6831H,JS,0.0040,0.0250,0.0030,0.0100,0.0010,0.0170,0.0040,0.9361
SIMGD6833H,JD,0.0190,0.6540,0.1330,0.0030,0.0070,0.0610,0.0090,0.1140
SIMGD6840H,PD,0.0160,0.0120,0.0030,0.0040,0.9459,0.0060,0.0100,0.0030
SIMGD6841H,GS,0.0080,0.0501,0.6957,0.0040,0.0030,0.2202,0.0140,0.0050
SIMGD6844H,PS,0.9311,0.0020,0.0040,0.0380,0.0100,0.0030,0.0020,0.0100
SIMGD6846H,WD,0.0020,0.0020,0.0040,0.0010,0.0020,0.9840,0.0020,0.0030
SIMGD6847H,GD,0.0010,0.0020,0.0030,0.0010,0.0010,0.0020,0.9880,0.0020
SIMGD6848H,JS,0.0050,0.0110,0.1420,0.0020,0.1400,0.0850,0.0310,0.5840
SIMGD6851H,JD,0.0030,0.9570,0.0040,0.0020,0.0020,0.0040,0.0150,0.0130
SIMGS6764H,PD,0.0070,0.0100,0.0020,0.0210,0.9441,0.0050,0.0050,0.0060
SIMGS6765H,GS,0.0020,0.0020,0.9720,0.0030,0.0040,0.0040,0.0030,0.0100
SIMGS6767H,PS,0.9670,0.0020,0.0030,0.0100,0.0040,0.0030,0.0060,0.0050
SIMGS6768H,WD,0.1040,0.0080,0.0050,0.0250,0.0200,0.8140,0.0140,0.0100
SIMGS6769H,GD,0.0170,0.0120,0.0050,0.0050,0.0210,0.0030,0.9190,0.0180
SIMGS6771H,JS,0.0050,0.0030,0.0080,0.0040,0.0080,0.0090,0.0120,0.9510
SIMGS6773H,JD,0.0040,0.9730,0.0040,0.0050,0.0020,0.0020,0.0080,0.0020
SIMGS6775H,PD,0.0020,0.0010,0.0170,0.0140,0.9580,0.0020,0.0020,0.0040
SIMGS6776H,GS,0.0590,0.0020,0.6380,0.0120,0.0080,0.2680,0.0050,0.0080
SIMGS6778H,PS,0.9750,0.0020,0.0020,0.0020,0.0030,0.0100,0.0020,0.0040
SIMGS6780H,WD,0.0060,0.0110,0.0040,0.0010,0.0080,0.9660,0.0020,0.0020
SIMGS6784H,GD,0.0040,0.0030,0.0100,0.0050,0.0090,0.0030,0.9500,0.0160
SIMGS6785H,JS,0.0090,0.0140,0.0040,0.0240,0.1060,0.0030,0.0030,0.8370
SIMGS6788H,JD,0.0040,0.8480,0.0550,0.0010,0.0670,0.0060,0.0070,0.0120
SIMGS6789H,PD,0.0030,0.0080,0.0100,0.0050,0.9580,0.0020,0.0090,0.0050
SIMGS6790H,GS,0.0320,0.0020,0.9170,0.0130,0.0020,0.0050,0.0140,0.0150
SIMJD6884H,PS,0.9241,0.0030,0.0100,0.0030,0.0110,0.0040,0.0050,0.0400
SIMJD6886H,WD,0.0120,0.0490,0.2360,0.0260,0.0070,0.6480,0.0130,0.0090
