SIMGD6824H,GD,0.0060,0.0080,0.0010,0.9850
SIMGD6825H,GD,0.9089,0.0511,0.0050,0.0350
SIMGD6826H,GD,0.1200,0.3500,0.0050,0.5250
SIMGD6827H,GD,0.0110,0.9440,0.0010,0.0440
SIMGD6828H,GD,0.0960,0.5370,0.0280,0.3390
SIMGD6829H,GD,0.9760,0.0120,0.0030,0.0090
SIMGD6831H,GD,0.0050,0.0050,0.9850,0.0050
SIMGD6833H,GD,0.0450,0.0760,0.0400,0.8390
SIMGD6840H,GD,0.0080,0.9420,0.0030,0.0470
SIMGD6841H,GD,0.0110,0.0590,0.0060,0.9240
SIMGD6844H,GD,0.0130,0.9630,0.0030,0.0210
SIMGD6846H,GD,0.0090,0.0060,0.0070,0.9780
SIMGD6847H,GD,0.0420,0.9349,0.0040,0.0190
SIMGD6848H,GD,0.9690,0.0170,0.0080,0.0060
SIMGD6851H,GD,0.0040,0.0040,0.0040,0.9880
SIMGS6764H,GS,0.0060,0.9760,0.0060,0.0120
SIMGS6765H,GS,0.0170,0.0160,0.0050,0.9620
SIMGS6767H,GS,0.0120,0.9140,0.0620,0.0120
SIMGS6768H,GS,0.9160,0.0460,0.0050,0.0330
SIMGS6769H,GS,0.0440,0.0130,0.0030,0.9401
SIMGS6771H,GS,0.0340,0.9230,0.0050,0.0380
SIMGS6773H,GS,0.0290,0.9580,0.0050,0.0080
SIMGS6775H,GS,0.9800,0.0130,0.0040,0.0030
SIMGS6776H,GS,0.0230,0.7632,0.1309,0.0829
SIMGS6778H,GS,0.0230,0.9680,0.0030,0.0060
SIMGS6780H,GS,0.1620,0.8270,0.0030,0.0080
SIMGS6784H,GS,0.0160,0.0200,0.0450,0.9189
SIMGS6785H,GS,0.0860,0.8990,0.0050,0.0100
SIMGS6788H,GS,0.0751,0.7548,0.0370,0.1331
SIMGS6789H,GS,0.0160,0.7437,0.0150,0.2252
SIMGS6790H,GS,0.9800,0.0040,0.0070,0.0090
SIMJD6884H,JD,0.0180,0.9590,0.0190,0.0040
SIMJD6886H,JD,0.9220,0.0140,0.0020,0.0620
SIMJD6887H,JD,0.0200,0.8870,0.0020,0.0910
SIMJD6888H,JD,0.1500,0.8320,0.0100,0.0080
SIMJD6894H,JD,0.3377,0.6264,0.0070,0.0290
SIMJD6895H,JD,0.0030,0.0030,0.9880,0.0060
SIMJD6896H,JD,0.0180,0.9500,0.0050,0.0270
SIMJD6897H,JD,0.0710,0.8950,0.0070,0.0270
SIMJD6898H,JD,0.3053,0.6066,0.0150,0.0731
SIMJD6899H,JD,0.7690,0.0230,0.2060,0.0020
SIMJD6905H,JD,0.2930,0.6080,0.0110,0.0880
SIMJD6906H,JD,0.0140,0.2700,0.0270,0.6890
SIMJD6907H,JD,0.1300,0.2980,0.0030,0.5690
SIMJD6908H,JD,0.2200,0.5960,0.0110,0.1730
SIMJD6913H,JD,0.0110,0.0230,0.0060,0.9600
SIMJS6704H,JS,0.0670,0.9130,0.0040,0.0160
SIMJS6706H,JS,0.1590,0.6700,0.0070,0.1640
SIMJS6707H,JS,0.0690,0.8830,0.0180,0.0300
SIMJS6709H,JS,0.0290,0.8100,0.0070,0.1540
SIMJS6711H,JS,0.0579,0.2298,0.0020,0.7103
SIMJS6713H,JS,0.1130,0.8060,0.0100,0.0710
SIMJS6715H,JS,0.0020,0.0020,0.9940,0.0020
SIMJS6716H,JS,0.9870,0.0060,0.0020,0.0050
SIMJS6717H,JS,0.0569,0.0999,0.0509,0.7922
SIMJS6718H,JS,0.0040,0.9870,0.0040,0.0050
SIMJS6725H,JS,0.0070,0.9800,0.0040,0.0090
SIMJS6726H,JS,0.9520,0.0150,0.0030,0.0300
SIMJS6727H,JS,0.1850,0.7290,0.0020,0.0840
SIMJS6728H,JS,0.0520,0.9350,0.0080,0.0050
SIMPD7015H,PD,0.9001,0.0799,0.0040,0.0160
SIMPD7016H,PD,0.8250,0.1630,0.0020,0.0100
SIMPD7018H,PD,0.9210,0.0240,0.0290,0.0260
SIMPD7019H,PD,0.0110,0.9391,0.0300,0.0200
SIMPD7021H,PD,0.9800,0.0110,0.0030,0.0060
SIMPD7022H,PD,0.9660,0.0170,0.0030,0.0140
SIMPD7023H,PD,0.2600,0.3870,0.0210,0.3320
SIMPD7024H,PD,0.6507,0.2783,0.0601,0.0110
SIMPD7025H,PD,0.0170,0.1540,0.0020,0.8270
SIMPD7027H,PD,0.8550,0.0140,0.0200,0.1110
SIMPD7035H,PD,0.6430,0.0290,0.0020,0.3260
SIMPD7036H,PD,0.0130,0.9580,0.0240,0.0050
SIMPD7037H,PD,0.0500,0.2500,0.0160,0.6840
SIMPD7040H,PD,0.4690,0.0080,0.0020,0.5210
SIMPD7041H,PD,0.0680,0.8600,0.0500,0.0220
SIMPS6633H,PS,0.0180,0.0290,0.0190,0.9340
SIMPS6634H,PS,0.9250,0.0630,0.0020,0.0100
SIMPS6635H,PS,0.9320,0.0100,0.0190,0.0390
SIMPS6638H,PS,0.9710,0.0140,0.0020,0.0130
SIMPS6639H,PS,0.0631,0.8999,0.0050,0.0320
SIMPS6641H,PS,0.0829,0.8452,0.0509,0.0210
SIMPS6642H,PS,0.9171,0.0450,0.0030,0.0350
SIMPS6643H,PS,0.0450,0.6140,0.0120,0.3290
SIMPS6644H,PS,0.9570,0.0080,0.0300,0.0050
SIMPS6645H,PS,0.0541,0.9239,0.0060,0.0160
SIMPS6646H,PS,0.0040,0.9270,0.0110,0.0580
SIMPS6652H,PS,0.0120,0.0940,0.0130,0.8810
SIMPS6654H,PS,0.0430,0.8260,0.0130,0.1180
SIMPS6657H,PS,0.9310,0.0250,0.0220,0.0220
SIMPS6658H,PS,0.0210,0.7130,0.0030,0.2630
SIMPS6661H,PS,0.0450,0.9451,0.0030,0.0070
SIMWD6945H,WD,0.0230,0.9600,0.0030,0.0140
SIMWD6947H,WD,0.9260,0.0410,0.0140,0.0190
SIMWD6948H,WD,0.0040,0.0180,0.0020,0.9760
SIMWD6954H,WD,0.0580,0.9280,0.0030,0.0110
SIMWD6955H,WD,0.0620,0.1170,0.0170,0.8040
SIMWD6956H,WD,0.0060,0.0270,0.0030,0.9640
SIMWD6957H,WD,0.1740,0.4460,0.0020,0.3780
SIMWD6958H,WD,0.0150,0.9530,0.0210,0.0110
SIMWD6959H,WD,0.0420,0.2018,0.7203,0.0360
SIMWD6962H,WD,0.0260,0.6306,0.0020,0.3413
SIMWD6967H,WD,0.0350,0.0310,0.0030,0.9311
