SIMGD6824H,GD,0.2857,0.0020,0.0020,0.0020,0.7083
SIMGD6825H,GD,0.0120,0.0050,0.0090,0.1878,0.7862
SIMGD6826H,GD,0.0040,0.0020,0.0549,0.1299,0.8092
SIMGD6827H,GD,0.0050,0.0020,0.0050,0.2030,0.7850
SIMGD6828H,GD,0.1280,0.0020,0.0410,0.0590,0.7700
SIMGD6829H,GD,0.0030,0.0020,0.0060,0.2070,0.7820
SIMGD6831H,GD,0.2360,0.0050,0.0010,0.0010,0.7570
SIMGD6833H,GD,0.1802,0.0010,0.0020,0.0060,0.8108
SIMGD6840H,GD,0.0120,0.0030,0.0880,0.1040,0.7930
SIMGD6841H,GD,0.1580,0.0010,0.0170,0.0400,0.7840
SIMGD6844H,GD,0.0040,0.0010,0.0160,0.1350,0.8440
SIMGD6846H,GD,0.0030,0.2198,0.0020,0.0070,0.7682
SIMGD6847H,GD,0.0020,0.0110,0.2080,0.0180,0.7610
SIMGD6848H,GD,0.0250,0.0020,0.0190,0.1160,0.8380
SIMGD6851H,GD,0.2580,0.0010,0.0020,0.0020,0.7370
SIMGS6764H,GS,0.0020,0.0140,0.0230,0.1800,0.7810
SIMGS6765H,GS,0.0060,0.0020,0.1670,0.0140,0.8110
SIMGS6767H,GS,0.0020,0.0070,0.0120,0.1820,0.7970
SIMGS6768H,GS,0.0020,0.0040,0.0100,0.1850,0.7990
SIMGS6769H,GS,0.0030,0.0260,0.0030,0.2182,0.7497
SIMGS6771H,GS,0.0020,0.0010,0.1181,0.0791,0.7998
SIMGS6773H,GS,0.0020,0.0030,0.0150,0.1910,0.7890
SIMGS6775H,GS,0.0130,0.0020,0.0140,0.1942,0.7768
SIMGS6776H,GS,0.0110,0.0350,0.0911,0.0641,0.7988
SIMGS6778H,GS,0.1301,0.0010,0.0010,0.0010,0.8669
SIMGS6780H,GS,0.0020,0.0060,0.0030,0.1940,0.7950
SIMGS6784H,GS,0.0170,0.0930,0.0080,0.1010,0.7810
SIMGS6785H,GS,0.0030,0.0030,0.0841,0.1041,0.8058
SIMGS6788H,GS,0.0030,0.0020,0.0290,0.1518,0.8142
SIMGS6789H,GS,0.0030,0.0090,0.1898,0.0060,0.7922
SIMGS6790H,GS,0.0040,0.0010,0.0030,0.1730,0.8190
SIMJD6884H,JD,0.0160,0.0020,0.1090,0.0720,0.8010
SIMJD6886H,JD,0.0020,0.0030,0.0030,0.1780,0.8140
SIMJD6887H,JD,0.0030,0.0020,0.1700,0.0220,0.8030
SIMJD6888H,JD,0.0170,0.0050,0.1708,0.0190,0.7882
SIMJD6894H,JD,0.0480,0.0020,0.0220,0.1119,0.8162
SIMJD6895H,JD,0.0010,0.2210,0.0020,0.0010,0.7750
SIMJD6896H,JD,0.0040,0.0030,0.0040,0.1702,0.8188
SIMJD6897H,JD,0.0030,0.0020,0.0719,0.1159,0.8072
SIMJD6898H,JD,0.1010,0.0060,0.0310,0.0400,0.8220
SIMJD6899H,JD,0.1340,0.0040,0.0450,0.0480,0.7690
SIMJD6905H,JD,0.0070,0.0370,0.1060,0.0900,0.7600
SIMJD6906H,JD,0.0020,0.0030,0.0070,0.2030,0.7850
