SIMGD6824H,GD,0.0010,0.9481,0.0040,0.0020,0.0430,0.0020
SIMGD6825H,GD,0.0010,0.1630,0.7980,0.0320,0.0010,0.0050
SIMGD6826H,GD,0.0010,0.0760,0.0070,0.9080,0.0020,0.0060
SIMGD6827H,GD,0.0010,0.1678,0.0170,0.8112,0.0020,0.0010
SIMGD6828H,GD,0.0070,0.1331,0.7117,0.1381,0.0040,0.0060
SIMGD6829H,GD,0.0080,0.0160,0.9640,0.0090,0.0020,0.0010
SIMGD6831H,GD,0.0010,0.0010,0.0020,0.0020,0.0010,0.9930
SIMGD6833H,GD,0.0020,0.0120,0.0040,0.9720,0.0020,0.0080
SIMGD6840H,GD,0.0010,0.7870,0.1400,0.0200,0.0270,0.0250
SIMGD6841H,GD,0.0010,0.0720,0.1370,0.7590,0.0010,0.0300
SIMGD6844H,GD,0.0010,0.8100,0.0150,0.1720,0.0010,0.0010
SIMGD6846H,GD,0.0010,0.9319,0.0060,0.0080,0.0000,0.0531
SIMGD6847H,GD,0.0040,0.0040,0.9790,0.0070,0.0010,0.0050
SIMGD6848H,GD,0.0300,0.0240,0.9019,0.0070,0.0040,0.0330
SIMGD6851H,GD,0.0020,0.0050,0.0020,0.9870,0.0010,0.0030
SIMGS6764H,GS,0.0010,0.0240,0.0210,0.9480,0.0040,0.0020
SIMGS6765H,GS,0.0060,0.8318,0.0050,0.0340,0.0110,0.1121
SIMGS6767H,GS,0.0020,0.0090,0.9490,0.0340,0.0030,0.0030
SIMGS6768H,GS,0.0040,0.0752,0.7866,0.0611,0.0711,0.0020
SIMGS6769H,GS,0.0000,0.0070,0.9860,0.0030,0.0030,0.0010
SIMGS6771H,GS,0.0010,0.1169,0.0060,0.8721,0.0020,0.0020
SIMGS6773H,GS,0.0380,0.0120,0.0040,0.9370,0.0010,0.0080
SIMGS6775H,GS,0.0010,0.6390,0.2280,0.0120,0.1190,0.0010
SIMGS6776H,GS,0.0680,0.0260,0.7430,0.0800,0.0090,0.0740
SIMGS6778H,GS,0.0020,0.0030,0.0020,0.0020,0.9890,0.0020
