	SIMGS6764H	SIMGS6765H	SIMGS6767H	SIMGS6768H	SIMGS6769H	SIMGS6771H	SIMGS6773H	SIMGS6775H	SIMGS6776H	SIMGS6778H	SIMGS6780H	SIMGS6784H	SIMGS6785H	SIMGS6788H	SIMGS6789H	SIMGS6790H	SIMJS6704H	SIMJS6706H	SIMJS6707H	SIMJS6709H	SIMJS6711H	SIMJS6713H	SIMJS6715H	SIMJS6716H	SIMJS6717H	SIMJS6718H	SIMJS6725H	SIMJS6726H	SIMJS6727H	SIMJS6728H	SIMPS6633H	SIMPS6634H	SIMPS6635H	SIMPS6638H	SIMPS6639H	SIMPS6641H	SIMPS6642H	SIMPS6643H	SIMPS6644H	SIMPS6645H	SIMPS6646H	SIMPS6652H	SIMPS6654H	SIMPS6657H	SIMPS6658H	SIMPS6661H	SIMGD6824H	SIMGD6825H	SIMGD6826H	SIMGD6827H	SIMGD6828H	SIMGD6829H	SIMGD6831H	SIMGD6833H	SIMGD6840H	SIMGD6841H	SIMGD6844H	SIMGD6846H	SIMGD6847H	SIMGD6848H	SIMGD6851H	SIMJD6884H	SIMJD6886H	SIMJD6887H	SIMJD6888H	SIMJD6894H	SIMJD6895H	SIMJD6896H	SIMJD6897H	SIMJD6898H	SIMJD6899H	SIMJD6905H	SIMJD6906H	SIMJD6907H	SIMJD6908H	SIMJD6913H	SIMPD7015H	SIMPD7016H	SIMPD7018H	SIMPD7019H	SIMPD7021H	SIMPD7022H	SIMPD7023H	SIMPD7024H	SIMPD7025H	SIMPD7027H	SIMPD7035H	SIMPD7036H	SIMPD7037H	SIMPD7040H	SIMPD7041H	SIMWD6945H	SIMWD6947H	SIMWD6948H	SIMWD6954H	SIMWD6955H	SIMWD6956H	SIMWD6957H	SIMWD6958H	SIMWD6959H	SIMWD6962H	SIMWD6967H	SIMWD6968H	SIMWD6969H	SIMWD6972H	SICB155378H	SICB155507H
SIMGS6764H	0	0.1553	0.1524	0.1561	0.1548	0.157	0.1542	0.1538	0.1519	0.1635	0.1564	0.1597	0.1581	0.151	0.1607	0.1621	0.1528	0.163	0.1588	0.1588	0.1608	0.154	0.1683	0.1662	0.162	0.1587	0.1595	0.1572	0.1587	0.1577	0.151	0.1557	0.164	0.1561	0.1602	0.1497	0.1557	0.158	0.1568	0.1572	0.1547	0.1568	0.1455	0.1526	0.1513	0.1579	0.17	0.1569	0.1544	0.1515	0.147	0.1562	0.1656	0.1462	0.15	0.1456	0.1454	0.1636	0.1523	0.1453	0.1611	0.1508	0.1524	0.1568	0.1513	0.1532	0.1634	0.1543	0.1556	0.1469	0.1598	0.1545	0.1605	0.1497	0.1515	0.1683	0.1418	0.1554	0.1503	0.159	0.1617	0.1527	0.1558	0.1625	0.1524	0.1632	0.1533	0.1574	0.153	0.1531	0.1628	0.1556	0.1559	0.1496	0.1594	0.1578	0.1463	0.1606	0.1577	0.1601	0.146	0.1575	0.1493	0.1476	0.1556	0.1934	0.2186
SIMGS6765H	0.1553	0	0.1546	0.1555	0.1571	0.1477	0.1551	0.1587	0.16	0.1649	0.1572	0.1553	0.1585	0.1423	0.1547	0.1549	0.1548	0.1613	0.1576	0.1593	0.16	0.1553	0.1703	0.1582	0.1595	0.1562	0.1574	0.1551	0.1526	0.1558	0.1483	0.1483	0.1588	0.1544	0.1492	0.152	0.1563	0.1547	0.1522	0.1536	0.1584	0.1536	0.1479	0.1542	0.1509	0.1588	0.1628	0.1531	0.1502	0.1606	0.1529	0.1567	0.16	0.156	0.1508	0.1488	0.1518	0.1605	0.1546	0.1561	0.1626	0.1492	0.1489	0.1538	0.157	0.1543	0.1555	0.15	0.1566	0.1439	0.1594	0.1609	0.158	0.1556	0.1452	0.162	0.1454	0.1558	0.1602	0.165	0.1552	0.1511	0.1551	0.1634	0.1517	0.1489	0.1507	0.1554	0.1547	0.155	0.1536	0.1608	0.1608	0.1572	0.1585	0.153	0.1529	0.1604	0.1565	0.1561	0.1512	0.1475	0.1583	0.1559	0.1576	0.1935	0.215
SIMGS6767H	0.1524	0.1546	0	0.1451	0.1507	0.1446	0.1518	0.1566	0.1528	0.1619	0.1482	0.1555	0.1474	0.1487	0.1511	0.1483	0.1513	0.1545	0.1542	0.1532	0.1553	0.154	0.1633	0.1627	0.1635	0.1582	0.155	0.1528	0.1509	0.1508	0.1408	0.1499	0.1538	0.1442	0.1474	0.1471	0.15	0.1524	0.1492	0.148	0.1524	0.1517	0.1444	0.1508	0.1462	0.1551	0.1627	0.1523	0.1451	0.1535	0.1447	0.1522	0.1541	0.1525	0.1443	0.138	0.1475	0.1532	0.1515	0.1487	0.1654	0.1486	0.15	0.1488	0.1467	0.1443	0.1558	0.1434	0.1415	0.1468	0.1528	0.1455	0.1496	0.1483	0.1473	0.1603	0.1385	0.1518	0.1443	0.1558	0.1567	0.155	0.1514	0.1504	0.1507	0.1548	0.1527	0.1483	0.1546	0.1444	0.1549	0.154	0.1519	0.1543	0.1526	0.1454	0.1426	0.1476	0.1497	0.1554	0.1405	0.1468	0.1468	0.1469	0.1402	0.1848	0.207
SIMGS6768H	0.1561	0.1555	0.1451	0	0.1474	0.1455	0.1541	0.153	0.148	0.1602	0.1435	0.1503	0.1461	0.1469	0.1518	0.1452	0.1519	0.1488	0.1493	0.154	0.1517	0.1426	0.1593	0.1588	0.1508	0.1561	0.1582	0.1452	0.1531	0.1478	0.1458	0.1407	0.1557	0.1446	0.1438	0.139	0.1491	0.1512	0.1505	0.1491	0.1543	0.1418	0.1398	0.1491	0.1453	0.149	0.1611	0.1477	0.1485	0.1533	0.1399	0.1513	0.1527	0.1496	0.1418	0.1384	0.1388	0.1561	0.1511	0.1351	0.1579	0.1428	0.1465	0.1452	0.1458	0.1453	0.1582	0.1524	0.146	0.1411	0.1577	0.1461	0.1478	0.1439	0.1425	0.1606	0.1321	0.1514	0.1482	0.1518	0.1548	0.1515	0.1498	0.1483	0.1417	0.1499	0.143	0.1502	0.1555	0.143	0.1489	0.1527	0.1498	0.1549	0.158	0.1479	0.1362	0.1493	0.1487	0.1544	0.1587	0.1451	0.1468	0.15	0.152	0.1833	0.2218
SIMGS6769H	0.1548	0.1571	0.1507	0.1474	0	0.1455	0.1584	0.1653	0.1538	0.1704	0.1564	0.1537	0.1568	0.152	0.1533	0.1539	0.1611	0.1539	0.1535	0.1581	0.157	0.149	0.1718	0.1662	0.1668	0.1566	0.165	0.1553	0.1576	0.1616	0.1562	0.1522	0.1623	0.1499	0.1506	0.1501	0.1506	0.1617	0.1541	0.1607	0.1579	0.1468	0.1433	0.1577	0.1583	0.1573	0.1659	0.1517	0.1476	0.1615	0.1523	0.1576	0.165	0.151	0.1497	0.1464	0.1571	0.1664	0.1552	0.1478	0.1631	0.1529	0.1553	0.1631	0.161	0.1552	0.1652	0.1572	0.1632	0.1522	0.1655	0.151	0.153	0.1551	0.1521	0.175	0.1455	0.1578	0.1554	0.1647	0.1627	0.1555	0.1577	0.1517	0.1454	0.1602	0.1478	0.1664	0.1644	0.1452	0.16	0.1614	0.1603	0.1546	0.1618	0.1547	0.1513	0.1616	0.1495	0.1585	0.1503	0.1531	0.1541	0.1552	0.1568	0.193	0.2272
SIMGS6771H	0.157	0.1477	0.1446	0.1455	0.1455	0	0.1445	0.153	0.1522	0.1667	0.1473	0.1554	0.152	0.1347	0.1548	0.1516	0.1425	0.1492	0.148	0.1563	0.1477	0.1458	0.1653	0.1593	0.155	0.1493	0.1533	0.1492	0.1482	0.1502	0.1383	0.1461	0.1574	0.1445	0.1503	0.1436	0.1477	0.1394	0.1458	0.1469	0.1534	0.1434	0.1451	0.1418	0.1481	0.1449	0.1584	0.1417	0.1472	0.1595	0.1535	0.1568	0.1575	0.1459	0.1459	0.1377	0.1423	0.1547	0.1505	0.1469	0.1575	0.1499	0.1449	0.1499	0.1442	0.15	0.158	0.1548	0.1505	0.1414	0.1531	0.1415	0.1507	0.1513	0.1425	0.1552	0.1377	0.152	0.1496	0.1532	0.1602	0.1518	0.1478	0.1532	0.1437	0.1539	0.147	0.1556	0.1555	0.1434	0.1512	0.1548	0.1496	0.1515	0.1497	0.139	0.1411	0.1522	0.1467	0.1582	0.142	0.147	0.1411	0.1491	0.1517	0.1886	0.2165
SIMGS6773H	0.1542	0.1551	0.1518	0.1541	0.1584	0.1445	0	0.1614	0.1617	0.1724	0.1531	0.1586	0.1618	0.1523	0.1577	0.1645	0.1524	0.1557	0.1583	0.156	0.1552	0.1567	0.1695	0.1635	0.1626	0.1544	0.1616	0.1535	0.1541	0.1597	0.1484	0.1553	0.1622	0.1552	0.1558	0.1511	0.1537	0.1524	0.1569	0.1562	0.1498	0.1495	0.1529	0.1571	0.1495	0.1528	0.1724	0.1553	0.1564	0.1585	0.1441	0.1547	0.1631	0.1508	0.149	0.1481	0.1502	0.1568	0.1579	0.1482	0.1705	0.1561	0.1552	0.1512	0.1493	0.148	0.1614	0.1474	0.1561	0.15	0.1584	0.1524	0.1571	0.162	0.1536	0.1652	0.1412	0.1572	0.1557	0.1599	0.1634	0.1531	0.155	0.1592	0.1456	0.1571	0.1576	0.1568	0.1552	0.1528	0.1607	0.1617	0.1546	0.1576	0.161	0.1554	0.1532	0.1592	0.1578	0.1644	0.151	0.1529	0.154	0.1547	0.1567	0.1975	0.213
SIMGS6775H	0.1538	0.1587	0.1566	0.153	0.1653	0.153	0.1614	0	0.1609	0.1679	0.1585	0.1602	0.1581	0.1572	0.1585	0.1587	0.1535	0.1617	0.1599	0.1663	0.1622	0.1559	0.1761	0.1628	0.1635	0.1601	0.1646	0.1588	0.1586	0.1607	0.1654	0.1549	0.1676	0.1568	0.1576	0.1538	0.163	0.1596	0.1563	0.1593	0.1616	0.1579	0.1543	0.1613	0.1568	0.1593	0.1613	0.1533	0.158	0.1603	0.1578	0.1583	0.1664	0.163	0.1552	0.155	0.1554	0.168	0.1639	0.1554	0.1712	0.1585	0.1607	0.1544	0.1572	0.1598	0.1611	0.1554	0.159	0.1575	0.1605	0.1671	0.1626	0.1566	0.1571	0.1721	0.147	0.1595	0.1576	0.1581	0.165	0.1512	0.1595	0.1626	0.1538	0.1613	0.1588	0.1586	0.1605	0.1551	0.1671	0.1662	0.1543	0.1597	0.1582	0.1573	0.1577	0.1583	0.1565	0.1636	0.1608	0.1523	0.1606	0.1517	0.1576	0.1944	0.2131
SIMGS6776H	0.1519	0.16	0.1528	0.148	0.1538	0.1522	0.1617	0.1609	0	0.1585	0.157	0.1583	0.1553	0.1532	0.1595	0.1537	0.1568	0.1562	0.1577	0.1581	0.1551	0.1507	0.1598	0.1532	0.157	0.1588	0.1591	0.1566	0.1569	0.1605	0.1543	0.1571	0.1623	0.1499	0.1528	0.1489	0.1493	0.1529	0.1584	0.1556	0.1557	0.1483	0.1464	0.1542	0.1517	0.1575	0.1723	0.1467	0.156	0.1589	0.1572	0.1525	0.1604	0.1549	0.147	0.1443	0.1475	0.1544	0.1544	0.1453	0.1708	0.1552	0.1538	0.154	0.1537	0.1542	0.1611	0.1512	0.1551	0.1476	0.1555	0.1475	0.153	0.1515	0.1546	0.1641	0.148	0.1576	0.1565	0.1576	0.1575	0.1581	0.1522	0.1518	0.1464	0.1528	0.1511	0.1513	0.159	0.1518	0.1601	0.1532	0.1594	0.1555	0.1584	0.1482	0.1534	0.1573	0.1534	0.1541	0.1597	0.1548	0.1523	0.153	0.1525	0.1915	0.2175
SIMGS6778H	0.1635	0.1649	0.1619	0.1602	0.1704	0.1667	0.1724	0.1679	0.1585	0	0.1587	0.1641	0.1645	0.1552	0.1715	0.1712	0.1685	0.1697	0.1709	0.1591	0.1736	0.1681	0.1764	0.173	0.1696	0.1638	0.1644	0.1631	0.1702	0.1624	0.169	0.165	0.1771	0.1633	0.1673	0.1652	0.1646	0.1687	0.1627	0.1651	0.1482	0.1657	0.1469	0.1606	0.164	0.1614	0.1644	0.1673	0.1613	0.1674	0.1428	0.1675	0.1692	0.1623	0.1613	0.1618	0.1637	0.1593	0.1681	0.1619	0.1718	0.1543	0.1691	0.1585	0.1649	0.1647	0.1757	0.159	0.1624	0.1545	0.1704	0.1541	0.1612	0.1568	0.1614	0.1744	0.1516	0.1682	0.1541	0.1668	0.169	0.1618	0.1686	0.1661	0.151	0.1711	0.1479	0.1682	0.1656	0.1595	0.1603	0.163	0.1643	0.1571	0.1584	0.1479	0.1681	0.1645	0.1577	0.1601	0.1652	0.1666	0.1533	0.1639	0.1673	0.187	0.1978
