"GD","GS","JD","JS","PD","PS","WD"
"SIMGD6824H",0.994436329725618,0.000792247750713012,0.0007361541159777,6.01857487012128e-05,0.00295313558628175,0.000299887750787416,0.00072205932192069
"SIMGD6825H",0.764602429140259,0.029879267521594,0.00277204050183223,3.2285214416616e-05,0.000121591192706941,0.0612589218562061,0.141333464572985
"SIMGD6826H",0.141737290082152,0.12334333103711,0.052226752946678,0.000457650338480742,0.000105467845732754,0.0172748311769386,0.664854676572909
"SIMGD6827H",0.971462400547036,0.000221724912792101,0.00685002477257007,5.78414387033806e-05,0.00014612675259543,0.000568029033952295,0.0206938525423504
"SIMGD6828H",0.186343327678469,0.145773208484696,0.272966425477933,0.0218031771667073,0.11512897817181,0.14633156125741,0.111653321762975
"SIMGD6829H",0.197309943022084,0.0486765555606665,0.639808897667666,0.000890299782299099,0.00866959721332233,0.00794798640476582,0.0966967203491963
"SIMGD6831H",0.99876147719509,0.000151236698798159,6.7026460777693e-05,8.82127108771912e-09,4.98010101698441e-06,0.000895594633528909,0.000119676089516669
"SIMGD6833H",0.429875437082959,0.0205986198639587,0.0283713006891103,0.0161735364694445,0.0115039706615741,0.353500442098099,0.139976693134855
"SIMGD6840H",0.789557319803535,0.069308917510371,0.00690527183686809,0.0393709141294987,0.0155346494274774,0.0264700739432271,0.0528528533490224
"SIMGD6841H",0.2222190505406,0.318351190313753,0.0522986734853108,0.00402824239055137,0.0469403025983547,0.345113160961067,0.0110493797103637
"SIMGD6844H",0.247942242235551,0.195470008043912,0.342762208316686,0.0444043698608354,0.0666328842847032,0.0803995467010395,0.0223887405572727
"SIMGD6846H",0.992933352095432,0.00302458592420646,0.000235020400316707,9.6060857808771e-05,0.000124284380529996,0.000856467970159153,0.00273022837154668
"SIMGD6847H",0.542555853194345,0.019029050167602,0.00725061477229099,5.06447216150631e-05,0.0205087956003988,0.267772566361734,0.142832475182014
"SIMGD6848H",0.14533515319282,0.101943183262045,0.12534146421159,0.0196538007258096,0.152418861139469,0.375729335578474,0.0795782018897932
"SIMGD6851H",0.999695152199304,1.39666596526019e-05,0.00010220807227558,5.85933769839799e-05,5.14936334486961e-05,1.90052987989265e-05,5.95807595361729e-05
"SIMGS6764H",0.0015904415181788,0.989011185110223,0.00282835763460353,5.05193664499411e-06,0.000455711790409461,0.00132436169907152,0.00478489031086853
"SIMGS6765H",9.89964304580959e-05,0.987219110450191,0.00376779696432785,1.73700085051039e-05,0.000699058963792073,0.00811567199443749,8.19951882881901e-05
"SIMGS6767H",0.00498973039183775,0.695730879214517,0.0568328054741732,1.01632586678311e-07,0.0048323669532674,0.172465931494372,0.0651481848392463
"SIMGS6768H",0.0482925083318506,0.50355799414115,0.168510750978676,0.112340382798317,0.103407387834171,0.0618305505934639,0.00206042532237061
"SIMGS6769H",0.00574913077343422,0.993145205858274,3.83884182985816e-05,7.27344325224308e-06,0.000399201696591566,0.00058279682018667,7.80029899631995e-05
"SIMGS6771H",0.0211927329094107,0.357745647914308,0.041088389030075,0.0103939717030511,0.0226550737046628,0.467356051007084,0.0795681337314079
"SIMGS6773H",0.101549249390801,0.543500612266421,0.269545703433428,0.0426631989260029,0.0281070171395271,0.00827561719746153,0.00635860164635761
"SIMGS6775H",0.00024602317573207,0.998872677029374,2.35833906065856e-05,7.05755712566288e-05,0.00041485278609248,8.02487019632224e-05,0.000292039344975538
"SIMGS6776H",0.342875308749132,0.40493663694898,0.100852772069312,0.0267427600162494,0.0306009286963398,0.0479640680186149,0.0460275255013713
"SIMGS6778H",0.0884021247104843,0.00767377617470586,0.0592407755402943,0.00358491754865471,0.342274989368957,0.092124341101304,0.4066990755556
"SIMGS6780H",0.00132703209400757,0.847824777943998,0.102272304378098,0.00381097506241057,0.0328518029088143,0.00869273309021779,0.003220374522454
"SIMGS6784H",0.0811668790620745,0.0384513571626502,0.00152385556560674,0.0111058613644854,0.0331061119885264,0.806819586465234,0.0278263483914227
"SIMGS6785H",0.00340288882704501,0.966177354390994,0.00204375606522267,0.000120659255562316,0.0117380832788863,0.0163896015761239,0.000127656606165925
"SIMGS6788H",0.0431953520254448,0.0635994037831394,0.041705919577011,0.000220610080625902,0.00544935978673959,0.140048591375448,0.705780763371591
"SIMGS6789H",0.00796970791605871,0.860426891574689,0.0485015786384173,0.00011710410247768,0.000714028436292518,0.00581601994890659,0.0764546693831584
"SIMGS6790H",0.002194230710119,0.96497837349051,0.020231778173652,7.53943616482136e-06,0.00113444725977403,0.010780712238294,0.000672918691485976
"SIMJD6884H",0.019997373535703,0.0172855858354729,0.88576837286362,0.0358777885697456,0.0193892751520379,0.0128167388959082,0.00886486514751231
"SIMJD6886H",0.0209127124328372,0.238352148298579,0.0310825047936224,5.14661696216984e-05,0.0454584292862903,0.644635515670443,0.0195072233486071
"SIMJD6887H",0.00885557372268192,0.00507183305014954,0.295394139074292,0.421492355808333,0.0232141202880343,0.180371179885224,0.0656007981712855
"SIMJD6888H",0.518821274518224,0.205628057743784,0.179159488389585,0.000609016620081745,0.0330816533715681,0.019193115981344,0.0435073933754135
"SIMJD6894H",0.0137227669627322,0.00550419251006859,0.855883311650884,0.033907573556131,0.0775086037444583,0.011637585357289,0.00183596621843746
"SIMJD6895H",0.0166546242420514,0.230273246936771,0.672355075778228,0.0650510884221954,0.00316789441358766,0.00557411598505688,0.00692395422210963
"SIMJD6896H",0.0521522101818813,0.102454864077985,0.63490811610233,0.0313617344129318,0.0277420357457822,0.0524159594740493,0.0989650800050403
"SIMJD6897H",0.00196512559574821,0.0150490201284413,0.951297663722461,0.00148526580091965,0.00410203129907778,0.0120687608198593,0.0140321326334928
"SIMJD6898H",0.442558201410564,0.0550091971015249,0.387964451156851,0.00101834192287358,0.028301644298926,0.0754296136314422,0.0097185504778183
"SIMJD6899H",0.000397002074833286,3.11759777672816e-05,0.998016036602388,0.000989566567992929,0.000126756492144984,0.000434213349545321,5.24893532782032e-06
"SIMJD6905H",0.099747473248827,0.11249880504132,0.161030304049241,0.0372037631732709,0.173975420078605,0.215401076912794,0.200143157495942
"SIMJD6906H",0.0125147193795726,0.00206998285031249,0.852019611743112,0.000761757098605141,0.000274936530395113,0.00177654662468781,0.130582445773315
"SIMJD6907H",0.0034736388503962,0.0417740443096462,0.138421310208778,0.0969309227460696,0.0522823976004202,0.662631515012234,0.00448617127245592
"SIMJD6908H",0.0117346535713,0.0154204837511979,0.821469692461664,0.00032382828057049,0.000442029230570179,0.00482352202135138,0.145785790683346
"SIMJD6913H",8.84885363431277e-07,7.94186386440467e-05,0.999610817614311,1.04659747607171e-05,1.2997407320585e-05,1.94355106936938e-05,0.000265979968906301
"SIMJS6704H",0.000727355291171143,0.00454359903882786,0.0061522063466803,0.925391029208203,0.0390194869997077,0.0240879760098351,7.83471055744767e-05
"SIMJS6706H",0.00264467789851946,0.00264136899521337,0.00103845512017907,0.979426359775714,0.000561712822208189,0.0025438272526269,0.0111435981355386
"SIMJS6707H",0.00204681052420677,0.0754129290106696,0.0309630567928348,0.881416779894873,0.0030200612903267,0.00702487369228042,0.000115488794808552
"SIMJS6709H",0.000155785129871161,0.000430139393358835,0.0369238506199996,0.0365385175660678,0.861098366673215,0.0647250678318157,0.000128272785672141
"SIMJS6711H",0.0260320434538407,0.000695016678868209,0.306159844235726,0.525486741706622,0.00683059743858225,0.133936571479573,0.000859185006787314
"SIMJS6713H",0.00333237873607532,0.293768428023574,0.0568110794854811,0.597438448295911,0.00718770948208635,0.0401604973867957,0.00130145859007673
"SIMJS6715H",6.24045188500429e-05,0.000401982708943688,0.00183515113894171,0.996180976634294,0.000939613851593386,0.000557319360119007,2.25517872581771e-05
"SIMJS6716H",0.000416428562079259,6.53024506654366e-05,0.00535805660680943,0.854189995790361,0.1395099059908,0.000427993391711232,3.23172075740673e-05
"SIMJS6717H",3.87199098318879e-06,4.07471237379239e-07,0.000197691152517388,0.998434266714667,0.00134783986402013,7.29487791114796e-06,8.62792866392584e-06
"SIMJS6718H",8.41875746831248e-08,1.60114969102329e-08,6.26419748753346e-07,0.99994742297888,4.34022803604127e-05,3.85332636947167e-06,4.59479556911998e-06
"SIMJS6725H",0.000155616627585614,0.00121355006091581,0.00622514707412318,0.990474042206628,0.000171958402965598,0.000101597510884713,0.00165808811689728
"SIMJS6726H",0.0078081856433423,0.00181680917786226,0.0132778171503737,0.550433704275357,0.277403038040884,0.143505680475566,0.00575476523661566
"SIMJS6727H",0.249379676878531,0.00193264919604964,0.0165066912888438,0.679321321664936,0.0471447548891417,0.00217177975224945,0.00354312633024837
"SIMJS6728H",0.0449258784879825,0.0580528934059485,0.493647266463353,0.308700628276483,0.00798575515854005,0.0679731907881774,0.0187143874195154
"SIMPD7015H",0.0782728601873657,0.0868339836388991,0.148170135484924,0.101243707558144,0.39811090873609,0.167326270190948,0.020042134203629
"SIMPD7016H",0.00104105571324131,0.0293160067459855,5.62445447008676e-05,0.000147287875420866,0.700207936942747,0.268729004457426,0.000502463720478718
"SIMPD7018H",0.0686714242770593,0.0438963204815706,0.113248626762965,0.0150521668969841,0.238762092871991,0.380480333117464,0.139889035591967
"SIMPD7019H",4.16643073061835e-06,0.000305703209667308,4.82464991544875e-05,0.000167399845485322,0.995709872688661,0.00215286127446606,0.00161175005183498
"SIMPD7021H",7.90067716735904e-07,0.00240414967638928,4.07315345831937e-05,0.000107339220799906,0.996935171812461,0.000511061593502203,7.56094547911297e-07
"SIMPD7022H",0.214703205328273,0.0256591675061853,0.031751329038822,0.00216494758408797,0.603865624307531,0.10484889322051,0.017006833014592
"SIMPD7023H",0.00103753502388263,0.0657336951703933,0.317777922716218,0.11399348317948,0.4184141241802,0.0823361155471456,0.00070712418267991
"SIMPD7024H",4.00523507279925e-05,0.00179028738903935,0.00131714481989545,0.000438150042386566,0.984243475114656,0.0119922402056022,0.000178650077692967
"SIMPD7025H",0.225503807053558,0.166810072661798,0.131715350711331,0.107995685145604,0.131578986081607,0.199653612189624,0.0367424861564786
"SIMPD7027H",0.00353314098596986,0.000414680983637361,0.0191288757979816,0.0350213992303519,0.856659521046525,0.0776612543339654,0.0075811276215684
"SIMPD7035H",0.126041083298037,0.015091515423421,0.0879666350100691,0.058694331034912,0.393900357731799,0.278010264593465,0.0402958129082974
"SIMPD7036H",0.264191188687088,0.0771805899444882,0.130597634841811,0.00513271032369128,0.0277359115735193,0.340600352222424,0.154561612406977
"SIMPD7037H",0.000106631316095686,3.69628899981786e-05,0.000964900986267533,0.00748008213598341,0.974845712109743,0.0165607095431844,5.00101872794357e-06
"SIMPD7040H",0.000787209676046595,0.022795790717576,0.00684197673502888,0.000186029329097582,0.958905577793501,0.00500626410522564,0.00547715164352435
"SIMPD7041H",0.00258447157641844,0.0125772872601898,0.0011712372258098,0.0151857130225849,0.914932631801658,0.0530354038997483,0.000513255213590354
"SIMPS6633H",0.00640348932832803,0.046797097753802,0.116810582227407,0.0119276473862508,0.0473301351473265,0.742017102945184,0.0287139452117015
"SIMPS6634H",0.00380505761137226,0.0764605988546822,0.101026088307203,0.00758763814448325,0.0314023086125679,0.65746856801125,0.122249740458441
"SIMPS6635H",7.46755756066939e-05,0.00010881444670618,0.000371276397984969,0.000316191033639098,0.00329872898755042,0.995670415198281,0.000159898360231232
"SIMPS6638H",0.00217557481627637,0.0540353641792541,0.0160563306752328,0.00495866967631819,0.804426670643447,0.115736007487363,0.00261138252210823
"SIMPS6639H",0.024795459704396,0.181415533866503,0.027989603419329,0.0122652757964287,0.251919346578249,0.48173203865742,0.0198827419776739
"SIMPS6641H",0.157293764114904,0.0614504060889199,0.00451220980914107,0.00117164812059613,0.00744648738680203,0.760058761318005,0.0080667231616327
"SIMPS6642H",0.012561207529337,0.00442314503284008,0.00180418576460055,0.000108239352453359,0.0894498839558369,0.879649980539752,0.0120033578251799
"SIMPS6643H",0.00688691996073255,0.0212590116184348,0.0066248455345059,0.330749799780598,0.00880176984292833,0.618515159023336,0.00716249423946417
"SIMPS6644H",0.000779882971062696,0.0161199854772159,0.0019797740879432,0.000235832050022352,0.232747714465345,0.692351256245137,0.0557855547032734
"SIMPS6645H",0.153501940440912,0.00404199913303513,0.0266291347394365,0.000146077099938736,0.00963481029034087,0.636890870464645,0.169155167831692
"SIMPS6646H",0.278530437215117,0.050912615882101,0.0806231502176325,0.000272618733562506,0.00796050602829911,0.16638967304944,0.415310998873848
"SIMPS6652H",0.119593940600973,0.103409003741896,0.287043177319963,0.0642630120257123,0.0690391301869644,0.314539765890148,0.0421119702343423
