Individual,Pop,habitat,PopColor,pch
SIMGD6824H,GD,deep,#3182bd,24
SIMGD6825H,GD,deep,#3182bd,24
SIMGD6826H,GD,deep,#3182bd,24
SIMGD6827H,GD,deep,#3182bd,24
SIMGD6828H,GD,deep,#3182bd,24
SIMGD6829H,GD,deep,#3182bd,24
SIMGD6831H,GD,deep,#3182bd,24
SIMGD6833H,GD,deep,#3182bd,24
SIMGD6840H,GD,deep,#3182bd,24
SIMGD6841H,GD,deep,#3182bd,24
SIMGD6844H,GD,deep,#3182bd,24
SIMGD6846H,GD,deep,#3182bd,24
SIMGD6847H,GD,deep,#3182bd,24
SIMGD6848H,GD,deep,#3182bd,24
SIMGD6851H,GD,deep,#3182bd,24
SIMGS6764H,GS,shallow,#9ecae1,24
SIMGS6765H,GS,shallow,#9ecae1,24
SIMGS6767H,GS,shallow,#9ecae1,24
SIMGS6768H,GS,shallow,#9ecae1,24
SIMGS6769H,GS,shallow,#9ecae1,24
SIMGS6771H,GS,shallow,#9ecae1,24
SIMGS6773H,GS,shallow,#9ecae1,24
SIMGS6775H,GS,shallow,#9ecae1,24
SIMGS6776H,GS,shallow,#9ecae1,24
SIMGS6778H,GS,shallow,#9ecae1,24
SIMGS6780H,GS,shallow,#9ecae1,24
SIMGS6784H,GS,shallow,#9ecae1,24
SIMGS6785H,GS,shallow,#9ecae1,24
SIMGS6788H,GS,shallow,#9ecae1,24
SIMGS6789H,GS,shallow,#9ecae1,24
SIMGS6790H,GS,shallow,#9ecae1,24
SIMJD6884H,JD,deep,#3182bd,23
SIMJD6886H,JD,deep,#3182bd,23
SIMJD6887H,JD,deep,#3182bd,23
SIMJD6888H,JD,deep,#3182bd,23
SIMJD6894H,JD,deep,#3182bd,23
SIMJD6895H,JD,deep,#3182bd,23
SIMJD6896H,JD,deep,#3182bd,23
SIMJD6897H,JD,deep,#3182bd,23
SIMJD6898H,JD,deep,#3182bd,23
SIMJD6899H,JD,deep,#3182bd,23
SIMJD6905H,JD,deep,#3182bd,23
SIMJD6906H,JD,deep,#3182bd,23
SIMJD6907H,JD,deep,#3182bd,23
SIMJD6908H,JD,deep,#3182bd,23
SIMJD6913H,JD,deep,#3182bd,23
SIMJS6704H,JS,shallow,#9ecae1,23
SIMJS6706H,JS,shallow,#9ecae1,23
SIMJS6707H,JS,shallow,#9ecae1,23
SIMJS6709H,JS,shallow,#9ecae1,23
SIMJS6711H,JS,shallow,#9ecae1,23
SIMJS6713H,JS,shallow,#9ecae1,23
SIMJS6715H,JS,shallow,#9ecae1,23
SIMJS6716H,JS,shallow,#9ecae1,23
SIMJS6717H,JS,shallow,#9ecae1,23
SIMJS6718H,JS,shallow,#9ecae1,23
SIMJS6725H,JS,shallow,#9ecae1,23
SIMJS6726H,JS,shallow,#9ecae1,23
SIMJS6727H,JS,shallow,#9ecae1,23
SIMJS6728H,JS,shallow,#9ecae1,23
SIMPD7015H,PD,deep,#3182bd,25
SIMPD7016H,PD,deep,#3182bd,25
SIMPD7018H,PD,deep,#3182bd,25
SIMPD7019H,PD,deep,#3182bd,25
SIMPD7021H,PD,deep,#3182bd,25
SIMPD7022H,PD,deep,#3182bd,25
SIMPD7023H,PD,deep,#3182bd,25
SIMPD7024H,PD,deep,#3182bd,25
SIMPD7025H,PD,deep,#3182bd,25
SIMPD7027H,PD,deep,#3182bd,25
SIMPD7035H,PD,deep,#3182bd,25
SIMPD7036H,PD,deep,#3182bd,25
SIMPD7037H,PD,deep,#3182bd,25
SIMPD7040H,PD,deep,#3182bd,25
SIMPD7041H,PD,deep,#3182bd,25
SIMPS6633H,PS,shallow,#9ecae1,25
SIMPS6634H,PS,shallow,#9ecae1,25
SIMPS6635H,PS,shallow,#9ecae1,25
SIMPS6638H,PS,shallow,#9ecae1,25
SIMPS6639H,PS,shallow,#9ecae1,25
SIMPS6641H,PS,shallow,#9ecae1,25
SIMPS6642H,PS,shallow,#9ecae1,25
SIMPS6643H,PS,shallow,#9ecae1,25
SIMPS6644H,PS,shallow,#9ecae1,25
SIMPS6645H,PS,shallow,#9ecae1,25
SIMPS6646H,PS,shallow,#9ecae1,25
SIMPS6652H,PS,shallow,#9ecae1,25
SIMPS6654H,PS,shallow,#9ecae1,25
SIMPS6657H,PS,shallow,#9ecae1,25
SIMPS6658H,PS,shallow,#9ecae1,25
SIMPS6661H,PS,shallow,#9ecae1,25
SIMWD6945H,WD,deep,#08519c,22
SIMWD6947H,WD,deep,#08519c,22
SIMWD6948H,WD,deep,#08519c,22
SIMWD6954H,WD,deep,#08519c,22
SIMWD6955H,WD,deep,#08519c,22
SIMWD6956H,WD,deep,#08519c,22
SIMWD6957H,WD,deep,#08519c,22
SIMWD6958H,WD,deep,#08519c,22
SIMWD6959H,WD,deep,#08519c,22
SIMWD6962H,WD,deep,#08519c,22
SIMWD6967H,WD,deep,#08519c,22
SIMWD6968H,WD,deep,#08519c,22
SIMWD6969H,WD,deep,#08519c,22
SIMWD6972H,WD,deep,#08519c,22
