sample,avg_cor_dens,avg_cor_diam,afra,pop
DC6633,5.8,2.13125,sint,PS
DC6634,6.2,2.31875,sint,PS
DC6635,6,2.1,sint,PS
DC6638,4.8,2.05625,sint,PS
DC6639,7.6,2.05,sint,PS
DC6641,5.8,2.1625,sint,PS
DC6764,5.6,1.8,sint,GS
DC6765,7.2,2.3,sint,GS
DC6767,7,2.26875,sint,GS
DC6768,7.4,2.16875,sint,GS
DC6769,6.8,1.925,sint,GS
DC6771,7.4,2.3125,sint,GS
DC6773,8.8,1.99375,sint,GS
DC6824,5.6,2.4125,sint,GD
DC6825,9.4,1.8125,sint,GD
DC6826,8.8,1.825,sint,GD
DC6827,7.4,1.7625,sint,GD
DC6828,7.4,1.88125,sint,GD
DC6829,8.6,1.9,sint,GD
DC6831,7.2,1.9125,sint,GD
DC6833,6,2.21875,sint,GD
DC6884,7.6,2.2,sint,JD
DC6886,7.4,2.1625,sint,JD
DC6887,8,1.99375,sint,JD
DC6888,5.2,1.9875,sint,JD
DC6893,7.2,1.90625,sint,JD
DC6945,7.4,1.90625,sint,WD
DC6946,5.6,2.05625,sint,WD
DC6947,8,2.10625,sint,WD
DC6948,8.2,1.99375,sint,WD
DC6954,7.2,2.00625,sint,WD
DC7015T,7.4,2.175,sint,PD
DC7016,6.6,2.09375,sint,PD
DC7018T,7.2,1.8875,sint,PD
DC7019T,9.6,1.78125,sint,PD
DC7021,8.6,2.01875,sint,PD
DC7022T,8.4,2.01875,sint,PD
