INDIVIDUAL	MISS	GENO	TOTAL	PERC_GENOTYPED
AFMGD6799H	251	2317	2568	90.23
AFMGD6801H	262	2306	2568	89.8
AFMGD6802H	263	2305	2568	89.76
AFMGD6803H	495	2073	2568	80.72
AFMGD6804H	623	1945	2568	75.74
AFMGD6805H	277	2291	2568	89.21
AFMGD6808H	430	2138	2568	83.26
AFMGD6812H	343	2225	2568	86.64
AFMGD6814H	403	2165	2568	84.31
AFMGD6818H	174	2394	2568	93.22
AFMGD6819H	276	2292	2568	89.25
AFMGD6820H	544	2024	2568	78.82
AFMGD6821H	230	2338	2568	91.04
AFMGD6822H	734	1834	2568	71.42
AFMGD6823H	678	1890	2568	73.6
AFMGS6734H	242	2326	2568	90.58
AFMGS6735H	223	2345	2568	91.32
AFMGS6736H	237	2331	2568	90.77
AFMGS6737H	218	2350	2568	91.51
AFMGS6738H	367	2201	2568	85.71
AFMGS6739H	433	2135	2568	83.14
AFMGS6740H	214	2354	2568	91.67
AFMGS6743H	179	2389	2568	93.03
AFMGS6745H	261	2307	2568	89.84
AFMGS6747H	159	2409	2568	93.81
AFMGS6750H	348	2220	2568	86.45
AFMGS6751H	290	2278	2568	88.71
AFMGS6752H	274	2294	2568	89.33
AFMGS6755H	1267	1301	2568	50.66
AFMGS6756H	545	2023	2568	78.78
AFMJD6854H	387	2181	2568	84.93
AFMJD6855H	246	2322	2568	90.42
AFMJD6856H	243	2325	2568	90.54
AFMJD6857H	522	2046	2568	79.67
AFMJD6858H	378	2190	2568	85.28
AFMJD6859H	232	2336	2568	90.97
AFMJD6861H	289	2279	2568	88.75
AFMJD6864H	166	2402	2568	93.54
AFMJD6868H	414	2154	2568	83.88
AFMJD6871H	574	1994	2568	77.65
AFMJD6873H	447	2121	2568	82.59
AFMJD6875H	239	2329	2568	90.69
AFMJD6876H	295	2273	2568	88.51
AFMJD6877H	416	2152	2568	83.8
AFMJD6878H	445	2123	2568	82.67
AFMJS6675H	164	2404	2568	93.61
AFMJS6676H	257	2311	2568	89.99
AFMJS6678H	461	2107	2568	82.05
AFMJS6680H	921	1647	2568	64.14
AFMJS6681H	478	2090	2568	81.39
AFMJS6682H	403	2165	2568	84.31
AFMJS6683H	152	2416	2568	94.08
AFMJS6687H	631	1937	2568	75.43
AFMJS6694H	858	1710	2568	66.59
AFMJS6695H	637	1931	2568	75.19
AFMJS6696H	469	2099	2568	81.74
AFMJS6698H	182	2386	2568	92.91
AFMJS6700H	322	2246	2568	87.46
AFMJS6702H	292	2276	2568	88.63
AFMPD6983H	717	1851	2568	72.08
AFMPD6985H	424	2144	2568	83.49
AFMPD6986H	440	2128	2568	82.87
AFMPD6987H	165	2403	2568	93.57
AFMPD6988H	232	2336	2568	90.97
AFMPD6989H	294	2274	2568	88.55
AFMPD6990H	465	2103	2568	81.89
AFMPD6991H	300	2268	2568	88.32
AFMPD6992H	358	2210	2568	86.06
AFMPD6993H	448	2120	2568	82.55
AFMPD6995H	468	2100	2568	81.78
AFMPD6998H	421	2147	2568	83.61
AFMPD7000H	332	2236	2568	87.07
AFMPD7001H	259	2309	2568	89.91
AFMPD7005H	383	2185	2568	85.09
AFMPD7006H	214	2354	2568	91.67
AFMPS6602H	517	2051	2568	79.87
AFMPS6603H	199	2369	2568	92.25
AFMPS6608H	1032	1536	2568	59.81
AFMPS6610H	682	1886	2568	73.44
AFMPS6612H	444	2124	2568	82.71
AFMPS6613H	972	1596	2568	62.15
AFMPS6618H	256	2312	2568	90.03
AFMPS6619H	343	2225	2568	86.64
AFMPS6622H	255	2313	2568	90.07
AFMPS6623H	259	2309	2568	89.91
AFMPS6625H	257	2311	2568	89.99
AFMPS6626H	266	2302	2568	89.64
AFMPS6627H	282	2286	2568	89.02
AFMPX6981H	867	1701	2568	66.24
AFMPX6982H	287	2281	2568	88.82
AFMWD6915H	762	1806	2568	70.33
AFMWD6916H	255	2313	2568	90.07
AFMWD6917H	318	2250	2568	87.62
AFMWD6918H	297	2271	2568	88.43
AFMWD6919H	289	2279	2568	88.75
AFMWD6920H	707	1861	2568	72.47
AFMWD6921H	356	2212	2568	86.14
AFMWD6922H	508	2060	2568	80.22
AFMWD6923H	353	2215	2568	86.25
AFMWD6924H	280	2288	2568	89.1
AFMWD6926H	313	2255	2568	87.81
AFMWD6933H	249	2319	2568	90.3
AFMWD6935H	634	1934	2568	75.31
AFMWD6936H	148	2420	2568	94.24
