AFMGD6799H,GD,0.9858,0.0123,0.0019
AFMGD6801H,GD,0.8508,0.1265,0.0227
AFMGD6802H,GD,0.9179,0.0557,0.0264
AFMGD6803H,GD,0.8361,0.1560,0.0079
AFMGD6804H,GD,0.8297,0.0050,0.1653
AFMGD6805H,GD,0.2024,0.7319,0.0657
AFMGD6812H,GD,0.9325,0.0644,0.0031
AFMGD6814H,GD,0.6693,0.3274,0.0033
AFMGD6818H,GD,0.7647,0.2312,0.0041
AFMGD6819H,GD,0.7581,0.1963,0.0456
AFMGD6820H,GD,0.3336,0.6093,0.0571
AFMGD6821H,GD,0.3748,0.4710,0.1543
AFMGD6822H,GD,0.9747,0.0076,0.0177
AFMGS6734H,GS,0.0057,0.9910,0.0033
AFMGS6735H,GS,0.0393,0.9235,0.0372
AFMGS6736H,GS,0.0145,0.9829,0.0026
AFMGS6737H,GS,0.0673,0.9245,0.0082
AFMGS6738H,GS,0.2783,0.7188,0.0029
AFMGS6739H,GS,0.0580,0.7011,0.2409
AFMGS6740H,GS,0.0070,0.9795,0.0135
AFMGS6743H,GS,0.0041,0.9896,0.0063
AFMGS6745H,GS,0.2710,0.6719,0.0571
AFMGS6747H,GS,0.1628,0.8327,0.0045
AFMGS6750H,GS,0.0145,0.9821,0.0034
AFMGS6751H,GS,0.0453,0.9192,0.0355
AFMGS6752H,GS,0.0029,0.9951,0.0020
AFMGS6755H,GS,0.0374,0.9516,0.0110
AFMGS6756H,GS,0.2535,0.7430,0.0036
AFMJD6855H,JD,0.7450,0.2511,0.0039
AFMJD6856H,JD,0.9915,0.0055,0.0030
AFMJD6857H,JD,0.7790,0.2180,0.0030
AFMJD6858H,JD,0.7934,0.1748,0.0318
AFMJD6859H,JD,0.7907,0.0124,0.1969
AFMJD6861H,JD,0.7297,0.2655,0.0048
AFMJD6864H,JD,0.5323,0.3935,0.0742
AFMJD6873H,JD,0.9184,0.0398,0.0418
AFMJD6875H,JD,0.6356,0.3082,0.0562
AFMJD6876H,JD,0.8953,0.0833,0.0214
AFMJD6877H,JD,0.7325,0.1660,0.1015
AFMJD6878H,JD,0.7768,0.0064,0.2168
AFMJS6675H,JS,0.0522,0.9357,0.0121
AFMJS6676H,JS,0.0112,0.9596,0.0292
AFMJS6678H,JS,0.0287,0.9641,0.0072
AFMJS6680H,JS,0.1040,0.7737,0.1223
AFMJS6681H,JS,0.0063,0.9044,0.0893
AFMJS6682H,JS,0.3411,0.6509,0.0080
AFMJS6683H,JS,0.0045,0.9791,0.0164
AFMJS6687H,JS,0.0438,0.8617,0.0945
AFMJS6694H,JS,0.0271,0.9685,0.0044
AFMJS6695H,JS,0.0184,0.9767,0.0049
AFMJS6696H,JS,0.0816,0.8157,0.1027
AFMJS6698H,JS,0.3248,0.6687,0.0065
AFMJS6700H,JS,0.0104,0.8353,0.1543
AFMJS6702H,JS,0.2055,0.7285,0.0660
AFMPD6983H,PD,0.0318,0.6393,0.3289
AFMPD6985H,PD,0.6175,0.3754,0.0071
AFMPD6986H,PD,0.7744,0.0429,0.1827
AFMPD6987H,PD,0.9947,0.0020,0.0033
AFMPD6988H,PD,0.7674,0.2286,0.0040
AFMPD6989H,PD,0.6907,0.2985,0.0108
AFMPD6990H,PD,0.5911,0.3710,0.0379
AFMPD6991H,PD,0.8450,0.1244,0.0306
AFMPD6992H,PD,0.4549,0.2045,0.3406
AFMPD6993H,PD,0.5903,0.2645,0.1452
AFMPD6995H,PD,0.4808,0.4217,0.0975
AFMPD6998H,PD,0.6981,0.2548,0.0471
AFMPD7000H,PD,0.5813,0.0480,0.3707
AFMPD7001H,PD,0.6073,0.3866,0.0061
AFMPD7005H,PD,0.5174,0.1868,0.2958
AFMPD7006H,PD,0.5521,0.2454,0.2025
AFMPS6602H,PS,0.0077,0.9877,0.0046
AFMPS6603H,PS,0.0031,0.9946,0.0023
AFMPS6608H,PS,0.0825,0.9106,0.0069
AFMPS6610H,PS,0.0063,0.9902,0.0035
AFMPS6612H,PS,0.0130,0.9206,0.0664
AFMPS6613H,PS,0.1025,0.8186,0.0789
AFMPS6618H,PS,0.0183,0.7947,0.1870
AFMPS6622H,PS,0.0061,0.9908,0.0031
AFMPS6623H,PS,0.0134,0.9216,0.0650
AFMPS6625H,PS,0.2886,0.6825,0.0289
AFMPS6626H,PS,0.0200,0.7279,0.2521
AFMPS6627H,PS,0.0055,0.9254,0.0691
AFMPX6982H,PD,0.5897,0.2327,0.1777
AFMWD6915H,WD,0.4574,0.0627,0.4799
AFMWD6916H,WD,0.1969,0.0957,0.7074
AFMWD6917H,WD,0.0737,0.0314,0.8949
AFMWD6918H,WD,0.1549,0.2657,0.5794
AFMWD6919H,WD,0.0445,0.1418,0.8137
AFMWD6920H,WD,0.4836,0.1088,0.4075
AFMWD6921H,WD,0.0398,0.0074,0.9528
AFMWD6922H,WD,0.3597,0.0441,0.5962
AFMWD6923H,WD,0.1787,0.0549,0.7664
AFMWD6924H,WD,0.0328,0.0121,0.9551
AFMWD6926H,WD,0.6383,0.1214,0.2402
AFMWD6933H,WD,0.1312,0.0341,0.8347
AFMWD6935H,WD,0.0037,0.0028,0.9935
AFMWD6936H,WD,0.4547,0.2062,0.3391
