location	depth	transect	surface_area	total_colonies	mcav_sa	afra_sa	sint_sa	ofav_sa	other_sa	overall_sa	mcav_prop	afra_prop	sint_prop	ofav_prop	other_prop
G	shallow	G10T2	22.5306372	662	1.952896388	1.153984229	0.177536035	0.621376123	25.47642106	29.38221383	0.066465257	0.039274924	0.006042296	0.021148036	0.867069486
G	shallow	G10T3	19.84672526	690	2.317762724	2.418535016	0.050386146	1.511584385	28.46817259	34.76644086	0.066666667	0.069565217	0.001449275	0.043478261	0.81884058
G	shallow	G10T4	23.95149408	648	2.171054542	1.294282515	0	1.628290906	21.96105171	27.05467967	0.080246914	0.047839506	0	0.060185185	0.811728395
J	shallow	J10T1	20.85060183	851	3.453137736	0.719403695	0.335721724	1.007165173	35.2987413	40.81416963	0.084606345	0.017626322	0.008225617	0.024676851	0.864864865
J	shallow	J10T2	24.55810598	730	2.646783919	0.407197526	0.488637031	0.570076536	25.61272439	29.7254194	0.089041096	0.01369863	0.016438356	0.019178082	0.861643836
J	shallow	J10T3	21.07621336	543	3.273832867	0.90149021	0.379574825	1.470852447	19.73789091	25.76364125	0.127071823	0.034990792	0.014732965	0.057090239	0.76611418
P	shallow	P10T1	21.36959531	1475	4.960318549	0.046795458	0.046795458	1.87181832	62.09757278	69.02330056	0.071864407	0.000677966	0.000677966	0.027118644	0.899661017
P	shallow	P10T2	22.86939997	495	3.017132067	0.437265517	0.26235931	2.885952412	15.04193378	21.64464309	0.139393939	0.02020202	0.012121212	0.133333333	0.694949495
P	shallow	P10T3	19.67420077	1167	5.794390396	0.25413993	0.762419789	4.117066861	48.38824261	59.31625958	0.097686375	0.00428449	0.01285347	0.06940874	0.815766924
G	deep	G40T1	6.92186887	103	9.101588196	1.733635847	2.744923424	0	1.300226885	14.88037435	0.611650485	0.116504854	0.184466019	0	0.087378641
G	deep	G40T2	6.99304907	45	3.43197935	0.285998279	1.429991396	0.571996558	0.714995698	6.434961281	0.533333333	0.044444444	0.222222222	0.088888889	0.111111111
G	deep	G40T3	7.08297941	71	6.635625671	1.129468199	0.705917625	0.141183525	1.411835249	10.02403027	0.661971831	0.112676056	0.070422535	0.014084507	0.14084507
J	deep	J40T1	6.7663	43	4.877111568	0.443373779	0.295582519	0	0.738956298	6.355024164	0.76744186	0.069767442	0.046511628	0	0.11627907
J	deep	J40T2	8.46212727	68	5.199638176	1.063562354	0.23634719	0.354520785	1.181735949	8.035804453	0.647058824	0.132352941	0.029411765	0.044117647	0.147058824
J	deep	J40T3	7.33788385	75	6.268837302	1.226511646	0.953953503	0.136279072	1.635348862	10.22093038	0.613333333	0.12	0.093333333	0.013333333	0.16
P	deep	P40T1	11.45226263	87	5.064501389	0.611232926	1.047827874	0.349275958	0.523913937	7.596752084	0.666666667	0.08045977	0.137931034	0.045977011	0.068965517
P	deep	P40T2	9.6183573	92	5.406328584	0.623807144	1.97538929	0.103967857	1.455550003	9.565042879	0.565217391	0.065217391	0.206521739	0.010869565	0.152173913
P	deep	P40T3	8.80002945	84	6.022707117	0.454543933	1.136359833	0.34090795	1.590903767	9.545422601	0.630952381	0.047619048	0.119047619	0.035714286	0.166666667
