LOCUS,GS:LOCUS,GS:#Genot,GS:Obs.Het.,GS:Exp.Het. ,GS:P-value,GS:Sign,WD:LOCUS,WD:#Genot,WD:Obs.Het.,WD:Exp.Het. ,WD:P-value,WD:Sign,JS:LOCUS,JS:#Genot,JS:Obs.Het.,JS:Exp.Het. ,JS:P-value,JS:Sign,PD:LOCUS,PD:#Genot,PD:Obs.Het.,PD:Exp.Het. ,PD:P-value,PD:Sign,GD:LOCUS,GD:#Genot,GD:Obs.Het.,GD:Exp.Het. ,GD:P-value,GD:Sign,JD:LOCUS,JD:#Genot,JD:Obs.Het.,JD:Exp.Het. ,JD:P-value,JD:Sign,PS:LOCUS,PS:#Genot,PS:Obs.Het.,PS:Exp.Het. ,PS:P-value,PS:Sign
1:13 [1],GS1,,,,,m,WD1,,,,,m,JS1,,,,,m,PD1,13,0.00000,0.27077,0.00552,Sd,GD1,12,0.08333,0.34420,0.03091,Sd,JD1,11,0.00000,0.17316,0.04781,Sd,PS1,,,,,m
6:5 [2],GS2,,,,,m,WD2,13,0.38462,0.47077,0.57803,,JS2,14,0.00000,0.13757,0.03696,Sd,PD2,16,0.12500,0.38710,0.01720,Sd,GD2,9,0.00000,0.36601,0.01151,Sd,JD2,11,0.00000,0.17316,0.04761,Sd,PS2,10,0.00000,0.18947,0.05294,
7:56 [3],GS3,,,,,m,WD3,,,,,m,JS3,,,,,m,PD3,,,,,m,GD3,,,,,m,JD3,10,0.00000,0.18947,0.05249,,PS3,8,0.12500,0.12500,1.00000,
19:34 [4],GS4,,,,,m,WD4,14,0.14286,0.25397,0.21859,,JS4,,,,,m,PD4,16,0.06250,0.17540,0.09695,,GD4,,,,,m,JD4,,,,,m,PS4,10,0.00000,0.18947,0.05252,
30:10 [5],GS5,,,,,m,WD5,14,0.14286,0.13757,1.00000,,JS5,,,,,m,PD5,,,,,m,GD5,,,,,m,JD5,,,,,m,PS5,,,,,m
31:27 [6],GS6,,,,,m,WD6,14,0.14286,0.13757,1.00000,,JS6,14,0.00000,0.13757,0.03690,Sd,PD6,,,,,m,GD6,,,,,m,JD6,,,,,m,PS6,12,0.08333,0.08333,1.00000,
45:39 [7],GS7,15,0.00000,0.12874,0.03404,Sd,WD7,14,0.14286,0.13757,1.00000,,JS7,14,0.07143,0.07143,1.00000,,PD7,17,0.05882,0.05882,1.00000,,GD7,11,0.00000,0.31169,0.00769,Sd,JD7,11,0.09091,0.24675,0.14271,,PS7,12,0.08333,0.48913,0.00609,Sd
45:55 [8],GS8,15,0.00000,0.12874,0.03464,Sd,WD8,14,0.14286,0.13757,1.00000,,JS8,14,0.07143,0.07143,1.00000,,PD8,17,0.05882,0.05882,1.00000,,GD8,11,0.00000,0.31169,0.00770,Sd,JD8,11,0.09091,0.24675,0.14331,,PS8,12,0.08333,0.48913,0.00622,Sd
45:67 [9],GS9,15,0.00000,0.12874,0.03433,Sd,WD9,14,0.14286,0.13757,1.00000,,JS9,14,0.07143,0.07143,1.00000,,PD9,17,0.05882,0.05882,1.00000,,GD9,11,0.00000,0.31169,0.00743,Sd,JD9,11,0.09091,0.24675,0.14247,,PS9,12,0.08333,0.48913,0.00599,Sd
47:26 [10],GS10,,,,,m,WD10,,,,,m,JS10,,,,,m,PD10,17,0.05882,0.05882,1.00000,,GD10,,,,,m,JD10,,,,,m,PS10,12,0.08333,0.22826,0.12957,
