Locus	Het	Fst	P(Simul Fst<sample Fst)
SNP_1	0.208333	0.173913	0.853802
SNP_2	0.222222	0.176471	0.884974
SNP_3	0.0	-100.0	0.5
SNP_4	0.0	-100.0	0.5
SNP_5	0.0	-100.0	0.5
SNP_6	0.0	-100.0	0.5
SNP_7	0.224242	0.017974	0.484622
SNP_8	0.224242	0.017974	0.484622
SNP_9	0.224242	0.017974	0.484622
SNP_10	0.0	-100.0	0.5
SNP_11	0.0	-100.0	0.5
SNP_12	0.0	-100.0	0.5
SNP_13	0.0	-100.0	0.5
SNP_14	0.0	-100.0	0.5
SNP_15	0.0	-100.0	0.5
SNP_16	0.477273	0.133031	0.781506
SNP_17	0.0	-100.0	0.5
SNP_18	0.153846	0.12	1.0
SNP_19	0.153846	0.12	1.0
SNP_20	0.153846	0.12	1.0
SNP_21	0.246154	-0.035632	0.052345
SNP_22	0.238095	-0.034314	0.073064
SNP_23	0.172619	-0.036482	0.0
SNP_24	0.194444	-0.048019	0.0
SNP_25	0.611111	0.383399	0.94631
SNP_26	0.611111	0.383399	0.94631
SNP_27	0.611111	0.383399	0.94631
SNP_28	0.611111	0.383399	0.94631
SNP_29	0.0	-100.0	0.5
SNP_30	0.329545	0.015435	0.469366
SNP_31	0.133333	0.103448	1.0
SNP_32	0.214286	0.153846	0.775925
SNP_33	0.0	-100.0	0.5
SNP_34	0.071429	0.037037	0.918246
SNP_35	0.083333	0.043478	0.65876
SNP_36	0.4	0.138158	0.788003
SNP_37	0.337278	0.12421	0.729813
SNP_38	0.041667	0.0	0.619311
SNP_39	0.189744	-0.019199	0.210637
SNP_40	0.066667	0.034483	0.904011
SNP_41	0.0	-100.0	0.5
SNP_42	0.0	-100.0	0.5
SNP_43	0.0	-100.0	0.5
SNP_44	0.0	-100.0	0.5
SNP_45	0.0	-100.0	0.5
SNP_46	0.05	0.0	0.619311
SNP_47	0.05	0.0	0.619311
SNP_48	0.0	-100.0	0.5
SNP_49	0.0	-100.0	0.5
SNP_50	0.05	0.0	0.619311
SNP_51	0.150794	-0.026316	0.220955
SNP_52	0.1	-0.055556	0.0
SNP_53	0.125	0.086957	0.690229
SNP_54	0.0	-100.0	0.5
SNP_55	0.2	0.172414	0.847305
SNP_56	0.136364	0.095238	1.0
SNP_57	0.5	-0.039481	0.0
SNP_58	0.611111	0.588235	0.998114
SNP_59	0.076923	0.04	0.9333
SNP_60	0.36014	0.042275	0.551039
SNP_61	0.311538	-0.023392	0.218151
SNP_62	0.119231	-0.03871	0.0
SNP_63	0.076923	0.04	0.9333
SNP_64	0.038462	0.0	0.5
SNP_65	0.0	-100.0	0.5
SNP_66	0.0	-100.0	0.5
SNP_67	0.0	-100.0	0.5
SNP_68	0.111111	0.058824	0.704721
SNP_69	0.365385	-0.040732	0.000372
SNP_70	0.39011	-0.015462	0.266489
SNP_71	0.083333	0.043478	0.65876
SNP_72	0.083333	0.043478	0.65876
SNP_73	0.083333	0.043478	0.65876
SNP_74	0.0	-100.0	0.5
SNP_75	0.076923	0.04	0.9333
SNP_76	0.384615	0.36	0.977506
SNP_77	0.384615	0.36	0.977506
SNP_78	0.384615	0.36	0.977506
SNP_79	0.384615	0.36	0.977506
SNP_80	0.161538	0.021894	0.41263
SNP_81	0.0	-100.0	0.5
SNP_82	0.5	0.48	0.995075
SNP_83	0.0	-100.0	0.5
SNP_84	0.0	-100.0	0.5
SNP_85	0.045455	0.0	0.619311
SNP_86	0.045455	0.0	0.619311
SNP_87	0.142857	0.111111	1.0
SNP_88	0.125	0.086957	0.690229
SNP_89	0.3125	0.003204	0.416395
SNP_90	0.05	0.0	0.619311
SNP_91	0.230769	0.029167	0.525846
SNP_92	0.1	0.052632	0.685235
SNP_93	0.0	-100.0	0.5
SNP_94	0.095	-0.052632	0.0
SNP_95	0.095	-0.052632	0.0
SNP_96	0.111111	0.058824	0.704721
SNP_97	0.095	-0.052632	0.0
SNP_98	0.095	-0.052632	0.0
SNP_99	0.1	0.052632	0.685235
SNP_100	0.0	-100.0	0.5
SNP_101	0.0	-100.0	0.5
SNP_102	0.0	-100.0	0.5
SNP_103	0.235577	-0.003265	0.379172
SNP_104	0.235577	-0.003265	0.379172
SNP_105	0.259615	-0.034815	0.110181
SNP_106	0.0	-100.0	0.5
SNP_107	0.0	-100.0	0.5
SNP_108	0.0	-100.0	0.5
SNP_109	0.0	-100.0	0.5
SNP_110	0.0	-100.0	0.5
SNP_111	0.077922	-0.041667	0.145503
SNP_112	0.157143	-0.040581	0.0
SNP_113	0.149351	-0.040258	0.1013
SNP_114	0.149351	-0.040258	0.1013
SNP_115	0.375	0.347826	0.969009
SNP_116	0.083333	0.043478	0.65876
SNP_117	0.0	-100.0	0.5
SNP_118	0.133333	0.103448	1.0
SNP_119	0.0	-100.0	0.5
SNP_120	0.165289	-0.047619	0.0
SNP_121	0.414286	0.018754	0.493538
SNP_122	0.414286	0.018754	0.493538
SNP_123	0.207101	-0.010286	0.267836
SNP_124	0.472222	0.032045	0.487307
SNP_125	0.472222	0.032045	0.487307
SNP_126	0.472222	0.032045	0.487307
SNP_127	0.472222	0.032045	0.487307
SNP_128	0.1	0.052632	0.685235
SNP_129	0.325	0.026371	0.5066
SNP_130	0.0	-100.0	0.5
SNP_131	0.083333	0.043478	0.65876
SNP_132	0.5	0.141419	0.792911
SNP_133	0.5	0.141419	0.792911
SNP_134	0.5	0.141419	0.792911
SNP_135	0.5	0.141419	0.792911
SNP_136	0.0	-100.0	0.5
SNP_137	0.0	-100.0	0.5
SNP_138	0.331731	-0.046377	0.0
SNP_139	0.138889	-0.037361	0.139117
SNP_140	0.138889	-0.037361	0.139117
SNP_141	0.0	-100.0	0.5
SNP_142	0.0	-100.0	0.5
SNP_143	0.307692	0.075942	0.597693
SNP_144	0.307692	0.075942	0.597693
SNP_145	0.307692	0.075942	0.597693
SNP_146	0.0	-100.0	0.5
SNP_147	0.37013	-0.033138	0.042389
SNP_148	0.0	-100.0	0.5
SNP_149	0.0	-100.0	0.5
SNP_150	0.0	-100.0	0.5
SNP_151	0.0	-100.0	0.5
SNP_152	0.138889	-0.037361	0.139117
SNP_153	0.15625	-0.013333	0.316284
SNP_154	0.111111	0.058824	0.704721
SNP_155	0.0	-100.0	0.5
SNP_156	0.05	0.0	0.619311
SNP_157	0.0	-100.0	0.5
SNP_158	0.0	-100.0	0.5
SNP_159	0.0	-100.0	0.5
SNP_160	0.597633	0.464554	0.995541
SNP_161	0.125	0.086957	0.690229
SNP_162	0.0	-100.0	0.5
SNP_163	0.149351	-0.040258	0.1013
SNP_164	0.133333	0.103448	1.0
SNP_165	0.133333	-0.036605	0.146971
SNP_166	0.644628	0.435897	0.965052
SNP_167	0.045455	0.0	0.619311
SNP_168	0.0	-100.0	0.5
SNP_169	0.463889	0.302795	0.899875
SNP_170	0.0	-100.0	0.5
SNP_171	0.0	-100.0	0.5
SNP_172	0.035714	0.0	0.5
SNP_173	0.076923	0.04	0.9333
SNP_174	0.461039	0.287428	0.889425
SNP_175	0.416084	0.029132	0.531067
SNP_176	0.545455	0.230769	0.851389
SNP_177	0.3	-0.029379	0.119413
SNP_178	0.523077	0.054767	0.51963
SNP_179	0.523077	0.054767	0.51963
SNP_180	0.5	0.17107	0.831044
SNP_181	0.090909	0.047619	0.670478
SNP_182	0.433333	0.082556	0.634512
SNP_183	0.318182	-0.008056	0.351633
SNP_184	0.227273	0.058947	0.622036
SNP_185	0.281818	0.010995	0.438979
SNP_186	0.227273	0.058947	0.622036
SNP_187	0.281818	0.010995	0.438979
SNP_188	0.0	-100.0	0.5
SNP_189	0.0	-100.0	0.5
SNP_190	0.189744	-0.019199	0.210637
SNP_191	0.153846	0.12	1.0
SNP_192	0.071429	0.037037	0.918246
SNP_193	0.395833	0.167048	0.828624
SNP_194	0.227273	-0.018633	0.262827
SNP_195	0.0	-100.0	0.5
SNP_196	0.0	-100.0	0.5
SNP_197	0.0	-100.0	0.5
SNP_198	0.076923	0.04	0.9333
SNP_199	0.0	-100.0	0.5
SNP_200	0.0	-100.0	0.5
SNP_201	0.045455	0.0	0.619311
SNP_202	0.090909	0.047619	0.670478
SNP_203	0.362637	0.038923	0.54027
SNP_204	0.438462	-0.014559	0.273308
SNP_205	0.438462	-0.014559	0.273308
SNP_206	0.461538	0.049735	0.608424
SNP_207	0.142857	0.111111	1.0
SNP_208	0.142857	0.111111	1.0
SNP_209	0.125	0.066667	0.534781
SNP_210	0.29798	0.134596	0.70195
SNP_211	0.0	-100.0	0.5
SNP_212	0.153846	0.12	1.0
SNP_213	0.464646	0.101936	0.705687
SNP_214	0.163889	0.016365	0.401582
SNP_215	0.163889	0.016365	0.401582
SNP_216	0.0	-100.0	0.5
SNP_217	0.428571	0.324359	0.999039
SNP_218	0.0	-100.0	0.5
SNP_219	0.071429	0.037037	0.918246
SNP_220	0.429293	0.166485	0.809254
SNP_221	0.436364	0.073892	0.612661
SNP_222	0.436364	0.073892	0.612661
SNP_223	0.0	-100.0	0.5
SNP_224	0.0	-100.0	0.5
SNP_225	0.375	0.333333	0.958095
SNP_226	0.0	-100.0	0.5
SNP_227	0.430769	0.044335	0.531299
SNP_228	0.0	-100.0	0.5
SNP_229	0.547009	0.387059	0.998639
SNP_230	0.553571	0.166069	0.754364
SNP_231	0.553571	0.166069	0.754364
SNP_232	0.147436	-0.041512	0.077901
SNP_233	0.202381	-0.021313	0.194811
SNP_234	0.525641	0.095273	0.671119
SNP_235	0.090909	0.047619	0.670478
SNP_236	0.165289	-0.047619	0.0
SNP_237	0.083333	0.043478	0.65876
SNP_238	0.083333	0.043478	0.65876
SNP_239	0.535714	0.131508	0.698375
SNP_240	0.045455	0.0	0.619311
SNP_241	0.1	-0.055556	0.0
SNP_242	0.083333	0.043478	0.65876
SNP_243	0.392857	0.37037	0.984161
SNP_244	0.076923	0.04	0.9333
SNP_245	0.0	-100.0	0.5
SNP_246	0.0	-100.0	0.5
SNP_247	0.0	-100.0	0.5
SNP_248	0.0	-100.0	0.5
SNP_249	0.2	-0.057017	0.0
SNP_250	0.2	-0.057017	0.0
SNP_251	0.358974	0.049852	0.574766
SNP_252	0.304734	0.086214	0.617294
SNP_253	0.0625	0.0	0.619311
SNP_254	0.276786	-0.063524	0.0
SNP_255	0.05	0.0	0.619311
SNP_256	0.045455	0.0	0.619311
SNP_257	0.0	-100.0	0.5
SNP_258	0.233333	-0.036267	0.042253
SNP_259	0.0	-100.0	0.5
SNP_260	0.125	0.066667	0.534781
SNP_261	0.214286	0.002684	0.333074
SNP_262	0.179487	-0.035528	0.0
SNP_263	0.1	0.052632	0.685235
SNP_264	0.0	-100.0	0.5
SNP_265	0.373016	-0.05555	0.0
SNP_266	0.0	-100.0	0.5
SNP_267	0.0	-100.0	0.5
SNP_268	0.0	-100.0	0.5
SNP_269	0.0	-100.0	0.5
SNP_270	0.0	-100.0	0.5
SNP_271	0.0	-100.0	0.5
SNP_272	0.076923	0.04	0.9333
SNP_273	0.0	-100.0	0.5
SNP_274	0.0	-100.0	0.5
SNP_275	0.045455	0.0	0.619311
SNP_276	0.192308	0.035294	0.449686
SNP_277	0.0	-100.0	0.5
SNP_278	0.166667	0.130435	0.704517
SNP_279	0.197802	-0.015309	0.237263
SNP_280	0.041667	0.0	0.619311
SNP_281	0.175926	-0.047516	0.0
SNP_282	0.0	-100.0	0.5
SNP_283	0.0	-100.0	0.5
SNP_284	0.0	-100.0	0.5
SNP_285	0.138889	-0.037361	0.139117
SNP_286	0.0	-100.0	0.5
SNP_287	0.0	-100.0	0.5
SNP_288	0.0	-100.0	0.5
SNP_289	0.149351	-0.057971	0.0
SNP_290	0.480519	-0.053361	0.012711
SNP_291	0.480519	-0.053361	0.012711
SNP_292	0.657051	0.457094	0.976546
SNP_293	0.657051	0.457094	0.976546
SNP_294	0.657051	0.457094	0.976546
SNP_295	0.0	-100.0	0.5
SNP_296	0.246154	0.027586	0.520242
