LOCUS,GD,WD,PD,JD,JS,PS,GS,SUMMARY
2:54 [1],m,m,m,m,,,,
2:55 [2],,,,,,,,
2:57 [3],,m,m,m,m,,m,
2:58 [4],,,,,,,,
2:69 [5],,,,,,,,
9:2 [6],,,,,,,,
9:17 [7],,m,,,,,,
9:42 [8],,,,,,,,
9:43 [9],,,,,Sd,,,
9:73 [10],,m,,m,,m,Sd,
11:7 [11],,,,,,,,
11:19 [12],,,,,,,,
11:22 [13],,,,,,,,
11:38 [14],,,,,m,m,,
11:58 [15],,,,,,,,
11:64 [16],Sd,,,,,,,
17:10 [17],,,,,,m,,
17:30 [18],m,,,,,,,
17:53 [19],,,,,,m,,
17:67 [20],,m,,,,m,,
17:69 [21],m,m,m,,,m,,
18:3 [22],,,,,,,,
22:47 [23],,,,,,,,
22:48 [24],,,,,,,,
22:80 [25],m,,m,,,,,
25:6 [26],,,,,,,,
25:13 [27],,m,m,m,m,,,
25:22 [28],,m,m,m,m,,,
25:68 [29],,,,,,,,
25:74 [30],,m,m,m,m,,,
26:3 [31],,m,,m,,,,
26:26 [32],m,m,m,,,m,,
26:27 [33],,,,,,,,
26:31 [34],,m,,m,m,,m,
26:37 [35],m,m,m,,,m,,
26:44 [36],m,,,,,,,
26:49 [37],,,m,,m,,m,
26:73 [38],m,,m,m,m,m,m,
26:74 [39],m,,m,m,m,m,m,
26:76 [40],,,,,,,Sd,
27:40 [41],m,,m,m,m,,m,
27:45 [42],,m,m,,m,m,Sd,
27:47 [43],,m,,m,,,,
28:23 [44],,,,,,,,
28:29 [45],m,,m,m,m,,m,
33:15 [46],,,,,,,Sd,
33:77 [47],,m,m,,m,m,,
35:2 [48],m,m,,,,,,
35:7 [49],m,,,m,m,,m,
35:12 [50],,,,,,,,
35:16 [51],,,m,,,,,
35:65 [52],m,m,,,,,,
36:37 [53],m,,m,,m,m,m,
36:53 [54],Sd,m,,,,m,m,
36:72 [55],Sd,,,Sd,,m,m,
36:80 [56],m,,m,,m,m,m,
42:8 [57],m,m,m,m,,,m,
45:3 [58],,,,,,,,
45:71 [59],m,,,,m,m,m,
45:72 [60],,,,,,,,
45:74 [61],,,Sd,,,,,
45:77 [62],,m,Sd,,m,m,m,
47:2 [63],,m,,,,,,
47:43 [64],m,,,m,m,,,
47:50 [65],,m,,,,,,
47:56 [66],,m,,,,,,
47:72 [67],,m,,,,,,
50:9 [68],,m,,m,m,m,m,
50:24 [69],,m,,m,m,m,m,
50:31 [70],,,,,,,,
50:49 [71],,,,m,,m,Sd,
50:51 [72],,,,,,,,
50:71 [73],m,,,,,,,
51:41 [74],,,m,m,m,m,m,
51:59 [75],m,m,m,,m,,m,
53:76 [76],,m,,,,,,
57:39 [77],m,,,,,m,,
57:72 [78],m,m,Sd,,m,,,
59:3 [79],m,,m,,m,m,m,
59:36 [80],,Sd,,,,,,
59:38 [81],,Sd,,,,,,
59:48 [82],,,m,,,,,
59:50 [83],,,,,,,,
64:71 [84],Sd,m,,m,m,m,m,
64:72 [85],,,,,,,,
74:12 [86],m,m,,,,m,m,
74:23 [87],m,m,,,,m,m,
74:26 [88],,,,m,m,m,,
74:31 [89],m,,,m,m,m,m,
74:40 [90],,,,,,m,,
74:55 [91],,,,m,m,m,,
82:64 [92],,Sd,,,,,,
83:5 [93],,,,,,,,
83:12 [94],,,,,,,,
83:16 [95],,,m,,m,m,m,
83:35 [96],m,m,,m,,m,m,
83:66 [97],,,,,,,,
83:77 [98],,,,,,,,
84:37 [99],,,,,,,,
84:62 [100],,,m,,Sd,,,
86:64 [101],,,,,,Sd,Sd,
86:68 [102],,,,,,Sd,Sd,
87:24 [103],m,,,,m,,,
87:45 [104],,,m,,,,Sd,
87:64 [105],m,,m,m,m,,m,
95:7 [106],m,m,m,m,,m,m,
95:24 [107],,,m,m,m,,m,
95:26 [108],,m,m,m,m,m,,
95:79 [109],,,m,m,m,,m,
96:23 [110],m,,m,m,m,,m,
96:62 [111],,Sd,m,m,m,m,m,
97:15 [112],m,,m,m,,m,m,
97:17 [113],m,,m,,Sd,,m,
98:9 [114],,Sd,,,m,,,
98:11 [115],,Sd,,,m,,,
98:44 [116],,,,,,,,
98:63 [117],,Sd,,,m,,,
98:65 [118],Sd,,,,,,,
98:74 [119],,Sd,,,m,,,
100:2 [120],,,,,,,,
100:27 [121],,,m,,,m,,
100:70 [122],m,,,,,Sd,,
102:9 [123],,,,,,,m,
102:25 [124],m,,m,m,,m,m,
102:27 [125],,,m,,,m,,
102:33 [126],,,,,,,,
102:35 [127],m,m,m,m,,,,
102:62 [128],,,m,,,m,,
102:75 [129],,,,,,,,
104:7 [130],,,,,,,,
104:9 [131],Sd,,Sd,,Sd,Sd,Sd,SIGN
104:11 [132],,,m,m,m,m,,
104:12 [133],Sd,,Sd,,Sd,Sd,Sd,SIGN
104:16 [134],Sd,m,Sd,,,m,Sd,
104:24 [135],Sd,,Sd,,Sd,Sd,Sd,SIGN
104:26 [136],Sd,,Sd,,,,,
104:49 [137],Sd,m,Sd,,,m,Sd,
104:55 [138],,,,m,,,,
